t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,300,300,115.31,1610.10,0,0,300/300/300/300/300/300
1700000000.050000,0,300,300,115.24,71.22,0,0,300/300/300/300/300/300
1700000000.100000,0,300,300,115.18,99.11,0,0,300/300/300/300/300/300
1700000000.150000,0,300,300,115.14,37.95,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,115.09,92.02,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,115.06,37.83,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,115.01,91.19,0,0,300/300/300/300/300/300
1700000000.350000,0,300,300,114.99,38.05,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,114.98,92.19,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,114.95,37.40,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,114.96,94.50,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,114.96,37.32,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,114.95,90.81,0,0,300/300/300/300/300/300
1700000000.650000,0,300,300,114.95,38.27,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,114.94,88.11,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,114.92,34.67,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,114.90,94.01,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,114.88,38.56,0,0,300/300/300/300/300/300
1700000000.900000,1,300,300,114.86,46.06,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,114.84,48.20,1,162,300/300/300/300/300/300
1700000001.000000,1,300,300,114.79,66.95,1,209,300/300/300/300/300/300
1700000001.050000,1,300,300,114.73,77.00,1,301,300/300/300/300/300/300
1700000001.100000,1,300,300,114.66,69.37,1,185,300/300/300/300/300/300
1700000001.150000,1,300,300,114.58,74.87,1,221,300/300/300/300/300/300
1700000001.200000,1,300,300,114.47,79.16,1,240,300/300/300/300/300/300
1700000001.250000,1,300,300,114.38,74.41,1,222,300/300/300/300/300/300
1700000001.300000,1,300,300,114.26,81.15,1,241,300/300/300/300/300/300
1700000001.350000,1,300,300,114.14,90.87,1,274,300/300/300/300/300/300
1700000001.400000,1,300,300,114.03,108.55,1,271,300/300/300/300/300/300
1700000001.450000,1,300,300,113.93,103.96,1,208,300/300/300/300/300/300
1700000001.500000,1,300,300,113.83,102.92,1,189,300/300/300/300/300/300
1700000001.550000,1,300,300,113.74,97.78,1,147,300/300/300/300/300/300
1700000001.600000,1,300,300,113.68,110.95,1,184,300/300/300/300/300/300
1700000001.650000,1,300,300,113.63,121.17,1,229,300/300/300/300/300/300
1700000001.700000,1,300,300,113.58,105.66,1,198,300/300/300/300/300/300
1700000001.750000,1,300,300,113.56,119.96,1,303,300/300/300/300/300/300
1700000001.800000,1,300,300,113.54,117.59,1,360,300/300/300/300/300/300
1700000001.850000,1,300,300,113.59,124.72,1,430,300/300/300/300/300/300
1700000001.900000,1,300,300,113.61,151.42,1,482,300/300/300/300/300/300
1700000001.950000,1,300,300,113.66,164.63,1,513,300/300/300/300/300/300
1700000002.000000,1,300,300,113.72,211.86,1,589,300/300/300/300/300/300
1700000002.050000,1,300,300,113.82,113.91,1,457,300/300/300/300/300/300
1700000002.100000,1,300,300,113.89,158.55,1,403,300/300/300/300/300/300
1700000002.150000,1,300,300,113.99,150.72,1,591,300/300/300/300/300/300
1700000002.200000,1,300,300,114.07,151.67,1,674,300/300/300/300/300/300
1700000002.250000,1,300,300,114.17,183.87,1,747,300/300/300/300/300/300
1700000002.300000,1,300,300,114.22,181.98,1,805,300/300/300/300/300/300
1700000002.350000,1,300,300,114.24,239.18,1,829,300/300/300/300/300/300
1700000002.400000,1,300,300,114.29,211.63,1,868,300/300/300/300/300/300
1700000002.450000,1,300,300,114.30,222.18,1,912,300/300/300/300/300/300
1700000002.500000,1,300,300,114.30,302.25,1,973,300/300/300/300/300/300
1700000002.550000,1,300,300,114.25,285.31,1,1000,300/300/300/300/300/300
1700000002.600000,1,300,300,114.16,335.54,1,1046,300/300/300/300/300/300
1700000002.650000,1,300,300,114.07,313.27,1,1093,300/300/300/300/300/300
1700000002.700000,1,300,300,113.91,283.64,1,1148,300/300/300/300/300/300
1700000002.750000,1,300,300,113.71,292.29,1,1194,300/300/300/300/300/300
1700000002.800000,1,300,300,113.52,300.81,1,1231,300/300/300/300/300/300
1700000002.850000,1,300,300,113.22,314.77,1,1273,300/300/300/300/300/300
1700000002.900000,1,300,300,112.91,48.61,0,1273,300/300/300/300/300/300
1700000002.950000,1,300,300,112.57,50.38,0,1273,300/300/300/300/300/300
1700000003.000000,1,300,300,112.29,327.96,1,1297,300/300/300/300/300/300
1700000003.050000,1,300,300,111.86,53.60,0,1297,300/300/300/300/300/300
1700000003.100000,1,300,300,111.23,54.31,0,1297,300/300/300/300/300/300
1700000003.150000,1,300,300,110.42,327.05,1,1363,300/300/300/300/300/300
1700000003.200000,1,300,300,109.52,48.89,0,1363,300/300/300/300/300/300
1700000003.250000,1,300,300,107.73,48.77,0,1363,300/300/300/300/300/300
1700000003.300000,1,300,300,103.88,339.79,1,1462,300/300/300/300/300/300
1700000003.350000,1,300,300,101.85,52.46,0,1462,300/300/300/300/300/300
1700000003.400000,1,300,300,118.86,80.33,0,1462,300/300/300/300/300/300
1700000003.450000,1,300,300,118.84,351.78,1,1538,300/300/300/300/300/300
1700000003.500000,1,300,300,118.89,54.03,0,1538,300/300/300/300/300/300
1700000003.550000,1,300,300,118.95,49.18,0,1538,300/300/300/300/300/300
1700000003.600000,1,300,300,118.97,365.68,1,1712,300/300/300/300/300/300
1700000003.650000,1,300,300,119.01,51.74,0,1712,300/300/300/300/300/300
1700000003.700000,1,300,300,119.03,48.13,0,1712,300/300/300/300/300/300
1700000003.750000,1,300,300,119.09,378.16,1,1856,300/300/300/300/300/300
1700000003.800000,1,300,300,109.17,58.20,0,1856,300/300/300/300/300/300
1700000003.850000,1,300,300,110.72,62.28,0,1856,300/300/300/300/300/300
1700000003.900000,1,300,300,113.15,394.60,1,1930,300/300/242/300/300/300
1700000003.950000,1,300,300,114.48,61.36,0,1930,300/300/300/300/300/300
1700000004.000000,1,300,300,115.14,68.05,0,1930,300/300/300/300/300/300
