t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,49.51,3.99,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,49.51,3.15,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,49.51,3.08,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,49.50,2.81,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,49.51,2.92,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,49.50,2.71,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,49.51,2.94,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,49.51,2.72,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,49.50,2.97,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,49.50,2.59,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,49.50,2.62,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,49.52,2.52,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,49.51,2.54,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,49.50,1.78,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,49.50,2.38,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,49.51,2.19,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,49.51,2.21,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,49.51,1.87,0,0,0/0/0/0/0/0
1700000000.900000,1,300,300,49.51,30.15,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,49.51,37.07,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,49.52,35.46,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,49.51,60.69,1,121,300/300/300/300/300/300
1700000001.100000,1,300,300,49.51,38.99,0,121,300/300/300/300/300/300
1700000001.150000,1,300,300,49.51,36.70,0,121,300/300/300/300/300/300
1700000001.200000,1,300,300,49.50,76.37,1,337,300/300/300/300/300/300
1700000001.250000,1,300,300,49.51,32.07,0,337,300/300/300/300/300/300
1700000001.300000,1,300,300,49.51,31.74,0,337,300/300/300/300/300/300
1700000001.350000,1,300,300,49.50,81.26,1,548,300/300/300/300/300/300
1700000001.400000,1,300,300,49.51,32.18,0,548,300/300/300/300/300/300
1700000001.450000,1,300,300,49.50,30.84,0,548,300/300/300/300/300/300
1700000001.500000,1,300,300,49.51,100.53,1,570,300/300/300/300/300/300
