t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1700000000.000000,0,0,0,116.70,3.99,0,0
1700000000.050000,0,0,0,116.70,3.02,0,0
1700000000.100000,0,0,0,116.71,2.82,0,0
1700000000.150000,0,0,0,116.71,2.29,0,0
1700000000.200000,0,0,0,116.71,2.64,0,0
1700000000.250000,0,0,0,116.71,2.20,0,0
1700000000.300000,0,0,0,116.71,2.67,0,0
1700000000.350000,0,0,0,116.71,2.21,0,0
1700000000.400000,0,0,0,116.71,2.64,0,0
1700000000.450000,0,0,0,116.71,2.14,0,0
1700000000.500000,0,0,0,116.71,2.03,0,0
1700000000.550000,0,0,0,116.70,1.79,0,0
1700000000.600000,0,0,0,116.71,2.02,0,0
1700000000.650000,0,0,0,116.72,1.76,0,0
1700000000.700000,0,0,0,116.71,2.02,0,0
1700000000.750000,0,0,0,116.72,1.75,0,0
1700000000.800000,0,0,0,116.71,1.80,0,0
1700000000.850000,0,0,0,116.71,1.88,0,0
1700000000.900000,1,244,0,116.71,40.46,1,0
1700000000.950000,1,300,0,116.71,44.45,0,0
1700000001.000000,1,300,0,116.71,43.58,0,0
1700000001.050000,1,300,0,116.72,47.24,1,49
1700000001.100000,1,300,0,116.72,49.41,0,49
1700000001.150000,1,300,0,116.71,45.17,0,49
1700000001.200000,1,300,0,116.70,49.58,1,28
1700000001.250000,1,300,0,116.72,44.40,0,28
1700000001.300000,1,300,0,116.72,43.72,0,28
1700000001.350000,1,300,0,116.72,48.51,1,26
1700000001.400000,1,300,0,116.71,43.63,0,26
1700000001.450000,1,300,0,116.71,43.73,0,26
1700000001.500000,1,300,0,116.71,51.02,1,26
1700000001.550000,1,300,0,116.70,43.78,0,26
1700000001.600000,1,300,0,116.71,44.42,0,26
1700000001.650000,1,300,0,116.70,50.38,1,42
1700000001.700000,1,300,0,116.70,44.33,0,42
1700000001.750000,1,300,0,116.71,44.57,0,42
1700000001.800000,1,300,0,116.70,51.39,1,86
1700000001.850000,1,300,0,116.72,44.05,0,86
1700000001.900000,1,300,0,116.71,43.92,0,86
1700000001.950000,1,300,0,116.71,53.08,1,99
1700000002.000000,1,300,0,116.71,44.07,0,99
1700000002.050000,1,300,0,116.72,43.43,0,99
1700000002.100000,1,300,0,116.72,55.51,1,132
1700000002.150000,1,300,0,116.73,43.20,0,132
1700000002.200000,1,300,0,116.73,45.37,0,132
1700000002.250000,1,300,0,116.72,57.48,1,142
1700000002.300000,1,300,0,116.73,45.04,0,142
1700000002.350000,1,300,0,116.73,44.89,0,142
1700000002.400000,1,300,0,116.75,55.46,1,152
1700000002.450000,1,300,0,116.76,44.77,0,152
1700000002.500000,1,300,0,116.76,45.21,0,152
1700000002.550000,1,300,0,116.77,61.60,1,165
1700000002.600000,1,300,0,116.77,45.75,0,165
1700000002.650000,1,300,0,116.78,45.20,0,165
1700000002.700000,1,300,0,116.79,63.50,1,171
1700000002.750000,1,300,0,116.80,46.09,0,171
1700000002.800000,1,300,0,116.80,45.92,0,171
1700000002.850000,1,300,0,116.82,66.17,1,180
1700000002.900000,1,300,0,116.83,46.06,0,180
1700000002.950000,1,300,0,116.84,46.13,0,180
1700000003.000000,1,300,0,116.87,67.26,1,184
1700000003.050000,1,300,0,116.87,44.67,0,184
1700000003.100000,1,300,0,116.88,45.68,0,184
1700000003.150000,1,300,0,116.91,71.24,1,188
1700000003.200000,1,300,0,116.95,44.64,0,188
1700000003.250000,1,300,0,116.96,44.88,0,188
1700000003.300000,1,300,0,116.98,70.42,1,199
1700000003.350000,1,300,0,116.99,44.97,0,199
1700000003.400000,1,300,0,116.98,45.38,0,199
1700000003.450000,1,300,0,116.97,68.50,1,204
1700000003.500000,1,300,0,116.97,45.12,0,204
1700000003.550000,1,300,0,116.95,44.76,0,204
1700000003.600000,1,300,0,116.96,69.42,1,214
1700000003.650000,1,300,0,116.95,44.78,0,214
1700000003.700000,1,300,0,116.94,44.80,0,214
1700000003.750000,1,300,0,116.94,58.16,1,224
1700000003.800000,1,300,0,116.93,43.62,0,224
1700000003.850000,1,300,0,116.92,44.90,0,224
1700000003.900000,1,300,0,116.91,73.78,1,232
1700000003.950000,1,300,0,116.90,44.24,0,232
1700000004.000000,1,300,0,116.90,45.27,0,232
1700000004.050000,1,300,0,116.89,76.46,1,242
1700000004.100000,1,300,0,116.87,44.51,0,242
1700000004.150000,1,300,0,116.88,45.30,0,242
1700000004.200000,1,300,0,116.92,80.17,1,252
1700000004.250000,1,300,0,116.95,45.67,0,252
1700000004.300000,1,300,0,116.99,45.77,0,252
1700000004.350000,1,300,0,116.98,88.72,1,264
1700000004.400000,1,300,0,116.96,46.50,0,264
1700000004.450000,1,300,0,116.93,45.84,0,264
1700000004.500000,1,300,0,116.93,91.67,1,273
1700000004.550000,1,300,0,116.94,47.14,0,273
1700000004.600000,1,300,0,116.94,46.00,0,273
1700000004.650000,1,300,0,116.97,79.59,1,278
1700000004.700000,1,300,0,117.01,46.57,0,278
1700000004.750000,1,300,0,117.03,46.17,0,278
1700000004.800000,1,300,0,117.03,73.27,1,286
1700000004.850000,1,300,0,117.02,46.27,0,286
1700000004.900000,1,300,0,117.02,45.18,0,286
1700000004.950000,1,300,0,117.01,68.68,1,301
