t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.73,2.81,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,116.73,1.95,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,116.71,1.89,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,116.73,2.08,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,116.74,1.78,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,116.75,1.79,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,116.75,1.85,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,116.74,1.83,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,116.76,1.80,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,116.74,1.82,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,116.71,1.86,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,116.71,1.80,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,116.72,1.79,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,116.72,1.80,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,116.73,1.83,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,116.71,1.82,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,116.71,1.79,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,116.73,1.76,0,0,0/0/0/0/0/0
1700000000.900000,1,253,234,116.73,29.94,1,0,253/234/235/268/273/274
1700000000.950000,1,300,300,116.72,37.16,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,116.73,38.16,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,116.73,57.47,1,182,300/300/300/300/300/300
1700000001.100000,1,300,300,116.72,39.09,0,182,300/300/300/300/300/300
1700000001.150000,1,300,300,116.74,40.50,0,182,300/300/300/300/300/300
1700000001.200000,1,300,300,116.74,67.96,1,332,300/300/300/300/300/300
1700000001.250000,1,300,300,116.74,40.08,0,332,300/300/300/300/300/300
1700000001.300000,1,300,300,116.73,38.92,0,332,300/300/300/300/300/300
1700000001.350000,1,300,300,116.75,84.69,1,418,300/300/300/300/300/300
1700000001.400000,1,300,300,116.74,40.99,0,418,300/300/300/300/300/300
1700000001.450000,1,300,300,116.72,40.79,0,418,300/300/300/300/300/300
1700000001.500000,1,300,300,116.73,111.72,1,458,300/300/300/300/300/300
1700000001.550000,1,300,300,116.73,40.50,0,458,300/300/300/300/300/300
1700000001.600000,1,300,300,116.71,40.17,0,458,300/300/300/300/300/300
1700000001.650000,1,300,300,116.73,105.27,1,450,300/300/300/300/300/300
1700000001.700000,1,300,300,116.75,41.69,0,450,300/300/300/300/300/300
1700000001.750000,1,300,300,116.75,39.87,0,450,300/300/300/300/300/300
1700000001.800000,1,300,300,116.73,78.26,1,418,300/300/300/300/300/300
1700000001.850000,1,300,300,116.72,41.17,0,418,300/300/300/300/300/300
1700000001.900000,1,300,300,116.74,40.76,0,418,300/300/300/300/300/300
1700000001.950000,1,300,300,116.73,123.22,1,572,300/300/300/300/300/300
1700000002.000000,1,300,300,116.72,44.25,0,572,300/300/300/300/300/300
1700000002.050000,1,300,300,116.75,42.76,0,572,300/300/300/300/300/300
1700000002.100000,1,300,300,116.75,113.64,1,691,300/300/300/300/300/300
1700000002.150000,1,300,300,116.76,42.15,0,691,300/300/300/300/300/300
1700000002.200000,1,300,300,116.77,43.14,0,691,300/300/300/300/300/300
1700000002.250000,1,300,300,116.74,125.14,1,795,300/300/300/300/300/300
1700000002.300000,1,300,300,116.76,44.59,0,795,300/300/300/300/300/300
1700000002.350000,1,300,300,116.72,44.57,0,795,300/300/300/300/300/300
1700000002.400000,1,300,300,116.76,183.66,1,795,300/300/300/300/300/300
1700000002.450000,1,300,300,116.77,44.81,0,795,300/300/300/300/300/300
1700000002.500000,1,300,300,116.78,45.50,0,795,300/300/300/300/300/300
1700000002.550000,1,300,300,116.78,162.79,1,1035,300/300/300/300/300/300
1700000002.600000,1,300,300,116.79,47.10,0,1035,300/300/300/300/300/300
1700000002.650000,1,300,300,116.80,46.30,0,1035,300/300/300/300/300/300
1700000002.700000,1,300,300,116.78,161.12,1,1077,300/300/300/300/300/300
1700000002.750000,1,300,300,116.81,46.37,0,1077,300/300/300/300/300/300
1700000002.800000,1,300,300,116.81,45.54,0,1077,300/300/300/300/300/300
1700000002.850000,1,300,300,116.84,174.29,1,1125,300/300/300/300/300/300
1700000002.900000,1,300,300,116.85,47.40,0,1125,300/300/300/300/300/300
1700000002.950000,1,300,300,116.86,47.63,0,1125,300/300/300/300/300/300
1700000003.000000,1,300,300,116.89,266.69,1,1204,300/300/300/300/300/300
1700000003.050000,1,300,300,116.89,49.98,0,1204,300/300/300/300/300/300
1700000003.100000,1,300,300,116.89,46.89,0,1204,300/300/300/300/300/300
1700000003.150000,1,300,300,116.92,191.75,1,1252,300/300/300/300/300/300
1700000003.200000,1,300,300,116.95,49.31,0,1252,300/300/300/300/300/300
1700000003.250000,1,300,300,116.96,46.88,0,1252,300/300/300/300/300/300
1700000003.300000,1,300,300,117.00,212.84,1,1306,300/300/300/300/300/300
1700000003.350000,1,300,300,117.00,47.17,0,1306,300/300/300/300/300/300
1700000003.400000,1,300,300,117.00,47.84,0,1306,300/300/300/300/300/300
1700000003.450000,1,300,300,117.00,218.31,1,1372,300/300/300/300/300/300
1700000003.500000,1,300,300,116.98,49.16,0,1372,300/300/300/300/300/300
1700000003.550000,1,300,300,116.97,48.30,0,1372,300/300/300/300/300/300
1700000003.600000,1,300,300,116.96,231.68,1,1432,300/300/300/300/300/300
1700000003.650000,1,300,300,116.97,49.65,0,1432,300/300/300/300/300/300
1700000003.700000,1,300,300,116.96,47.86,0,1432,300/300/300/300/300/300
1700000003.750000,1,300,300,116.94,244.83,1,1488,300/300/300/300/300/300
1700000003.800000,1,300,300,116.95,50.94,0,1488,300/300/300/300/300/300
1700000003.850000,1,300,300,116.94,47.15,0,1488,300/300/300/300/300/300
1700000003.900000,1,300,300,116.93,258.13,1,1558,300/300/300/300/300/300
1700000003.950000,1,300,300,116.91,48.21,0,1558,300/300/300/300/300/300
1700000004.000000,1,300,300,116.91,51.27,0,1558,300/300/300/300/300/300
1700000004.050000,1,300,300,116.89,265.20,1,1599,300/300/300/300/300/300
1700000004.100000,1,300,300,116.89,50.56,0,1599,300/300/300/300/300/300
1700000004.150000,1,300,300,116.90,49.75,0,1599,300/300/300/300/300/300
1700000004.200000,1,300,300,116.93,283.07,1,1653,300/300/300/300/300/300
1700000004.250000,1,300,300,116.96,48.76,0,1653,300/300/300/300/300/300
1700000004.300000,1,300,300,117.00,47.37,0,1653,300/300/300/300/300/300
1700000004.350000,1,300,300,117.00,298.02,1,1704,300/300/300/300/300/300
1700000004.400000,1,300,300,116.98,50.45,0,1704,300/300/300/300/300/300
1700000004.450000,1,300,300,116.96,48.94,0,1704,300/300/300/300/300/300
1700000004.500000,1,300,300,116.95,305.11,1,1760,300/300/300/300/300/300
1700000004.550000,1,300,300,116.98,49.55,0,1760,300/300/300/300/300/300
1700000004.600000,1,300,300,116.98,47.06,0,1760,300/300/300/300/300/300
1700000004.650000,1,300,300,116.99,429.93,1,1812,300/300/300/300/300/300
1700000004.700000,1,300,300,117.00,48.71,0,1812,300/300/300/300/300/300
1700000004.750000,1,300,300,117.03,49.57,0,1812,300/300/300/300/300/300
1700000004.800000,1,300,300,117.04,325.92,1,1865,300/300/300/300/300/300
1700000004.850000,1,300,300,117.05,50.43,0,1865,300/300/300/300/300/300
1700000004.900000,1,300,300,117.02,49.58,0,1865,300/300/300/300/300/300
1700000004.950000,1,300,300,117.02,369.94,1,1920,300/300/300/300/300/300
1700000005.000000,1,300,300,117.02,47.17,0,1920,300/300/300/300/300/300
1700000005.050000,1,300,300,116.98,49.14,0,1920,300/300/300/300/300/300
1700000005.100000,1,300,300,116.98,306.46,1,1678,300/300/300/300/300/300
1700000005.150000,1,300,300,116.97,51.09,0,1678,300/300/300/300/300/300
1700000005.200000,1,300,300,116.94,47.99,0,1678,300/300/300/300/300/300
1700000005.250000,1,300,300,116.91,252.93,1,1500,300/300/300/300/300/300
1700000005.300000,1,300,300,116.88,49.59,0,1500,300/300/300/300/300/300
1700000005.350000,1,300,300,116.82,49.63,0,1500,300/300/300/300/300/300
1700000005.400000,1,300,300,116.76,145.63,1,1468,300/300/300/300/300/300
1700000005.450000,1,300,300,116.68,49.78,0,1468,300/300/300/300/300/300
1700000005.500000,1,300,300,116.61,49.67,0,1468,300/300/300/300/300/300
1700000005.550000,1,300,300,116.54,183.23,1,1614,300/300/300/300/300/300
1700000005.600000,1,300,300,116.47,49.63,0,1614,300/300/300/300/300/300
1700000005.650000,1,300,300,116.36,49.80,0,1614,300/300/300/300/300/300
1700000005.700000,1,300,300,116.28,182.72,1,1643,300/300/300/300/300/300
1700000005.750000,1,300,300,116.19,52.43,0,1643,300/300/300/300/300/300
1700000005.800000,1,300,300,116.11,48.79,0,1643,300/300/300/300/300/300
1700000005.850000,1,300,300,115.97,196.44,1,1695,300/300/300/300/300/300
1700000005.900000,1,300,300,115.84,51.56,0,1695,300/300/300/300/300/300
1700000005.950000,1,300,300,115.67,48.37,0,1695,300/300/300/300/300/300
1700000006.000000,1,300,300,115.46,194.89,1,1752,300/300/300/300/300/300
1700000006.050000,1,300,300,115.23,52.71,0,1752,300/300/300/300/300/300
1700000006.100000,1,300,300,114.95,50.98,0,1752,300/300/300/300/300/300
1700000006.150000,1,300,300,114.63,214.84,1,1798,300/300/300/300/300/300
1700000006.200000,1,300,300,114.23,55.65,0,1798,300/300/300/300/300/300
1700000006.250000,1,300,300,113.76,63.60,0,1798,300/300/300/300/300/300
1700000006.300000,1,300,300,113.27,221.67,1,1815,300/300/300/300/300/300
1700000006.350000,1,300,300,112.78,51.85,0,1815,300/300/300/300/300/300
1700000006.400000,1,300,300,116.65,66.40,0,1815,300/300/300/300/300/300
1700000006.450000,1,300,300,116.61,240.46,1,1991,300/300/300/300/300/300
1700000006.500000,1,300,300,116.60,54.06,0,1991,300/300/300/300/300/300
1700000006.550000,1,300,300,116.58,48.52,0,1991,300/300/300/300/300/300
1700000006.600000,1,300,300,116.58,228.08,1,2073,300/300/300/300/300/300
1700000006.650000,1,300,300,116.56,50.37,0,2073,300/300/300/300/300/300
1700000006.700000,1,300,300,116.55,49.48,0,2073,300/300/300/300/300/300
1700000006.750000,1,300,300,116.54,239.34,1,2157,300/300/300/300/300/300
1700000006.800000,1,300,300,116.54,63.30,0,2157,300/300/300/300/300/300
1700000006.850000,1,300,300,110.68,67.12,0,2157,300/300/300/300/300/300
1700000006.900000,1,300,300,112.20,156.98,1,2152,300/300/300/300/300/300
1700000006.950000,1,300,300,113.41,53.74,0,2152,300/300/300/300/300/300
1700000007.000000,1,300,300,114.04,57.32,0,2152,300/300/300/300/300/300
