t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,131.81,2.56,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,131.80,1.87,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,131.81,1.82,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,131.80,1.80,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,131.80,1.78,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,131.81,1.80,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,131.80,1.84,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,131.81,1.79,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,131.80,1.77,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,131.81,1.77,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,131.80,1.79,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,131.81,1.77,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,131.81,1.77,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,131.81,1.82,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,131.80,1.79,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,131.81,1.79,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,131.80,1.77,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,131.80,1.82,0,0,0/0/0/0/0/0
1700000000.900000,1,117,117,131.81,29.61,1,0,117/117/126/165/158/164
1700000000.950000,1,201,164,131.81,34.05,0,0,201/164/159/262/282/237
1700000001.000000,1,212,225,131.80,38.65,0,0,212/225/180/292/300/286
1700000001.050000,1,287,269,131.80,49.51,1,115,287/269/244/300/300/300
1700000001.100000,1,300,300,131.81,43.00,0,115,300/300/252/300/300/300
1700000001.150000,1,300,300,131.80,43.44,0,115,300/300/292/300/300/300
1700000001.200000,1,300,300,131.82,64.21,1,188,300/300/300/300/300/300
1700000001.250000,1,300,300,131.81,40.43,0,188,300/300/300/300/300/300
1700000001.300000,1,300,300,131.81,40.06,0,188,300/300/300/300/300/300
1700000001.350000,1,300,300,131.80,78.16,1,283,300/300/300/300/300/300
1700000001.400000,1,300,300,131.80,40.45,0,283,300/300/300/300/300/300
1700000001.450000,1,300,300,131.80,41.33,0,283,300/300/300/300/300/300
1700000001.500000,1,300,300,131.80,75.32,1,181,300/300/300/300/300/300
1700000001.550000,1,300,300,131.80,41.22,0,181,300/300/300/300/300/300
1700000001.600000,1,300,300,131.81,40.03,0,181,300/300/300/300/300/300
1700000001.650000,1,300,300,131.82,70.11,1,262,300/300/300/300/300/300
1700000001.700000,1,300,300,131.80,40.36,0,262,300/300/300/300/300/300
1700000001.750000,1,300,300,131.80,39.96,0,262,300/300/300/300/300/300
1700000001.800000,1,300,300,131.80,68.01,1,392,300/300/299/300/300/300
1700000001.850000,1,300,300,131.81,41.50,0,392,300/300/300/300/300/300
1700000001.900000,1,300,300,131.81,39.54,0,392,300/300/300/300/300/300
1700000001.950000,1,300,300,131.78,78.49,1,597,300/300/300/300/300/300
1700000002.000000,1,300,300,131.79,42.86,0,597,300/300/300/300/300/300
1700000002.050000,1,300,300,131.80,43.91,0,597,300/300/298/300/300/300
1700000002.100000,1,300,300,131.78,89.69,1,819,300/300/300/300/300/300
1700000002.150000,1,300,300,131.79,43.84,0,819,300/300/300/300/300/300
1700000002.200000,1,300,300,131.79,42.32,0,819,300/300/300/300/300/300
1700000002.250000,1,300,300,131.78,94.56,1,894,300/300/300/300/300/300
1700000002.300000,1,300,300,131.77,45.04,0,894,300/300/300/300/300/300
1700000002.350000,1,300,300,131.78,44.24,0,894,300/300/300/300/300/300
1700000002.400000,1,300,300,131.76,103.06,1,943,300/300/300/300/300/300
1700000002.450000,1,300,300,131.77,46.43,0,943,300/300/300/300/300/300
1700000002.500000,1,300,300,131.77,43.62,0,943,300/300/300/300/300/300
1700000002.550000,1,300,300,131.75,113.13,1,1004,300/300/300/300/300/300
1700000002.600000,1,300,300,131.73,47.40,0,1004,300/300/300/300/300/300
1700000002.650000,1,300,300,131.74,47.56,0,1004,300/300/300/300/300/300
1700000002.700000,1,300,300,131.71,120.58,1,1065,300/300/300/300/300/300
1700000002.750000,1,300,300,131.70,48.90,0,1065,300/300/300/300/300/300
1700000002.800000,1,300,300,131.70,46.92,0,1065,300/300/298/300/300/300
1700000002.850000,1,298,300,131.68,125.26,1,1128,298/300/290/300/300/300
1700000002.900000,1,289,300,131.66,47.72,0,1128,289/300/295/300/300/300
1700000002.950000,1,300,300,131.65,47.32,0,1128,300/300/299/300/300/300
1700000003.000000,1,300,300,131.64,131.55,1,1194,300/300/300/300/300/300
1700000003.050000,1,300,300,131.62,46.97,0,1194,300/300/300/300/300/300
