t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1700000000.000000,0,0,0,116.70,2.57,0,0
1700000000.050000,0,0,0,116.70,1.87,0,0
1700000000.100000,0,0,0,116.71,1.84,0,0
1700000000.150000,0,0,0,116.71,1.87,0,0
1700000000.200000,0,0,0,116.71,1.82,0,0
1700000000.250000,0,0,0,116.71,1.77,0,0
1700000000.300000,0,0,0,116.71,1.80,0,0
1700000000.350000,0,0,0,116.71,1.88,0,0
1700000000.400000,0,0,0,116.71,1.83,0,0
1700000000.450000,0,0,0,116.71,1.78,0,0
1700000000.500000,0,0,0,116.71,1.79,0,0
1700000000.550000,0,0,0,116.70,1.77,0,0
1700000000.600000,0,0,0,116.71,1.81,0,0
1700000000.650000,0,0,0,116.72,1.78,0,0
1700000000.700000,0,0,0,116.71,1.78,0,0
1700000000.750000,0,0,0,116.72,1.78,0,0
1700000000.800000,0,0,0,116.71,1.80,0,0
1700000000.850000,0,0,0,116.71,1.77,0,0
1700000000.900000,1,244,0,116.71,41.13,1,0
1700000000.950000,1,300,0,116.71,44.40,0,0
1700000001.000000,1,300,0,116.71,44.39,0,0
1700000001.050000,1,300,0,116.72,48.28,1,49
1700000001.100000,1,300,0,116.72,44.63,0,49
1700000001.150000,1,300,0,116.71,45.31,0,49
1700000001.200000,1,300,0,116.70,50.53,1,28
1700000001.250000,1,300,0,116.72,45.92,0,28
1700000001.300000,1,300,0,116.72,44.44,0,28
1700000001.350000,1,300,0,116.72,49.45,1,26
1700000001.400000,1,300,0,116.71,44.56,0,26
1700000001.450000,1,300,0,116.71,44.10,0,26
1700000001.500000,1,300,0,116.71,52.07,1,26
1700000001.550000,1,300,0,116.70,44.20,0,26
1700000001.600000,1,300,0,116.71,44.86,0,26
1700000001.650000,1,300,0,116.70,50.79,1,42
1700000001.700000,1,300,0,116.70,45.33,0,42
1700000001.750000,1,300,0,116.71,44.70,0,42
1700000001.800000,1,300,0,116.70,52.04,1,86
1700000001.850000,1,300,0,116.72,44.93,0,86
1700000001.900000,1,300,0,116.71,44.55,0,86
1700000001.950000,1,300,0,116.71,53.99,1,99
1700000002.000000,1,300,0,116.71,44.77,0,99
1700000002.050000,1,300,0,116.72,44.18,0,99
1700000002.100000,1,300,0,116.72,56.80,1,132
1700000002.150000,1,300,0,116.73,45.10,0,132
1700000002.200000,1,300,0,116.73,45.86,0,132
1700000002.250000,1,300,0,116.72,58.62,1,142
1700000002.300000,1,300,0,116.73,45.85,0,142
1700000002.350000,1,300,0,116.73,45.26,0,142
1700000002.400000,1,300,0,116.75,56.37,1,152
1700000002.450000,1,300,0,116.76,45.42,0,152
1700000002.500000,1,300,0,116.76,46.54,0,152
1700000002.550000,1,300,0,116.77,62.05,1,165
1700000002.600000,1,300,0,116.77,46.18,0,165
1700000002.650000,1,300,0,116.78,45.30,0,165
1700000002.700000,1,300,0,116.79,64.25,1,171
1700000002.750000,1,300,0,116.80,45.86,0,171
1700000002.800000,1,300,0,116.80,46.14,0,171
1700000002.850000,1,300,0,116.82,66.53,1,180
1700000002.900000,1,300,0,116.83,45.73,0,180
1700000002.950000,1,300,0,116.84,46.59,0,180
1700000003.000000,1,300,0,116.87,68.08,1,184
1700000003.050000,1,300,0,116.87,45.22,0,184
1700000003.100000,1,300,0,116.88,44.47,0,184
1700000003.150000,1,300,0,116.91,69.76,1,188
1700000003.200000,1,300,0,116.95,44.47,0,188
1700000003.250000,1,300,0,116.96,44.95,0,188
1700000003.300000,1,300,0,116.98,70.40,1,199
1700000003.350000,1,300,0,116.99,45.25,0,199
1700000003.400000,1,300,0,116.98,45.16,0,199
1700000003.450000,1,300,0,116.97,67.58,1,204
1700000003.500000,1,300,0,116.97,44.52,0,204
1700000003.550000,1,300,0,116.95,44.23,0,204
1700000003.600000,1,300,0,116.96,68.94,1,214
1700000003.650000,1,300,0,116.95,45.04,0,214
1700000003.700000,1,300,0,116.94,43.77,0,214
1700000003.750000,1,300,0,116.94,57.83,1,224
1700000003.800000,1,300,0,116.93,70.52,0,224
1700000003.850000,1,300,0,116.92,44.31,0,224
1700000003.900000,1,300,0,116.91,101.05,1,232
1700000003.950000,1,300,0,116.90,43.99,0,232
1700000004.000000,1,300,0,116.90,44.86,0,232
1700000004.050000,1,300,0,116.89,76.67,1,242
1700000004.100000,1,300,0,116.87,44.62,0,242
1700000004.150000,1,300,0,116.88,45.30,0,242
1700000004.200000,1,300,0,116.92,83.55,1,252
1700000004.250000,1,300,0,116.95,45.46,0,252
