t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,110.14,2.59,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,110.27,1.85,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,110.40,1.83,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,110.54,1.75,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,110.67,1.85,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,110.78,1.81,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,110.87,1.81,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,110.94,1.73,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,111.01,1.82,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,111.04,1.77,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,111.09,1.82,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,111.16,1.72,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,111.24,1.77,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,111.34,1.73,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,111.44,1.91,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,111.52,1.74,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,111.59,1.82,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,111.65,1.85,0,0,0/0/0/0/0/0
1700000000.900000,0,0,0,111.68,1.82,0,0,0/0/0/0/0/0
1700000000.950000,0,0,0,111.71,1.79,0,0,0/0/0/0/0/0
1700000001.000000,0,0,0,111.74,1.81,0,0,0/0/0/0/0/0
1700000001.050000,0,0,0,111.77,1.94,0,0,0/0/0/0/0/0
1700000001.100000,0,0,0,111.79,1.84,0,0,0/0/0/0/0/0
1700000001.150000,0,0,0,111.81,1.79,0,0,0/0/0/0/0/0
1700000001.200000,0,0,0,111.81,1.77,0,0,0/0/0/0/0/0
1700000001.250000,0,0,0,111.82,1.84,0,0,0/0/0/0/0/0
1700000001.300000,0,0,0,111.83,1.78,0,0,0/0/0/0/0/0
1700000001.350000,0,0,0,111.84,1.76,0,0,0/0/0/0/0/0
1700000001.400000,0,0,0,111.87,1.78,0,0,0/0/0/0/0/0
1700000001.450000,0,0,0,111.88,1.76,0,0,0/0/0/0/0/0
1700000001.500000,0,0,0,111.87,1.90,0,0,0/0/0/0/0/0
1700000001.550000,0,0,0,111.84,1.79,0,0,0/0/0/0/0/0
1700000001.600000,0,0,0,111.80,1.76,0,0,0/0/0/0/0/0
1700000001.650000,0,0,0,111.79,1.77,0,0,0/0/0/0/0/0
1700000001.700000,0,0,0,111.78,1.81,0,0,0/0/0/0/0/0
1700000001.750000,0,0,0,111.80,1.74,0,0,0/0/0/0/0/0
1700000001.800000,0,0,0,111.79,1.83,0,0,0/0/0/0/0/0
1700000001.850000,0,0,0,111.80,1.76,0,0,0/0/0/0/0/0
1700000001.900000,0,0,0,111.78,1.81,0,0,0/0/0/0/0/0
1700000001.950000,0,0,0,111.77,2.12,0,0,0/0/0/0/0/0
1700000002.000000,0,0,0,111.76,1.78,0,0,0/0/0/0/0/0
1700000002.050000,0,0,0,111.75,1.72,0,0,0/0/0/0/0/0
1700000002.100000,0,0,0,111.75,1.78,0,0,0/0/0/0/0/0
1700000002.150000,0,0,0,111.75,1.77,0,0,0/0/0/0/0/0
1700000002.200000,0,0,0,111.74,1.78,0,0,0/0/0/0/0/0
1700000002.250000,0,0,0,111.73,1.72,0,0,0/0/0/0/0/0
1700000002.300000,0,0,0,111.69,1.80,0,0,0/0/0/0/0/0
1700000002.350000,0,0,0,111.65,1.79,0,0,0/0/0/0/0/0
1700000002.400000,0,0,0,111.59,1.79,0,0,0/0/0/0/0/0
1700000002.450000,0,0,0,111.52,1.79,0,0,0/0/0/0/0/0
1700000002.500000,0,0,0,111.45,1.81,0,0,0/0/0/0/0/0
1700000002.550000,0,0,0,111.36,1.88,0,0,0/0/0/0/0/0
1700000002.600000,0,0,0,111.27,1.81,0,0,0/0/0/0/0/0
