t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,270,259,110.14,1592.89,0,0,270/259/157/300/300/300
1700000000.050000,0,300,300,110.27,82.36,0,0,300/300/228/300/300/300
1700000000.100000,0,300,300,110.40,88.71,0,0,300/300/256/300/300/300
1700000000.150000,0,300,300,110.54,44.47,0,0,300/300/289/300/300/300
1700000000.200000,0,300,300,110.67,90.59,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,110.78,46.89,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,110.87,86.50,0,0,300/300/300/300/300/300
1700000000.350000,0,300,300,110.94,45.65,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,111.01,85.12,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,111.04,43.46,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,111.09,83.57,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,111.16,42.80,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,111.24,83.64,0,0,300/300/300/300/300/300
1700000000.650000,0,300,300,111.34,43.70,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,111.44,82.19,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,111.52,44.20,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,111.59,82.35,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,111.65,43.27,0,0,300/300/300/300/300/300
1700000000.900000,0,300,300,111.68,81.07,0,0,300/300/300/300/300/300
1700000000.950000,0,300,300,111.71,42.65,0,0,300/300/300/300/300/300
1700000001.000000,0,300,300,111.74,82.36,0,0,300/300/300/300/300/300
1700000001.050000,0,300,300,111.77,42.19,0,0,300/300/300/300/300/300
1700000001.100000,0,300,300,111.79,80.36,0,0,300/300/300/300/300/300
1700000001.150000,0,300,300,111.81,40.90,0,0,300/300/300/300/300/300
1700000001.200000,0,300,300,111.81,79.47,0,0,300/300/300/300/300/300
1700000001.250000,0,300,300,111.82,42.83,0,0,300/300/300/300/300/300
1700000001.300000,0,300,300,111.83,81.10,0,0,300/300/300/300/300/300
1700000001.350000,0,300,300,111.84,42.45,0,0,300/300/300/300/300/300
1700000001.400000,0,300,300,111.87,82.26,0,0,300/300/300/300/300/300
1700000001.450000,0,300,300,111.88,42.42,0,0,300/300/300/300/300/300
1700000001.500000,1,300,300,111.87,102.98,1,0,300/300/300/300/300/300
1700000001.550000,1,300,300,111.84,41.43,0,0,300/300/300/300/300/300
1700000001.600000,1,300,300,111.80,41.63,0,0,300/300/300/300/300/300
1700000001.650000,1,300,300,111.79,53.59,1,321,300/300/300/300/300/300
1700000001.700000,1,300,300,111.78,42.78,0,321,300/300/300/300/300/300
