t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,267,251,110.14,1518.72,0,0,267/251/153/300/300/300
1700000000.050000,0,300,300,110.26,44.77,0,0,300/300/235/300/300/300
1700000000.100000,0,300,300,110.40,89.32,0,0,300/300/254/300/300/300
1700000000.150000,0,300,300,110.56,44.73,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,110.69,88.30,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,110.78,45.76,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,110.88,82.72,0,0,300/300/300/300/300/300
1700000000.350000,0,300,300,110.94,45.56,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,111.01,85.13,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,111.04,43.69,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,111.09,89.28,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,111.16,43.83,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,111.24,82.46,0,0,300/300/300/300/300/300
1700000000.650000,0,300,300,111.33,43.63,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,111.43,82.77,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,111.51,43.53,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,111.60,82.28,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,111.64,43.20,0,0,300/300/300/300/300/300
1700000000.900000,0,300,300,111.68,83.56,0,0,300/300/300/300/300/300
1700000000.950000,0,300,300,111.71,43.98,0,0,300/300/300/300/300/300
1700000001.000000,0,300,300,111.75,82.71,0,0,300/300/300/300/300/300
1700000001.050000,0,300,300,111.76,44.77,0,0,300/300/300/300/300/300
1700000001.100000,0,300,300,111.78,80.94,0,0,300/300/300/300/300/300
1700000001.150000,0,300,300,111.80,42.56,0,0,300/300/300/300/300/300
1700000001.200000,0,300,300,111.81,79.46,0,0,300/300/300/300/300/300
1700000001.250000,0,300,300,111.81,40.39,0,0,300/300/300/300/300/300
1700000001.300000,0,300,300,111.82,80.16,0,0,300/300/300/300/300/300
1700000001.350000,0,300,300,111.84,40.84,0,0,300/300/300/300/300/300
1700000001.400000,0,300,300,111.86,82.27,0,0,300/300/300/300/300/300
1700000001.450000,0,300,300,111.88,41.35,0,0,300/300/300/300/300/300
1700000001.500000,1,300,300,111.86,102.29,1,0,300/300/300/300/300/300
1700000001.550000,1,300,300,111.84,53.84,1,321,300/300/300/300/300/300
1700000001.600000,1,300,300,111.80,76.45,1,669,300/300/300/300/300/300
1700000001.650000,1,300,300,111.79,98.64,1,829,300/300/300/300/300/300
1700000001.700000,1,300,300,111.77,95.34,1,851,300/300/300/300/300/300
1700000001.750000,1,300,300,111.78,112.38,1,875,300/300/300/300/300/300
1700000001.800000,1,300,300,111.79,110.60,1,902,300/300/300/300/300/300
1700000001.850000,1,300,300,111.79,123.77,1,922,300/300/300/300/300/300
1700000001.900000,1,300,300,111.78,137.58,1,941,300/300/300/300/300/300
1700000001.950000,1,300,300,111.77,138.70,1,954,300/300/300/300/300/300
1700000002.000000,1,300,300,111.76,146.20,1,972,300/300/300/300/300/300
1700000002.050000,1,300,300,111.75,218.27,1,974,300/300/300/300/300/300
1700000002.100000,1,300,300,111.76,215.38,1,992,300/300/300/300/300/300
1700000002.150000,1,300,300,111.74,186.72,1,1005,300/300/300/300/300/300
1700000002.200000,1,300,300,111.75,249.83,1,1018,300/300/300/300/300/300
1700000002.250000,1,300,300,111.73,271.28,1,1037,300/300/300/300/300/300
1700000002.300000,1,300,300,111.71,298.15,1,1058,300/300/300/300/300/300
1700000002.350000,1,300,300,111.65,317.28,1,1065,300/300/300/300/300/300
1700000002.400000,1,300,300,111.58,235.00,1,1089,300/300/300/300/300/300
1700000002.450000,1,300,300,111.51,280.39,1,1113,300/300/300/300/300/300
1700000002.500000,1,300,300,111.44,203.76,1,1136,300/300/300/300/300/300
1700000002.550000,1,300,300,111.36,212.41,1,1151,300/300/300/300/300/300
1700000002.600000,1,300,300,111.26,179.49,1,1179,300/300/300/300/300/300
1700000002.650000,1,300,300,111.19,353.61,1,1198,300/300/300/300/300/300
1700000002.700000,1,300,300,111.12,351.15,1,1229,300/300/300/300/300/300
1700000002.750000,1,300,300,111.06,385.86,1,1251,300/300/300/300/300/300
1700000002.800000,1,300,300,111.02,215.27,1,1278,300/300/300/300/300/300
1700000002.850000,1,300,300,110.97,222.61,1,1304,300/300/300/300/300/300
1700000002.900000,1,300,300,110.91,231.54,1,1335,300/300/300/300/300/300
1700000002.950000,1,300,300,110.85,464.92,1,1363,300/300/300/300/300/300
1700000003.000000,1,300,300,110.76,245.87,1,1396,300/300/300/300/300/300
1700000003.050000,1,300,300,110.69,484.14,1,1422,300/300/300/300/300/300
1700000003.100000,1,300,300,110.58,537.42,1,1457,300/300/300/300/300/300
1700000003.150000,1,300,300,110.48,386.42,1,1128,300/300/300/300/300/300
1700000003.200000,1,300,300,110.41,217.00,1,999,300/300/300/300/300/300
1700000003.250000,1,300,300,110.33,102.33,1,1141,300/300/300/300/300/300
1700000003.300000,1,300,300,110.22,185.68,1,1268,300/300/300/300/300/300
1700000003.350000,1,300,300,110.11,135.40,1,1281,300/300/300/300/300/300
1700000003.400000,1,300,300,110.01,137.89,1,1299,300/300/300/300/300/300
1700000003.450000,1,300,300,109.92,123.16,1,1321,300/300/300/300/300/300
1700000003.500000,1,300,300,109.86,45.78,0,1321,300/300/300/300/300/300
1700000003.550000,1,300,300,109.78,49.78,0,1321,300/300/300/300/300/300
1700000003.600000,1,300,300,109.73,139.97,1,1338,300/300/300/300/300/300
1700000003.650000,1,300,300,109.66,45.35,0,1338,300/300/300/300/300/300
1700000003.700000,1,300,300,109.59,45.55,0,1338,300/300/300/300/300/300
1700000003.750000,1,300,300,109.53,209.13,1,1386,300/300/300/300/300/300
1700000003.800000,1,300,300,109.42,46.89,0,1386,300/300/300/300/300/300
1700000003.850000,1,300,300,109.31,45.70,0,1386,300/300/300/300/300/300
1700000003.900000,1,300,300,109.23,204.87,1,1425,300/300/300/300/300/300
1700000003.950000,1,300,300,109.14,46.35,0,1425,300/300/300/300/300/300
1700000004.000000,1,300,300,109.07,46.12,0,1425,300/300/300/300/300/300
1700000004.050000,1,300,300,109.02,164.82,1,1459,300/300/300/300/300/300
1700000004.100000,1,300,300,108.98,48.33,0,1459,300/300/300/300/300/300
1700000004.150000,1,300,300,108.92,45.41,0,1459,300/300/300/300/300/300
1700000004.200000,1,300,300,108.89,219.40,1,1510,300/300/300/300/300/300
1700000004.250000,1,300,300,108.82,46.37,0,1510,300/300/300/300/300/300
1700000004.300000,1,300,300,108.77,46.25,0,1510,300/300/300/300/300/300
1700000004.350000,1,300,300,108.71,175.11,1,1546,300/300/300/300/300/300
1700000004.400000,1,300,300,108.63,47.32,0,1546,300/300/300/300/300/300
1700000004.450000,1,300,300,108.58,46.51,0,1546,300/300/300/300/300/300
1700000004.500000,1,300,300,108.54,191.29,1,1581,300/300/300/300/300/300
1700000004.550000,1,300,300,108.53,46.07,0,1581,300/300/300/300/300/300
1700000004.600000,1,300,300,108.51,46.05,0,1581,300/300/300/300/300/300
1700000004.650000,1,300,300,108.49,153.25,1,1628,300/300/300/300/300/300
1700000004.700000,1,300,300,108.50,46.50,0,1628,300/300/300/300/300/300
1700000004.750000,1,300,300,108.50,45.83,0,1628,300/300/300/300/300/300
1700000004.800000,1,300,300,108.47,158.10,1,1651,300/300/300/300/300/300
1700000004.850000,1,300,300,108.46,56.23,0,1651,300/300/300/300/300/300
1700000004.900000,1,300,300,108.43,49.03,0,1651,300/300/300/300/300/300
1700000004.950000,1,300,300,108.41,253.83,1,1699,300/300/300/300/300/300
1700000005.000000,1,300,300,108.39,47.56,0,1699,300/300/300/300/300/300
1700000005.050000,1,300,300,108.36,46.48,0,1699,300/300/300/300/300/300
1700000005.100000,1,300,300,108.34,261.85,1,1724,300/300/300/300/300/300
1700000005.150000,1,300,300,108.30,51.17,0,1724,300/300/300/300/300/300
1700000005.200000,1,300,300,108.29,46.79,0,1724,300/300/300/300/300/300
1700000005.250000,1,300,300,108.25,298.37,1,1760,300/300/300/300/300/300
1700000005.300000,1,300,300,108.22,50.97,0,1760,300/300/300/300/300/300
1700000005.350000,1,300,300,108.19,48.97,0,1760,300/300/300/300/300/300
1700000005.400000,1,300,300,108.18,233.81,1,1799,300/300/300/300/300/300
1700000005.450000,1,300,300,108.18,47.30,0,1799,300/300/300/300/300/300
1700000005.500000,1,300,300,108.20,47.42,0,1799,300/300/300/300/300/300
1700000005.550000,1,300,300,108.20,328.56,1,1842,300/300/300/300/300/300
1700000005.600000,1,300,300,108.21,48.68,0,1842,300/300/300/300/300/300
1700000005.650000,1,300,300,108.21,48.20,0,1842,300/300/300/300/300/300
1700000005.700000,1,300,300,108.22,333.95,1,1852,300/300/300/300/300/300
1700000005.750000,1,300,300,108.22,47.58,0,1852,300/300/300/300/300/300
1700000005.800000,1,300,300,108.22,48.11,0,1852,300/300/300/300/300/300
1700000005.850000,1,300,300,108.25,342.92,1,1884,300/300/300/300/300/300
1700000005.900000,1,300,300,108.28,49.57,0,1884,300/300/300/300/300/300
1700000005.950000,1,300,300,108.31,48.79,0,1884,300/300/300/300/300/300
1700000006.000000,1,300,300,108.33,355.15,1,1906,300/300/300/300/300/300
1700000006.050000,1,300,300,108.37,47.76,0,1906,300/300/300/300/300/300
1700000006.100000,1,300,300,108.43,49.34,0,1906,300/300/300/300/300/300
1700000006.150000,1,300,300,108.52,366.05,1,1932,300/300/300/300/300/300
1700000006.200000,1,300,300,108.67,50.16,0,1932,300/300/300/300/300/300
1700000006.250000,1,300,300,108.74,47.44,0,1932,300/300/300/300/300/300
1700000006.300000,1,300,300,108.79,397.30,1,1958,300/300/300/300/300/300
1700000006.350000,1,300,300,108.65,48.85,0,1958,300/300/300/300/300/300
1700000006.400000,1,300,300,108.45,49.43,0,1958,300/300/300/300/300/300
1700000006.450000,1,300,300,108.23,305.31,1,1984,300/300/300/300/300/300
1700000006.500000,1,300,300,108.07,50.82,0,1984,300/300/300/300/300/300
1700000006.550000,1,300,300,107.93,50.77,0,1984,300/300/300/300/300/300
1700000006.600000,1,300,300,107.81,352.02,1,2002,300/300/300/300/300/300
1700000006.650000,1,300,300,107.79,48.79,0,2002,300/300/300/300/300/300
1700000006.700000,1,300,300,107.80,48.76,0,2002,300/300/300/300/300/300
1700000006.750000,1,300,300,107.84,383.73,1,2045,300/300/300/300/300/300
1700000006.800000,1,300,300,107.84,51.67,0,2045,300/300/300/300/300/300
1700000006.850000,1,300,300,107.84,47.56,0,2045,300/300/300/300/300/300
1700000006.900000,1,300,300,107.81,534.19,1,2064,300/300/300/300/300/300
1700000006.950000,1,300,300,107.74,48.83,0,2064,300/300/300/300/300/300
1700000007.000000,1,300,300,107.70,50.89,0,2064,300/300/300/300/300/300
1700000007.050000,1,300,300,107.61,425.15,1,2108,300/300/300/300/300/300
1700000007.100000,1,300,300,107.50,51.26,0,2108,300/300/300/300/300/300
1700000007.150000,1,300,300,107.39,52.25,0,2108,300/300/300/300/300/300
1700000007.200000,1,300,300,107.39,584.27,1,2131,300/300/300/300/300/300
1700000007.250000,1,300,300,107.46,59.49,0,2131,300/300/300/300/300/300
1700000007.300000,1,300,300,107.48,55.02,0,2131,300/300/300/300/300/300
1700000007.350000,1,300,300,107.48,326.81,1,1936,300/300/300/300/300/300
1700000007.400000,1,300,300,107.45,53.78,0,1936,300/300/300/300/300/300
1700000007.450000,1,300,300,107.41,56.02,0,1936,300/300/300/300/300/300
1700000007.500000,1,300,300,107.35,154.89,1,1598,300/300/300/300/300/300
1700000007.550000,1,300,300,107.25,59.09,0,1598,300/300/300/300/300/300
1700000007.600000,1,300,300,107.09,58.82,0,1598,300/300/300/300/300/300
1700000007.650000,1,300,300,106.92,237.22,1,1637,300/300/300/300/300/300
1700000007.700000,1,300,300,106.71,64.61,0,1637,300/300/300/300/300/300
1700000007.750000,1,300,300,106.44,60.38,0,1637,300/300/300/300/300/300
1700000007.800000,1,300,300,106.11,221.60,1,1645,300/300/300/300/300/300
1700000007.850000,1,300,300,105.99,61.35,0,1645,300/300/300/300/300/300
1700000007.900000,1,300,300,105.85,60.06,0,1645,300/300/300/300/300/300
1700000007.950000,1,300,300,105.70,186.20,1,1660,300/300/300/300/300/300
1700000008.000000,1,300,300,105.50,65.86,0,1660,300/300/300/300/300/300
1700000008.050000,1,300,300,105.23,64.05,0,1660,300/300/300/300/300/300
1700000008.100000,1,300,300,104.85,180.59,1,1688,300/300/300/300/300/300
1700000008.150000,1,300,300,104.44,56.96,0,1688,300/300/300/300/300/300
1700000008.200000,1,265,300,111.68,66.28,0,1688,265/300/300/300/300/300
1700000008.250000,1,300,300,111.76,165.04,1,1675,300/300/300/300/300/300
1700000008.300000,1,300,291,111.88,64.60,0,1675,300/291/300/300/300/300
1700000008.350000,1,300,300,111.95,53.52,0,1675,300/300/300/250/300/300
1700000008.400000,1,300,300,112.01,168.85,1,1731,300/300/300/300/286/300
1700000008.450000,1,300,300,112.10,53.32,0,1731,300/300/300/300/300/300
1700000008.500000,1,300,300,112.21,49.11,0,1731,300/300/300/300/300/300
1700000008.550000,1,300,300,112.33,198.80,1,1904,300/300/300/300/300/300
1700000008.600000,1,300,300,112.48,48.47,0,1904,300/300/300/300/300/300
1700000008.650000,1,300,300,112.58,47.83,0,1904,300/300/300/300/300/300
1700000008.700000,1,300,300,112.63,196.25,1,2069,300/300/300/300/300/300
1700000008.750000,1,300,300,112.67,50.72,0,2069,300/300/300/300/300/300
1700000008.800000,1,300,300,112.68,49.60,0,2069,300/300/300/300/300/300
1700000008.850000,1,300,300,112.69,199.41,1,2133,300/300/300/300/300/300
1700000008.900000,1,300,300,112.68,49.16,0,2133,300/300/300/300/300/300
1700000008.950000,1,300,300,112.71,47.94,0,2133,300/300/300/300/300/300
1700000009.000000,1,300,300,112.74,203.76,1,2155,300/300/300/300/300/300
1700000009.050000,1,300,300,112.78,47.25,0,2155,300/300/300/300/300/300
1700000009.100000,1,300,300,112.80,48.83,0,2155,300/300/300/300/300/300
1700000009.150000,1,300,300,112.86,234.35,1,2191,300/300/300/300/300/300
1700000009.200000,1,300,300,112.85,47.25,0,2191,300/300/300/300/300/300
1700000009.250000,1,300,300,112.86,48.14,0,2191,300/300/300/300/300/300
1700000009.300000,1,300,300,112.86,207.37,1,2180,300/300/300/300/300/300
1700000009.350000,1,300,300,111.70,52.40,0,2180,300/300/300/300/300/300
1700000009.400000,1,300,300,112.66,56.42,0,2180,300/300/300/300/300/300
1700000009.450000,1,300,300,112.99,214.98,1,2259,300/300/300/300/300/300
1700000009.500000,1,300,300,113.16,60.94,0,2259,300/300/300/282/291/300
1700000009.550000,1,300,300,113.19,74.73,0,2259,300/300/281/300/300/300
1700000009.600000,1,300,300,113.21,215.28,1,2366,300/300/300/300/300/300
1700000009.650000,1,300,300,113.21,53.79,0,2366,300/300/300/300/300/300
1700000009.700000,1,300,300,113.22,49.27,0,2366,300/300/300/300/300/300
1700000009.750000,1,300,300,113.24,215.86,1,2562,300/300/300/300/300/300
1700000009.800000,1,300,300,113.30,49.51,0,2562,300/300/300/300/300/300
