t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,118.41,2.63,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,118.41,2.52,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,118.41,1.90,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,118.41,1.81,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,118.41,1.80,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,118.42,1.86,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,118.41,1.99,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,118.40,1.81,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,118.41,1.87,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,118.41,1.94,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,118.42,1.81,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,118.40,1.86,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,118.41,1.84,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,118.42,2.00,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,118.41,2.07,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,118.42,2.00,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,118.40,2.27,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,118.42,1.79,0,0,0/0/0/0/0/0
1700000000.900000,1,277,267,118.42,28.99,1,0,277/267/300/239/245/130
1700000000.950000,1,300,300,118.40,37.43,0,0,300/300/300/300/289/177
1700000001.000000,1,300,300,118.42,38.97,0,0,300/300/300/300/300/187
1700000001.050000,1,300,300,118.41,55.13,1,192,300/300/300/300/300/300
1700000001.100000,1,300,300,118.41,48.08,0,192,300/300/300/300/300/300
1700000001.150000,1,300,300,118.42,46.43,0,192,300/300/300/300/300/300
1700000001.200000,1,300,300,118.42,78.15,1,369,300/300/300/300/300/300
1700000001.250000,1,300,300,118.41,45.17,0,369,300/300/300/300/300/300
1700000001.300000,1,300,300,118.42,42.72,0,369,300/300/300/300/300/300
1700000001.350000,1,300,300,118.41,75.47,1,397,300/300/300/300/300/300
1700000001.400000,1,300,300,118.41,43.09,0,397,300/300/300/300/300/300
1700000001.450000,1,300,300,118.42,44.44,0,397,300/300/300/300/300/300
1700000001.500000,1,300,300,118.41,91.82,1,347,300/300/300/300/300/264
1700000001.550000,1,300,300,118.41,41.35,0,347,300/300/300/300/300/300
1700000001.600000,1,300,300,118.41,43.86,0,347,300/300/300/300/300/300
1700000001.650000,1,300,300,118.41,89.45,1,255,300/300/300/300/300/300
1700000001.700000,1,300,300,118.41,43.60,0,255,300/300/300/300/300/300
1700000001.750000,1,300,300,118.40,40.75,0,255,300/300/300/300/300/300
1700000001.800000,1,300,300,118.41,72.35,1,167,300/300/300/300/300/300
1700000001.850000,1,300,300,118.42,42.10,0,167,300/300/300/300/300/300
1700000001.900000,1,300,300,118.41,42.90,0,167,300/300/300/300/300/300
1700000001.950000,1,300,300,118.41,67.48,1,188,300/300/300/300/300/300
1700000002.000000,1,300,300,118.42,41.88,0,188,300/300/300/300/300/300
1700000002.050000,1,300,300,118.41,44.06,0,188,300/300/300/300/300/300
1700000002.100000,1,300,300,118.41,63.37,1,255,300/300/300/300/300/300
1700000002.150000,1,300,300,118.41,44.29,0,255,300/300/300/300/300/300
1700000002.200000,1,300,300,118.41,40.66,0,255,300/300/300/300/300/300
1700000002.250000,1,300,300,118.42,81.45,1,225,300/300/300/300/300/300
1700000002.300000,1,300,300,118.41,42.78,0,225,300/300/300/300/300/300
1700000002.350000,1,300,300,118.40,42.40,0,225,300/300/300/300/300/300
1700000002.400000,1,300,300,118.42,92.55,1,414,300/300/300/300/300/300
1700000002.450000,1,300,300,118.41,43.24,0,414,300/300/300/300/300/300
1700000002.500000,1,300,300,118.41,42.15,0,414,300/300/300/300/300/300
1700000002.550000,1,300,300,118.41,74.32,1,173,300/300/300/300/300/300
1700000002.600000,1,300,300,118.41,42.99,0,173,300/300/300/300/300/300
1700000002.650000,1,300,300,118.41,46.04,0,173,300/300/300/300/300/300
1700000002.700000,1,300,300,118.41,66.90,1,202,300/300/300/300/300/300
1700000002.750000,1,300,300,118.41,42.91,0,202,300/300/300/300/300/300
1700000002.800000,1,300,300,118.40,39.50,0,202,300/300/300/300/300/300
1700000002.850000,1,300,300,118.42,72.71,1,343,300/300/300/300/300/300
1700000002.900000,1,300,300,118.42,41.79,0,343,300/300/300/300/300/300
1700000002.950000,1,300,300,118.40,40.74,0,343,300/300/300/300/300/283
1700000003.000000,1,300,300,118.41,73.82,1,325,300/300/300/300/300/300
1700000003.050000,1,300,300,118.42,42.09,0,325,300/300/300/300/300/300
