t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,273,265,118.41,1609.35,0,0,273/265/300/247/235/135
1700000000.050000,0,300,300,118.41,69.92,0,0,300/300/300/300/296/290
1700000000.100000,0,300,300,118.41,88.56,0,0,300/300/300/300/300/212
1700000000.150000,0,300,300,118.41,39.82,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,118.41,92.36,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,118.42,50.40,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,118.41,92.05,0,0,300/300/300/300/300/288
1700000000.350000,0,300,300,118.40,42.96,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,118.41,88.49,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,118.41,41.95,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,118.42,91.90,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,118.40,45.42,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,118.41,92.01,0,0,300/300/300/300/300/283
1700000000.650000,0,300,300,118.42,44.17,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,118.41,93.84,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,118.42,43.96,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,118.40,88.57,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,118.42,42.04,0,0,300/300/300/300/300/300
1700000000.900000,1,300,300,118.42,45.38,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,118.40,41.61,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,118.42,42.32,0,0,300/300/300/300/300/238
1700000001.050000,1,300,300,118.41,51.46,1,186,300/300/300/300/300/298
1700000001.100000,1,300,300,118.41,42.27,0,186,300/300/300/300/300/300
1700000001.150000,1,300,300,118.42,43.63,0,186,300/300/300/300/300/300
1700000001.200000,1,300,300,118.42,79.52,1,254,300/300/300/300/300/300
1700000001.250000,1,300,300,118.41,41.42,0,254,300/300/300/300/300/300
1700000001.300000,1,300,300,118.42,40.34,0,254,300/300/300/300/300/294
1700000001.350000,1,300,300,118.41,72.25,1,168,300/300/300/300/300/300
1700000001.400000,1,300,300,118.41,42.26,0,168,300/300/300/300/300/300
1700000001.450000,1,300,300,118.42,43.18,0,168,300/300/300/300/300/300
1700000001.500000,1,300,300,118.41,71.61,1,176,300/300/300/300/300/299
1700000001.550000,1,300,300,118.41,41.71,0,176,300/300/300/300/300/300
1700000001.600000,1,300,300,118.41,43.03,0,176,300/300/300/300/300/300
1700000001.650000,1,300,300,118.41,76.25,1,321,300/300/300/300/300/300
1700000001.700000,1,300,300,118.41,44.08,0,321,300/300/300/300/300/300
1700000001.750000,1,300,300,118.40,41.98,0,321,300/300/300/300/300/300
1700000001.800000,1,300,300,118.41,70.48,1,232,300/300/300/300/300/300
1700000001.850000,1,300,300,118.42,42.40,0,232,300/300/300/300/300/300
1700000001.900000,1,300,300,118.41,42.95,0,232,300/300/300/300/300/300
1700000001.950000,1,300,300,118.41,75.32,1,159,300/300/300/300/300/300
1700000002.000000,1,300,300,118.42,41.10,0,159,300/300/300/300/300/300
1700000002.050000,1,300,300,118.41,41.86,0,159,300/300/300/300/300/300
1700000002.100000,1,300,300,118.41,70.87,1,250,300/300/300/300/300/300
1700000002.150000,1,300,300,118.41,42.74,0,250,300/300/300/300/300/300
1700000002.200000,1,300,300,118.41,45.43,0,250,300/300/300/300/300/300
1700000002.250000,1,300,300,118.42,72.13,1,235,300/300/300/300/300/300
1700000002.300000,1,300,300,118.41,41.63,0,235,300/300/300/300/300/300
1700000002.350000,1,300,300,118.40,43.14,0,235,300/300/300/300/300/300
1700000002.400000,1,300,300,118.42,74.20,1,225,300/300/300/300/300/300
1700000002.450000,1,300,300,118.41,40.18,0,225,300/300/300/300/300/300
1700000002.500000,1,300,300,118.41,44.25,0,225,300/300/300/300/300/300
1700000002.550000,1,300,300,118.41,86.85,1,388,300/300/300/300/300/300
1700000002.600000,1,300,300,118.41,42.05,0,388,300/300/300/300/300/300
1700000002.650000,1,300,300,118.41,40.85,0,388,300/300/300/300/300/300
1700000002.700000,1,300,300,118.41,85.61,1,220,300/300/300/300/300/300
1700000002.750000,1,300,300,118.41,41.59,0,220,300/300/300/300/300/300
1700000002.800000,1,300,300,118.40,43.99,0,220,300/300/300/300/300/300
1700000002.850000,1,300,300,118.42,69.63,1,225,300/300/300/300/300/300
1700000002.900000,1,300,300,118.42,41.51,0,225,300/300/300/300/300/300
1700000002.950000,1,300,300,118.40,41.74,0,225,300/300/300/300/300/300
1700000003.000000,1,300,300,118.41,69.48,1,306,300/300/300/300/300/300
1700000003.050000,1,300,300,118.42,42.24,0,306,300/300/300/300/300/300
1700000003.100000,1,300,300,118.41,41.58,0,306,300/300/300/300/300/300
1700000003.150000,1,300,300,118.42,74.09,1,243,300/300/300/300/300/300
1700000003.200000,1,300,300,118.41,49.38,0,243,300/300/300/300/300/300
1700000003.250000,1,300,300,118.41,43.02,0,243,300/300/300/300/300/300
1700000003.300000,1,300,300,118.40,70.72,1,246,300/300/300/300/300/300
1700000003.350000,1,300,300,118.41,43.13,0,246,300/300/300/300/300/300
1700000003.400000,1,300,300,118.41,40.28,0,246,300/300/300/300/300/300
1700000003.450000,1,300,300,118.42,77.30,1,361,300/300/300/300/300/300
1700000003.500000,1,300,300,118.42,41.32,0,361,300/300/300/300/300/300
1700000003.550000,1,300,300,118.41,43.18,0,361,300/300/300/300/300/300
1700000003.600000,1,300,300,118.42,82.28,1,241,300/300/300/300/300/300
1700000003.650000,1,300,300,118.41,42.03,0,241,300/300/300/300/300/300
1700000003.700000,1,300,300,118.41,43.04,0,241,300/300/300/300/300/300
1700000003.750000,1,300,300,118.41,75.66,1,232,300/300/300/300/300/300
1700000003.800000,1,300,300,118.42,42.74,0,232,300/300/300/300/300/300
1700000003.850000,1,300,300,118.41,40.95,0,232,300/300/300/300/300/300
1700000003.900000,1,300,300,118.42,73.39,1,328,300/300/300/300/300/300
1700000003.950000,1,300,300,118.40,41.35,0,328,300/300/300/300/300/300
1700000004.000000,1,300,300,118.40,45.77,0,328,300/300/300/300/300/300
1700000004.050000,1,300,300,118.41,78.77,1,327,300/300/300/300/300/300
1700000004.100000,1,300,300,118.41,41.69,0,327,300/300/300/300/300/272
1700000004.150000,1,300,300,118.41,41.14,0,327,300/300/300/300/300/300
1700000004.200000,1,300,300,118.42,80.88,1,325,300/300/300/300/300/300
1700000004.250000,1,300,300,118.42,44.26,0,325,300/300/300/300/300/300
1700000004.300000,1,300,300,118.41,42.87,0,325,300/300/300/300/300/300
1700000004.350000,1,300,300,118.41,88.79,1,380,300/300/300/300/300/300
1700000004.400000,1,300,300,118.42,43.90,0,380,300/300/300/300/300/300
1700000004.450000,1,300,300,118.42,43.35,0,380,300/300/300/300/300/300
1700000004.500000,1,300,300,118.40,90.54,1,403,300/300/300/300/300/300
1700000004.550000,1,300,300,118.41,42.90,0,403,300/300/300/300/300/300
1700000004.600000,1,300,300,118.42,40.90,0,403,300/300/300/300/300/300
1700000004.650000,1,300,300,118.42,94.68,1,405,300/300/300/300/300/300
1700000004.700000,1,300,300,118.41,42.56,0,405,300/300/300/300/300/300
1700000004.750000,1,300,300,118.40,40.89,0,405,300/300/300/300/300/300
1700000004.800000,1,300,300,118.41,101.87,1,420,300/300/300/300/300/300
1700000004.850000,1,300,300,118.41,41.66,0,420,300/300/300/300/300/300
1700000004.900000,1,300,300,118.40,41.77,0,420,300/300/300/300/300/300
1700000004.950000,1,300,300,118.42,109.69,1,440,300/300/300/300/300/300
1700000005.000000,1,300,300,118.41,41.35,0,440,300/300/300/300/300/300
