t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,118.41,2.69,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,118.41,1.81,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,118.41,1.90,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,118.41,1.82,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,118.41,1.87,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,118.42,1.91,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,118.41,1.85,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,118.40,1.78,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,118.41,1.78,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,118.41,1.83,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,118.42,1.89,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,118.40,1.85,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,118.41,1.84,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,118.42,1.80,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,118.41,1.96,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,118.42,1.87,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,118.40,1.80,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,118.42,1.76,0,0,0/0/0/0/0/0
1700000000.900000,1,277,267,118.42,28.53,1,0,277/267/300/239/245/130
1700000000.950000,1,300,300,118.40,37.24,0,0,300/300/300/300/289/177
1700000001.000000,1,300,300,118.42,39.04,0,0,300/300/300/300/300/187
1700000001.050000,1,300,300,118.41,55.17,1,192,300/300/300/300/300/300
1700000001.100000,1,300,300,118.41,48.26,0,192,300/300/300/300/300/300
1700000001.150000,1,300,300,118.42,45.60,0,192,300/300/300/300/300/300
1700000001.200000,1,300,300,118.42,78.75,1,369,300/300/300/300/300/300
1700000001.250000,1,300,300,118.41,43.36,0,369,300/300/300/300/300/300
1700000001.300000,1,300,300,118.42,54.73,0,369,300/300/300/300/300/300
1700000001.350000,1,300,300,118.41,74.84,1,397,300/300/300/300/300/300
1700000001.400000,1,300,300,118.41,43.66,0,397,300/300/300/300/300/300
1700000001.450000,1,300,300,118.42,44.57,0,397,300/300/300/300/300/300
1700000001.500000,1,300,300,118.41,92.02,1,347,300/300/300/300/300/264
1700000001.550000,1,300,300,118.41,41.55,0,347,300/300/300/300/300/300
1700000001.600000,1,300,300,118.41,43.66,0,347,300/300/300/300/300/300
1700000001.650000,1,300,300,118.41,89.93,1,255,300/300/300/300/300/300
1700000001.700000,1,300,300,118.41,44.67,0,255,300/300/300/300/300/300
