t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,273,265,118.41,1519.86,0,0,273/265/300/247/235/135
1700000000.050000,0,300,300,118.41,40.66,0,0,300/300/300/300/296/290
1700000000.100000,0,300,300,118.41,130.14,0,0,300/300/300/300/300/212
1700000000.150000,0,300,300,118.41,39.45,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,118.41,93.64,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,118.42,50.16,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,118.41,93.44,0,0,300/300/300/300/300/288
1700000000.350000,0,300,300,118.40,43.67,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,118.41,90.20,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,118.41,43.04,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,118.42,92.17,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,118.40,45.52,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,118.41,91.61,0,0,300/300/300/300/300/283
1700000000.650000,0,300,300,118.42,43.80,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,118.41,92.00,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,118.42,42.37,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,118.40,88.11,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,118.42,42.25,0,0,300/300/300/300/300/300
1700000000.900000,1,300,300,118.42,45.34,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,118.40,55.96,1,173,300/300/300/300/300/300
1700000001.000000,1,300,300,118.42,67.74,1,252,300/300/300/300/300/239
1700000001.050000,1,300,300,118.41,69.91,1,265,300/300/300/300/300/298
1700000001.100000,1,300,300,118.41,70.24,1,138,300/300/300/300/300/300
1700000001.150000,1,300,300,118.42,69.35,1,206,300/300/300/300/300/300
1700000001.200000,1,300,300,118.42,70.62,1,224,300/300/300/300/300/300
1700000001.250000,1,300,300,118.41,78.77,1,230,300/300/300/300/300/300
1700000001.300000,1,300,300,118.42,71.52,1,199,300/300/300/300/300/300
1700000001.350000,1,300,300,118.41,75.69,1,206,300/300/300/300/300/300
1700000001.400000,1,300,300,118.41,65.83,1,206,300/300/300/300/300/300
1700000001.450000,1,300,300,118.42,65.15,1,206,300/300/300/300/300/300
1700000001.500000,1,300,300,118.41,67.42,1,206,300/300/300/300/300/300
1700000001.550000,1,300,300,118.41,90.47,1,206,300/300/300/300/300/300
1700000001.600000,1,300,300,118.41,100.70,1,399,300/300/300/300/300/300
1700000001.650000,1,300,300,118.41,87.28,1,160,300/300/300/300/300/300
1700000001.700000,1,300,300,118.41,75.86,1,160,300/300/300/300/300/300
1700000001.750000,1,300,300,118.40,126.42,1,492,300/300/300/300/300/300
1700000001.800000,1,300,300,118.41,84.40,1,269,300/300/300/300/300/300
1700000001.850000,1,300,300,118.42,72.66,1,170,300/300/300/300/300/300
1700000001.900000,1,300,300,118.41,74.14,1,280,300/300/300/300/300/300
1700000001.950000,1,300,300,118.41,71.75,1,280,300/300/300/300/300/300
1700000002.000000,1,300,300,118.42,71.81,1,280,300/300/300/300/300/300
1700000002.050000,1,300,300,118.41,72.77,1,280,300/300/300/300/300/300
1700000002.100000,1,300,300,118.41,85.52,1,280,300/300/300/300/300/300
1700000002.150000,1,300,300,118.41,93.92,1,454,300/300/300/300/300/300
1700000002.200000,1,300,300,118.41,84.48,1,188,300/300/300/300/300/300
1700000002.250000,1,300,300,118.42,71.82,1,193,300/300/300/300/300/300
1700000002.300000,1,300,300,118.41,73.31,1,347,300/300/300/300/300/300
1700000002.350000,1,300,300,118.40,80.50,1,281,300/300/300/300/300/300
1700000002.400000,1,300,300,118.42,76.23,1,248,300/300/300/300/300/300
1700000002.450000,1,300,300,118.41,76.77,1,317,300/300/300/300/300/300
1700000002.500000,1,300,300,118.41,81.75,1,328,300/300/300/300/300/300
1700000002.550000,1,300,300,118.41,80.75,1,312,300/300/300/300/300/300
1700000002.600000,1,300,300,118.41,83.40,1,334,300/300/300/300/300/300
1700000002.650000,1,300,300,118.41,88.57,1,352,300/300/300/300/300/300
1700000002.700000,1,300,300,118.41,85.96,1,353,300/300/300/300/300/300
1700000002.750000,1,300,300,118.41,88.88,1,383,300/300/300/300/300/300
