t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,118.41,2.69,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,118.41,1.88,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,118.41,1.82,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,118.41,1.79,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,118.42,1.77,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,118.41,1.77,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,118.41,1.80,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,118.42,1.86,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,118.41,1.76,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,118.41,1.78,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,118.40,1.79,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,118.41,1.87,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,118.40,1.85,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,118.41,1.88,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,118.41,1.79,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,118.40,1.78,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,118.41,1.76,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,118.42,1.78,0,0,0/0/0/0/0/0
1700000000.900000,1,277,281,118.41,29.50,1,0,277/281/300/243/237/133
1700000000.950000,1,300,300,118.42,37.38,0,0,300/300/300/300/300/170
1700000001.000000,1,300,300,118.41,39.63,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,118.40,71.41,1,195,300/300/300/300/300/218
1700000001.100000,1,300,300,118.41,42.41,0,195,300/300/300/300/300/300
1700000001.150000,1,300,300,118.41,43.32,0,195,300/300/300/300/300/300
1700000001.200000,1,300,300,118.42,70.57,1,293,300/300/300/300/300/300
1700000001.250000,1,300,300,118.42,44.22,0,293,300/300/300/300/300/300
1700000001.300000,1,300,300,118.42,49.22,0,293,300/300/300/300/300/300
1700000001.350000,1,300,300,118.41,75.64,1,242,300/300/300/300/300/289
1700000001.400000,1,300,300,118.43,52.91,0,242,300/300/300/300/300/235
1700000001.450000,1,300,300,118.33,54.49,0,242,300/300/300/288/300/211
1700000001.500000,1,300,300,118.04,95.88,1,124,300/300/300/267/300/181
1700000001.550000,1,300,300,117.72,54.08,0,124,300/300/300/271/259/142
1700000001.600000,1,300,300,117.52,48.33,0,124,300/300/300/276/253/143
1700000001.650000,1,300,300,117.34,81.43,1,428,300/300/300/300/300/189
