t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,125.80,2.62,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,125.81,1.89,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,125.78,1.84,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,125.79,1.78,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,125.79,1.77,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,125.78,1.78,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,125.77,1.80,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,125.76,1.87,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,125.73,1.78,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,125.70,1.80,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,125.67,1.78,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,125.65,1.81,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,125.61,1.79,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,125.57,1.78,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,125.53,1.83,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,125.49,1.83,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,125.43,1.78,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,125.38,1.78,0,0,0/0/0/0/0/0
1700000000.900000,0,0,0,125.32,1.84,0,0,0/0/0/0/0/0
1700000000.950000,0,0,0,125.27,1.86,0,0,0/0/0/0/0/0
1700000001.000000,0,0,0,125.23,1.80,0,0,0/0/0/0/0/0
1700000001.050000,0,0,0,125.18,1.77,0,0,0/0/0/0/0/0
1700000001.100000,0,0,0,125.13,1.87,0,0,0/0/0/0/0/0
1700000001.150000,0,0,0,125.08,1.83,0,0,0/0/0/0/0/0
1700000001.200000,0,0,0,125.03,1.82,0,0,0/0/0/0/0/0
1700000001.250000,0,0,0,124.99,1.76,0,0,0/0/0/0/0/0
1700000001.300000,0,0,0,124.94,1.78,0,0,0/0/0/0/0/0
1700000001.350000,0,0,0,124.89,1.80,0,0,0/0/0/0/0/0
1700000001.400000,0,0,0,124.85,1.80,0,0,0/0/0/0/0/0
1700000001.450000,0,0,0,124.81,1.76,0,0,0/0/0/0/0/0
1700000001.500000,0,0,0,124.80,1.82,0,0,0/0/0/0/0/0
1700000001.550000,0,0,0,124.79,1.89,0,0,0/0/0/0/0/0
1700000001.600000,0,0,0,124.76,1.79,0,0,0/0/0/0/0/0
1700000001.650000,0,0,0,124.78,1.85,0,0,0/0/0/0/0/0
1700000001.700000,0,0,0,124.77,1.78,0,0,0/0/0/0/0/0
1700000001.750000,0,0,0,124.73,1.87,0,0,0/0/0/0/0/0
1700000001.800000,0,0,0,124.72,1.82,0,0,0/0/0/0/0/0
1700000001.850000,0,0,0,124.69,1.74,0,0,0/0/0/0/0/0
1700000001.900000,0,0,0,124.65,1.77,0,0,0/0/0/0/0/0
1700000001.950000,0,0,0,124.60,2.11,0,0,0/0/0/0/0/0
1700000002.000000,0,0,0,124.56,1.74,0,0,0/0/0/0/0/0
1700000002.050000,0,0,0,124.54,1.79,0,0,0/0/0/0/0/0
1700000002.100000,0,0,0,124.53,1.80,0,0,0/0/0/0/0/0
1700000002.150000,0,0,0,124.53,1.86,0,0,0/0/0/0/0/0
1700000002.200000,0,0,0,124.52,1.78,0,0,0/0/0/0/0/0
1700000002.250000,0,0,0,124.52,1.81,0,0,0/0/0/0/0/0
1700000002.300000,0,0,0,124.51,1.86,0,0,0/0/0/0/0/0
1700000002.350000,0,0,0,124.48,1.87,0,0,0/0/0/0/0/0
1700000002.400000,0,0,0,124.48,1.78,0,0,0/0/0/0/0/0
1700000002.450000,0,0,0,124.46,1.80,0,0,0/0/0/0/0/0
1700000002.500000,0,0,0,124.45,1.82,0,0,0/0/0/0/0/0
1700000002.550000,0,0,0,124.43,1.81,0,0,0/0/0/0/0/0
1700000002.600000,0,0,0,124.41,1.79,0,0,0/0/0/0/0/0
1700000002.650000,0,0,0,124.38,1.78,0,0,0/0/0/0/0/0
1700000002.700000,0,0,0,124.35,1.83,0,0,0/0/0/0/0/0
1700000002.750000,0,0,0,124.33,1.83,0,0,0/0/0/0/0/0
1700000002.800000,0,0,0,124.30,1.78,0,0,0/0/0/0/0/0
1700000002.850000,0,0,0,124.28,1.72,0,0,0/0/0/0/0/0
1700000002.900000,0,0,0,124.28,1.88,0,0,0/0/0/0/0/0
1700000002.950000,1,266,208,124.28,28.54,1,0,266/208/256/300/300/300
1700000003.000000,1,300,288,124.26,44.98,0,0,300/288/300/300/300/300
1700000003.050000,1,300,291,124.25,45.87,0,0,300/291/300/300/300/300
1700000003.100000,1,300,293,124.23,66.32,1,293,300/293/300/300/300/300
1700000003.150000,1,300,291,124.19,45.96,0,293,300/291/300/300/300/300
1700000003.200000,1,300,300,124.15,44.48,0,293,300/300/300/300/300/300
1700000003.250000,1,300,300,124.13,83.37,1,561,300/300/300/300/300/300
1700000003.300000,1,300,300,124.08,46.24,0,561,300/300/300/300/300/300
1700000003.350000,1,300,300,124.05,45.72,0,561,300/300/300/300/300/300
1700000003.400000,1,300,300,124.05,104.86,1,836,300/300/300/300/300/300
1700000003.450000,1,300,300,124.04,44.31,0,836,300/300/300/300/300/300
