t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,283,150,125.80,1501.07,0,0,283/150/217/300/300/300
1700000000.050000,0,300,169,125.81,84.38,0,0,300/169/300/300/300/300
1700000000.100000,0,300,181,125.78,85.77,0,0,300/181/300/300/300/300
1700000000.150000,0,300,203,125.79,45.26,0,0,300/203/300/300/300/300
1700000000.200000,0,300,208,125.79,87.64,0,0,300/208/300/300/300/300
1700000000.250000,0,300,202,125.78,49.62,0,0,300/202/300/300/300/300
1700000000.300000,0,300,222,125.77,85.66,0,0,300/222/300/300/300/300
1700000000.350000,0,300,220,125.76,46.80,0,0,300/220/300/300/300/300
1700000000.400000,0,300,230,125.73,83.11,0,0,300/230/300/300/300/300
1700000000.450000,0,300,235,125.70,45.00,0,0,300/235/300/300/300/300
1700000000.500000,0,300,256,125.67,86.41,0,0,300/256/300/300/300/300
1700000000.550000,0,300,250,125.65,48.10,0,0,300/250/300/300/300/300
1700000000.600000,0,300,241,125.61,83.77,0,0,300/241/300/300/300/300
1700000000.650000,0,300,241,125.57,47.60,0,0,300/241/300/300/300/300
1700000000.700000,0,300,253,125.53,84.83,0,0,300/253/300/300/300/300
1700000000.750000,0,300,296,125.49,50.26,0,0,300/296/300/300/300/300
1700000000.800000,0,300,276,125.43,94.58,0,0,300/276/300/300/300/300
1700000000.850000,0,300,273,125.38,51.16,0,0,300/273/300/300/300/300
1700000000.900000,0,300,280,125.32,86.63,0,0,300/280/300/300/300/300
1700000000.950000,0,300,291,125.27,49.57,0,0,300/291/300/300/300/300
1700000001.000000,0,300,300,125.23,91.88,0,0,300/300/300/300/300/300
1700000001.050000,0,300,300,125.18,55.06,0,0,300/300/300/300/300/300
1700000001.100000,0,300,300,125.13,89.78,0,0,300/300/300/300/300/300
1700000001.150000,0,300,282,125.08,49.04,0,0,300/282/300/300/300/300
1700000001.200000,0,300,279,125.03,85.40,0,0,300/279/300/300/300/300
1700000001.250000,0,300,300,124.99,46.00,0,0,300/300/300/300/300/300
1700000001.300000,0,300,300,124.94,83.71,0,0,300/300/300/300/300/300
1700000001.350000,0,300,300,124.89,48.32,0,0,300/300/300/300/300/300
1700000001.400000,0,300,289,124.85,90.44,0,0,300/289/300/300/300/300
1700000001.450000,0,300,299,124.81,46.92,0,0,300/299/300/300/300/300
1700000001.500000,1,300,300,124.80,143.54,1,0,300/300/300/300/300/300
1700000001.550000,1,300,290,124.79,49.76,0,0,300/290/300/300/300/300
1700000001.600000,1,300,297,124.76,44.24,0,0,300/297/300/300/300/300
1700000001.650000,1,300,285,124.78,57.34,1,276,300/285/300/300/300/300
1700000001.700000,1,300,300,124.77,49.35,0,276,300/300/300/300/300/300
1700000001.750000,1,300,300,124.73,45.94,0,276,300/300/300/300/300/300
1700000001.800000,1,300,300,124.72,71.87,1,570,300/300/300/300/300/300
1700000001.850000,1,300,300,124.69,47.31,0,570,300/300/300/300/300/300
1700000001.900000,1,300,300,124.65,45.26,0,570,300/300/300/300/300/300
1700000001.950000,1,300,300,124.60,77.63,1,784,300/300/300/300/300/300
1700000002.000000,1,300,300,124.56,45.45,0,784,300/300/300/300/300/300
1700000002.050000,1,300,300,124.54,43.46,0,784,300/300/300/300/300/300
1700000002.100000,1,300,300,124.53,98.23,1,853,300/300/300/300/300/300
1700000002.150000,1,300,300,124.53,49.10,0,853,300/300/300/300/300/300
1700000002.200000,1,300,300,124.52,47.26,0,853,300/300/300/300/300/300
1700000002.250000,1,300,300,124.52,90.29,1,913,300/300/300/300/300/300
1700000002.300000,1,300,300,124.51,52.06,0,913,300/300/300/300/300/300
1700000002.350000,1,300,300,124.48,47.25,0,913,300/300/300/300/300/300
1700000002.400000,1,300,300,124.48,92.92,1,971,300/300/300/300/300/300
1700000002.450000,1,300,300,124.46,44.86,0,971,300/300/300/300/300/300
1700000002.500000,1,300,300,124.45,44.69,0,971,300/300/300/300/300/300
1700000002.550000,1,300,300,124.43,122.68,1,1022,300/300/300/300/300/300
1700000002.600000,1,300,300,124.41,46.57,0,1022,300/300/300/300/300/300
1700000002.650000,1,300,300,124.38,45.43,0,1022,300/300/300/300/300/300
1700000002.700000,1,300,300,124.35,137.39,1,1099,300/300/300/300/300/300
1700000002.750000,1,300,300,124.33,44.11,0,1099,300/300/300/300/300/300
1700000002.800000,1,300,300,124.30,43.99,0,1099,300/300/300/300/300/300
1700000002.850000,1,300,300,124.28,133.71,1,1151,300/300/300/300/300/300
1700000002.900000,1,300,300,124.28,47.77,0,1151,300/300/300/300/300/300
1700000002.950000,1,300,300,124.28,45.14,0,1151,300/300/300/300/300/300
1700000003.000000,1,300,300,124.26,127.78,1,1196,300/300/300/300/300/300
1700000003.050000,1,300,300,124.25,46.50,0,1196,300/300/300/300/300/300
1700000003.100000,1,300,300,124.23,45.36,0,1196,300/300/300/300/300/300
1700000003.150000,1,300,300,124.19,166.11,1,1254,300/300/300/300/300/300
1700000003.200000,1,300,300,124.15,46.21,0,1254,300/300/300/300/300/300
1700000003.250000,1,300,300,124.13,45.21,0,1254,300/300/300/300/300/300
1700000003.300000,1,300,300,124.08,131.61,1,1307,300/300/300/300/300/300
1700000003.350000,1,300,300,124.05,44.99,0,1307,300/300/300/300/300/300
1700000003.400000,1,300,300,124.05,45.69,0,1307,300/300/300/300/300/300
1700000003.450000,1,300,300,124.04,214.73,1,1372,300/300/300/300/300/300
1700000003.500000,1,300,300,124.07,43.98,0,1372,300/300/300/300/300/300
1700000003.550000,1,300,300,124.06,44.92,0,1372,300/300/300/300/300/300
1700000003.600000,1,300,300,124.04,166.34,1,1432,300/300/300/300/300/300
1700000003.650000,1,300,300,124.00,45.03,0,1432,300/300/300/300/300/300
1700000003.700000,1,300,300,123.98,44.38,0,1432,300/300/300/300/300/300
