t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.70,2.50,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,116.71,1.87,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,116.71,1.85,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,116.70,1.75,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,116.72,1.76,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,116.71,1.73,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,116.71,1.79,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,116.72,1.73,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,116.71,1.76,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,116.71,1.75,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,116.71,1.83,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,116.70,1.84,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,116.71,1.74,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,116.70,1.73,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,116.71,1.76,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,116.70,1.86,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,116.71,1.82,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,116.71,1.84,0,0,0/0/0/0/0/0
1700000000.900000,1,253,230,116.70,28.25,1,0,253/230/231/271/256/267
1700000000.950000,1,300,300,116.71,37.31,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,116.71,37.84,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,116.70,56.70,1,198,300/300/300/300/300/300
1700000001.100000,1,300,300,116.70,38.24,0,198,300/300/300/300/300/300
1700000001.150000,1,300,300,116.71,38.54,0,198,300/300/300/300/300/300
1700000001.200000,1,300,300,116.71,73.62,1,346,300/300/300/300/300/300
1700000001.250000,1,300,300,116.71,38.91,0,346,300/300/300/300/300/300
1700000001.300000,1,300,300,116.71,39.22,0,346,300/300/300/300/300/300
1700000001.350000,1,300,300,116.71,87.88,1,425,300/300/300/300/300/300
1700000001.400000,1,300,300,116.71,40.23,0,425,300/300/300/300/300/300
1700000001.450000,1,300,300,116.71,39.15,0,425,300/300/300/300/300/300
1700000001.500000,1,300,300,116.70,87.77,1,435,300/300/300/300/300/300
1700000001.550000,1,300,300,116.71,38.93,0,435,300/300/300/300/300/300
1700000001.600000,1,300,300,116.71,37.61,0,435,300/300/300/300/300/300
1700000001.650000,1,300,300,116.72,98.18,1,559,300/300/300/300/300/300
1700000001.700000,1,300,300,116.72,38.95,0,559,300/300/300/300/300/300
1700000001.750000,1,300,300,116.70,38.65,0,559,300/300/300/300/300/300
1700000001.800000,1,300,300,116.70,106.56,1,747,300/300/300/300/300/300
1700000001.850000,1,300,300,116.70,40.64,0,747,300/300/300/300/300/300
1700000001.900000,1,300,300,116.71,39.50,0,747,300/300/300/300/300/300
1700000001.950000,1,300,300,116.70,106.16,1,873,300/300/300/300/300/300
1700000002.000000,1,300,300,116.72,42.06,0,873,300/300/300/300/300/300
1700000002.050000,1,300,300,116.71,40.43,0,873,300/300/300/300/300/300
1700000002.100000,1,300,300,116.71,129.69,1,908,300/300/300/300/300/300
1700000002.150000,1,300,300,116.72,41.90,0,908,300/300/300/300/300/300
1700000002.200000,1,300,300,116.73,42.00,0,908,300/300/300/300/300/300
1700000002.250000,1,300,300,116.73,123.62,1,938,300/300/300/300/300/300
1700000002.300000,1,300,300,116.73,41.65,0,938,300/300/300/300/300/300
1700000002.350000,1,300,300,116.73,41.45,0,938,300/300/300/300/300/300
1700000002.400000,1,300,300,116.74,189.50,1,962,300/300/300/300/300/300
1700000002.450000,1,300,300,116.75,43.41,0,962,300/300/300/300/300/300
1700000002.500000,1,300,300,116.77,44.02,0,962,300/300/300/300/300/300
1700000002.550000,1,300,300,116.76,142.77,1,997,300/300/300/300/300/300
1700000002.600000,1,300,300,116.77,43.80,0,997,300/300/300/300/300/300
1700000002.650000,1,300,300,116.78,43.97,0,997,300/300/300/300/300/300
1700000002.700000,1,300,300,116.77,184.66,1,1041,300/300/300/300/300/300
1700000002.750000,1,300,300,116.81,43.71,0,1041,300/300/300/300/300/300
1700000002.800000,1,300,300,116.81,45.09,0,1041,300/300/300/300/300/300
1700000002.850000,1,300,300,116.82,171.75,1,1088,300/300/300/300/300/300
1700000002.900000,1,300,300,116.83,44.78,0,1088,300/300/300/300/300/300
1700000002.950000,1,300,300,116.85,44.49,0,1088,300/300/300/300/300/300
1700000003.000000,1,300,300,116.86,228.80,1,1136,300/300/300/300/300/300
1700000003.050000,1,300,300,116.87,44.34,0,1136,300/300/300/300/300/300
1700000003.100000,1,300,300,116.88,44.41,0,1136,300/300/300/300/300/300
1700000003.150000,1,300,300,116.91,191.88,1,1196,300/300/300/300/300/300
1700000003.200000,1,300,300,116.93,55.71,0,1196,300/300/300/300/300/300
1700000003.250000,1,300,300,116.95,45.24,0,1196,300/300/300/300/300/300
1700000003.300000,1,300,300,116.99,263.66,1,1226,300/300/300/300/300/300
1700000003.350000,1,300,300,117.00,46.19,0,1226,300/300/300/300/300/300
1700000003.400000,1,300,300,116.98,46.62,0,1226,300/300/300/300/300/300
1700000003.450000,1,300,300,116.98,215.46,1,1278,300/300/300/300/300/300
