t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.70,2.69,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,116.71,1.94,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,116.71,1.79,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,116.70,1.87,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,116.72,1.76,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,116.71,1.77,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,116.71,1.86,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,116.72,1.85,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,116.71,1.92,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,116.71,1.94,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,116.71,1.91,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,116.70,2.01,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,116.71,1.82,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,116.70,1.77,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,116.71,1.78,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,116.70,1.76,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,116.71,1.84,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,116.71,1.86,0,0,0/0/0/0/0/0
1700000000.900000,1,253,230,116.70,29.14,1,0,253/230/231/271/256/267
1700000000.950000,1,300,300,116.71,37.53,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,116.71,38.68,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,116.70,56.16,1,198,300/300/300/300/300/300
1700000001.100000,1,300,300,116.70,37.79,0,198,300/300/300/300/300/300
1700000001.150000,1,300,300,116.71,38.23,0,198,300/300/300/300/300/300
1700000001.200000,1,300,300,116.71,72.35,1,346,300/300/300/300/300/300
1700000001.250000,1,300,300,116.71,38.98,0,346,300/300/300/300/300/300
1700000001.300000,1,300,300,116.71,38.45,0,346,300/300/300/300/300/300
1700000001.350000,1,300,300,116.71,88.13,1,425,300/300/300/300/300/300
1700000001.400000,1,300,300,116.71,41.60,0,425,300/300/300/300/300/300
1700000001.450000,1,300,300,116.71,39.14,0,425,300/300/300/300/300/300
1700000001.500000,1,300,300,116.70,89.90,1,435,300/300/300/300/300/300
1700000001.550000,1,300,300,116.71,38.97,0,435,300/300/300/300/300/300
1700000001.600000,1,300,300,116.71,38.51,0,435,300/300/300/300/300/300
1700000001.650000,1,300,300,116.72,98.64,1,559,300/300/300/300/300/300
1700000001.700000,1,300,300,116.72,38.97,0,559,300/300/300/300/300/300
1700000001.750000,1,300,300,116.70,39.05,0,559,300/300/300/300/300/300
1700000001.800000,1,300,300,116.70,106.99,1,747,300/300/300/300/300/300
1700000001.850000,1,300,300,116.70,40.15,0,747,300/300/300/300/300/300
1700000001.900000,1,300,300,116.71,39.25,0,747,300/300/300/300/300/300
1700000001.950000,1,300,300,116.70,105.92,1,873,300/300/300/300/300/300
1700000002.000000,1,300,300,116.72,41.96,0,873,300/300/300/300/300/300
1700000002.050000,1,300,300,116.71,40.23,0,873,300/300/300/300/300/300
1700000002.100000,1,300,300,116.71,128.76,1,908,300/300/300/300/300/300
1700000002.150000,1,300,300,116.72,41.83,0,908,300/300/300/300/300/300
1700000002.200000,1,300,300,116.73,41.78,0,908,300/300/300/300/300/300
1700000002.250000,1,300,300,116.73,126.54,1,938,300/300/300/300/300/300
1700000002.300000,1,300,300,116.73,42.60,0,938,300/300/300/300/300/300
1700000002.350000,1,300,300,116.73,42.37,0,938,300/300/300/300/300/300
1700000002.400000,1,300,300,116.74,196.06,1,962,300/300/300/300/300/300
1700000002.450000,1,300,300,116.75,44.02,0,962,300/300/300/300/300/300
1700000002.500000,1,300,300,116.77,44.63,0,962,300/300/300/300/300/300
1700000002.550000,1,300,300,116.76,142.64,1,997,300/300/300/300/300/300
1700000002.600000,1,300,300,116.77,44.83,0,997,300/300/300/300/300/300
1700000002.650000,1,300,300,116.78,43.78,0,997,300/300/300/300/300/300
1700000002.700000,1,300,300,116.77,179.89,1,1041,300/300/300/300/300/300
1700000002.750000,1,300,300,116.81,44.61,0,1041,300/300/300/300/300/300
1700000002.800000,1,300,300,116.81,45.32,0,1041,300/300/300/300/300/300
1700000002.850000,1,300,300,116.82,170.32,1,1088,300/300/300/300/300/300
1700000002.900000,1,300,300,116.83,45.93,0,1088,300/300/300/300/300/300
1700000002.950000,1,300,300,116.85,46.01,0,1088,300/300/300/300/300/300
1700000003.000000,1,300,300,116.86,229.35,1,1136,300/300/300/300/300/300
1700000003.050000,1,300,300,116.87,45.14,0,1136,300/300/300/300/300/300
1700000003.100000,1,300,300,116.88,47.95,0,1136,300/300/300/300/300/300
1700000003.150000,1,300,300,116.91,191.04,1,1196,300/300/300/300/300/300
1700000003.200000,1,300,300,116.93,47.04,0,1196,300/300/300/300/300/300
1700000003.250000,1,300,300,116.95,45.60,0,1196,300/300/300/300/300/300
1700000003.300000,1,300,300,116.99,264.88,1,1226,300/300/300/300/300/300
1700000003.350000,1,300,300,117.00,54.31,0,1226,300/300/300/300/300/300
1700000003.400000,1,300,300,116.98,52.71,0,1226,300/300/300/300/300/300
1700000003.450000,1,300,300,116.98,214.20,1,1278,300/300/300/300/300/300
1700000003.500000,1,300,300,116.97,45.16,0,1278,300/300/300/300/300/300
1700000003.550000,1,300,300,116.97,45.50,0,1278,300/300/300/300/300/300
1700000003.600000,1,300,300,116.96,228.50,1,1333,300/300/300/300/300/300
1700000003.650000,1,300,300,116.96,50.22,0,1333,300/300/300/300/300/300
1700000003.700000,1,300,300,116.94,46.40,0,1333,300/300/300/300/300/300
1700000003.750000,1,300,300,116.94,312.14,1,1394,300/300/300/300/300/300
1700000003.800000,1,300,300,116.93,47.72,0,1394,300/300/300/300/300/300
1700000003.850000,1,300,300,116.91,47.59,0,1394,300/300/300/300/300/300
1700000003.900000,1,300,300,116.92,251.87,1,1449,300/300/300/300/300/300
1700000003.950000,1,300,300,116.90,45.50,0,1449,300/300/300/300/300/300
1700000004.000000,1,300,300,116.90,48.04,0,1449,300/300/300/300/300/300
1700000004.050000,1,300,300,116.88,349.14,1,1507,300/300/300/300/300/300
1700000004.100000,1,300,300,116.87,47.70,0,1507,300/300/300/300/300/300
1700000004.150000,1,300,300,116.90,49.30,0,1507,300/300/300/300/300/300
1700000004.200000,1,300,300,116.92,371.07,1,1569,300/300/300/300/300/300
1700000004.250000,1,300,300,116.96,46.14,0,1569,300/300/300/300/300/300
1700000004.300000,1,300,300,116.98,48.99,0,1569,300/300/300/300/300/300
1700000004.350000,1,300,300,116.98,290.12,1,1624,300/300/300/300/300/300
1700000004.400000,1,300,300,116.96,50.34,0,1624,300/300/300/300/300/300
1700000004.450000,1,300,300,116.94,46.28,0,1624,300/300/300/300/300/300
1700000004.500000,1,300,300,116.94,305.90,1,1682,300/300/300/300/300/300
