t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.72,2.67,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,116.74,1.87,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,116.72,1.79,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,116.72,1.94,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,116.72,1.79,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,116.72,1.80,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,116.73,1.78,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,116.73,1.83,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,116.73,1.84,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,116.73,1.77,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,116.72,1.83,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,116.73,1.77,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,116.71,1.82,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,116.73,1.89,0,0,0/0/0/0/0/0
1700000000.900000,1,246,239,116.71,55.88,1,0,246/239/233/272/268/263
1700000000.950000,1,300,300,116.72,39.14,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,116.71,39.64,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,116.71,59.16,1,186,300/300/300/300/300/300
1700000001.100000,1,300,300,116.71,38.95,0,186,300/300/300/300/300/300
1700000001.150000,1,300,300,116.71,39.89,0,186,300/300/300/300/300/300
1700000001.200000,1,300,300,116.71,77.60,1,291,300/300/300/300/300/300
1700000001.250000,1,300,300,116.71,42.36,0,291,300/300/300/300/300/300
1700000001.300000,1,300,300,116.70,41.14,0,291,300/300/300/300/300/300
1700000001.350000,1,300,300,116.69,74.12,1,337,300/300/300/300/300/300
1700000001.400000,1,300,300,116.69,40.25,0,337,300/300/300/300/300/300
1700000001.450000,1,300,300,116.71,39.56,0,337,300/300/300/300/300/300
1700000001.500000,1,300,300,116.68,87.93,1,284,300/300/300/300/300/300
1700000001.550000,1,300,300,116.67,39.96,0,284,300/300/300/300/300/300
1700000001.600000,1,300,300,116.66,39.68,0,284,300/300/300/300/300/300
1700000001.650000,1,300,300,116.65,73.63,1,159,300/300/300/300/300/300
1700000001.700000,1,300,300,116.65,39.80,0,159,300/300/300/300/300/300
1700000001.750000,1,300,300,116.64,39.50,0,159,300/300/300/300/300/300
1700000001.800000,1,300,300,116.63,76.02,1,453,300/300/300/300/300/300
1700000001.850000,1,300,300,116.61,40.40,0,453,300/300/300/300/300/300
1700000001.900000,1,300,300,116.60,39.71,0,453,300/300/300/300/300/300
1700000001.950000,1,300,300,116.59,107.37,1,733,300/300/300/300/300/300
1700000002.000000,1,300,300,116.57,42.79,0,733,300/300/300/300/300/300
1700000002.050000,1,300,300,116.57,41.45,0,733,300/300/300/300/300/300
1700000002.100000,1,300,300,116.56,116.38,1,853,300/300/300/300/300/300
1700000002.150000,1,300,300,116.53,42.79,0,853,300/300/300/300/300/300
1700000002.200000,1,300,300,116.53,42.39,0,853,300/300/300/300/300/300
