t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,116.74,2.57,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,116.72,1.94,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,116.72,1.86,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,116.73,1.99,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,116.73,1.78,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,116.73,1.79,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,116.72,1.78,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,116.72,1.84,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,116.73,1.95,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,116.71,1.84,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,116.71,1.77,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,116.72,1.80,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,116.73,1.80,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,116.72,1.85,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,116.73,1.81,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,116.72,1.84,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,116.72,1.76,0,0,0/0/0/0/0/0
1700000000.900000,1,239,242,116.72,28.28,1,0,239/242/228/280/265/256
1700000000.950000,1,300,300,116.73,36.35,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,116.73,37.23,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,116.72,52.86,1,169,300/300/300/300/300/300
1700000001.100000,1,300,300,116.70,38.32,0,169,300/300/300/300/300/300
1700000001.150000,1,300,300,116.71,37.44,0,169,300/300/300/300/300/300
1700000001.200000,1,300,300,116.71,65.22,1,261,300/300/300/300/300/300
1700000001.250000,1,300,300,116.70,41.16,0,261,300/300/300/300/300/300
1700000001.300000,1,300,300,116.71,39.82,0,261,300/300/300/300/300/300
1700000001.350000,1,300,300,116.70,75.15,1,243,300/300/300/300/300/300
1700000001.400000,1,300,300,116.70,38.84,0,243,300/300/300/300/300/300
1700000001.450000,1,300,300,116.68,38.07,0,243,300/300/300/300/300/300
1700000001.500000,1,300,300,116.68,75.77,1,304,300/300/300/300/300/300
1700000001.550000,1,300,300,116.68,39.17,0,304,300/300/300/300/300/300
1700000001.600000,1,300,300,116.67,37.68,0,304,300/300/300/300/300/300
1700000001.650000,1,300,300,116.65,87.23,1,409,300/300/300/300/300/300
1700000001.700000,1,300,300,116.64,38.68,0,409,300/300/300/300/300/300
1700000001.750000,1,300,300,116.63,37.60,0,409,300/300/300/300/300/300
1700000001.800000,1,300,300,116.64,95.38,1,630,300/300/300/300/300/300
1700000001.850000,1,300,300,116.62,39.88,0,630,300/300/300/300/300/300
1700000001.900000,1,300,300,116.60,38.78,0,630,300/300/300/300/300/300
1700000001.950000,1,300,300,116.60,113.52,1,815,300/300/300/300/300/300
1700000002.000000,1,300,300,116.58,41.33,0,815,300/300/300/300/300/300
1700000002.050000,1,300,300,116.57,40.00,0,815,300/300/300/300/300/300
1700000002.100000,1,300,300,116.56,119.67,1,874,300/300/300/300/300/300
1700000002.150000,1,300,300,116.54,42.51,0,874,300/300/300/300/300/300
1700000002.200000,1,300,300,116.53,41.45,0,874,300/300/300/300/300/300
1700000002.250000,1,300,300,116.51,142.03,1,917,300/300/300/300/300/300
1700000002.300000,1,300,300,116.49,42.41,0,917,300/300/300/300/300/300
1700000002.350000,1,300,300,116.50,42.32,0,917,300/300/300/300/300/300
1700000002.400000,1,300,300,116.52,138.13,1,947,300/300/300/300/300/300
1700000002.450000,1,300,300,116.51,44.25,0,947,300/300/300/300/300/300
1700000002.500000,1,300,300,116.53,46.52,0,947,300/300/300/300/300/300
1700000002.550000,1,300,300,116.54,147.30,1,978,300/300/300/300/300/300
1700000002.600000,1,300,300,116.55,45.30,0,978,300/300/300/300/300/300
1700000002.650000,1,300,300,116.59,44.79,0,978,300/300/300/300/300/300
1700000002.700000,1,300,300,116.62,169.87,1,1023,300/300/300/300/300/300
1700000002.750000,1,300,300,116.66,44.75,0,1023,300/300/300/300/300/300
1700000002.800000,1,300,300,116.69,46.37,0,1023,300/300/300/300/300/300
1700000002.850000,1,300,300,116.74,177.01,1,1070,300/300/300/300/300/300
1700000002.900000,1,300,300,116.75,48.49,0,1070,300/300/300/300/300/300
1700000002.950000,1,300,300,116.80,44.90,0,1070,300/300/300/300/300/300
1700000003.000000,1,300,300,116.84,190.27,1,1115,300/300/300/300/300/300
1700000003.050000,1,300,300,116.86,49.14,0,1115,300/300/300/300/300/300
1700000003.100000,1,300,300,116.88,48.85,0,1115,300/300/300/300/300/300
1700000003.150000,1,300,300,116.91,246.82,1,1163,300/300/300/300/300/300
1700000003.200000,1,300,300,116.94,48.60,0,1163,300/300/300/300/300/300
1700000003.250000,1,300,300,116.96,48.24,0,1163,300/300/300/300/300/300
1700000003.300000,1,300,300,117.00,217.48,1,1229,300/300/300/300/300/300
1700000003.350000,1,300,300,116.99,48.76,0,1229,300/300/300/300/300/300
1700000003.400000,1,300,300,116.98,49.41,0,1229,300/300/300/300/300/300
1700000003.450000,1,300,300,116.97,228.43,1,1284,300/300/300/300/300/300
1700000003.500000,1,300,300,116.98,46.51,0,1284,300/300/300/300/300/300
1700000003.550000,1,300,300,116.96,45.79,0,1284,300/300/300/300/300/300
1700000003.600000,1,300,300,116.96,240.29,1,1336,300/300/300/300/300/300
1700000003.650000,1,300,300,116.95,47.85,0,1336,300/300/300/300/300/300
1700000003.700000,1,300,300,116.95,48.05,0,1336,300/300/300/300/300/300
1700000003.750000,1,300,300,116.94,260.38,1,1387,300/300/300/300/300/300
1700000003.800000,1,300,300,116.93,48.51,0,1387,300/300/300/300/300/300
1700000003.850000,1,300,300,116.92,47.05,0,1387,300/300/300/300/300/300
1700000003.900000,1,300,300,116.92,270.30,1,1443,300/300/300/300/300/300
1700000003.950000,1,300,300,116.91,48.86,0,1443,300/300/300/300/300/300
1700000004.000000,1,300,300,116.91,47.51,0,1443,300/300/300/300/300/300
1700000004.050000,1,300,300,116.88,279.99,1,1497,300/300/300/300/300/300
1700000004.100000,1,300,300,116.88,47.90,0,1497,300/300/300/300/300/300
1700000004.150000,1,300,300,116.90,47.14,0,1497,300/300/300/300/300/300
1700000004.200000,1,300,300,116.92,293.75,1,1552,300/300/300/300/300/300
1700000004.250000,1,300,300,116.95,47.11,0,1552,300/300/300/300/300/300
1700000004.300000,1,300,300,116.99,49.45,0,1552,300/300/300/300/300/300
1700000004.350000,1,300,300,116.99,308.83,1,1604,300/300/300/300/300/300
1700000004.400000,1,300,300,116.95,49.94,0,1604,300/300/300/300/300/300
1700000004.450000,1,300,300,116.94,47.54,0,1604,300/300/300/300/300/300
1700000004.500000,1,300,300,116.93,325.92,1,1677,300/300/300/300/300/300
1700000004.550000,1,300,300,116.93,49.72,0,1677,300/300/300/300/300/300
1700000004.600000,1,300,300,116.97,48.12,0,1677,300/300/300/300/300/300
1700000004.650000,1,300,300,116.99,349.68,1,1719,300/300/300/300/300/300
