t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,245,234,116.74,1503.84,0,0,245/234/226/263/256/268
1700000000.050000,0,300,300,116.72,37.05,0,0,300/300/300/300/300/300
1700000000.100000,0,300,300,116.72,85.50,0,0,300/300/300/300/300/300
1700000000.150000,0,300,300,116.73,37.16,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,116.73,87.16,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,116.73,38.08,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,116.72,83.19,0,0,300/300/300/300/300/300
1700000000.350000,0,300,300,116.72,37.51,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,116.72,84.29,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,116.73,37.83,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,116.71,86.30,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,116.71,36.79,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,116.72,83.67,0,0,300/300/300/300/300/300
1700000000.650000,0,300,300,116.73,37.55,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,116.72,85.04,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,116.73,38.24,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,116.72,84.86,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,116.72,37.67,0,0,300/300/300/300/300/300
1700000000.900000,1,300,300,116.72,42.51,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,116.73,52.80,1,170,300/300/300/300/300/300
1700000001.000000,1,300,300,116.73,66.57,1,222,300/300/300/300/300/300
1700000001.050000,1,300,300,116.72,69.03,1,205,300/300/300/300/300/300
1700000001.100000,1,300,300,116.70,65.11,1,151,300/300/300/300/300/300
1700000001.150000,1,300,300,116.71,73.68,1,204,300/300/300/300/300/300
1700000001.200000,1,300,300,116.71,69.24,1,181,300/300/300/300/300/300
1700000001.250000,1,300,300,116.70,71.69,1,187,300/300/300/300/300/300
1700000001.300000,1,300,300,116.71,71.45,1,210,300/300/300/300/300/300
1700000001.350000,1,300,300,116.70,74.03,1,193,300/300/300/300/300/300
