t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks
1700000000.000000,0,0,0,62.49,2.65,0,0
1700000000.050000,0,0,0,62.49,1.92,0,0
1700000000.100000,0,0,0,62.50,1.85,0,0
1700000000.150000,0,0,0,62.50,1.91,0,0
1700000000.200000,0,0,0,62.50,1.85,0,0
1700000000.250000,0,0,0,62.50,1.80,0,0
1700000000.300000,0,0,0,62.50,1.83,0,0
1700000000.350000,0,0,0,62.49,1.80,0,0
1700000000.400000,0,0,0,62.50,1.83,0,0
1700000000.450000,0,0,0,62.50,1.85,0,0
1700000000.500000,0,0,0,62.51,1.89,0,0
1700000000.550000,0,0,0,62.50,1.77,0,0
1700000000.600000,0,0,0,62.50,1.81,0,0
1700000000.650000,0,0,0,62.50,1.78,0,0
1700000000.700000,0,0,0,62.50,1.80,0,0
1700000000.750000,0,0,0,62.50,1.78,0,0
1700000000.800000,0,0,0,62.50,1.81,0,0
1700000000.850000,0,0,0,62.50,1.96,0,0
1700000000.900000,1,227,0,62.50,38.32,1,0
1700000000.950000,1,300,0,62.49,42.83,0,0
1700000001.000000,1,300,0,62.49,43.49,0,0
1700000001.050000,1,300,0,62.50,47.90,1,26
1700000001.100000,1,300,0,62.49,43.35,0,26
1700000001.150000,1,300,0,62.50,42.71,0,26
1700000001.200000,1,300,0,62.49,52.40,1,51
1700000001.250000,1,300,0,62.49,43.09,0,51
1700000001.300000,1,300,0,62.50,43.65,0,51
1700000001.350000,1,300,0,62.49,50.12,1,28
1700000001.400000,1,300,0,62.50,43.08,0,28
1700000001.450000,1,300,0,62.50,43.22,0,28
1700000001.500000,1,300,0,62.51,52.83,1,65
1700000001.550000,1,300,0,62.50,42.95,0,65
1700000001.600000,1,300,0,62.49,43.24,0,65
1700000001.650000,1,300,0,62.50,53.28,1,87
1700000001.700000,1,300,0,62.51,42.64,0,87
1700000001.750000,1,300,0,62.51,42.80,0,87
1700000001.800000,1,300,0,62.51,60.80,1,80
1700000001.850000,1,300,0,62.52,42.83,0,80
1700000001.900000,1,300,0,62.52,43.22,0,80
1700000001.950000,1,300,0,62.53,54.93,1,114
1700000002.000000,1,300,0,62.55,42.92,0,114
1700000002.050000,1,300,0,62.56,42.35,0,114
1700000002.100000,1,300,0,62.58,61.98,1,183
1700000002.150000,1,300,0,62.61,41.98,0,183
1700000002.200000,1,300,0,62.63,43.00,0,183
1700000002.250000,1,300,0,62.67,57.53,1,186
1700000002.300000,1,300,0,62.72,42.42,0,186
1700000002.350000,1,300,0,62.75,42.50,0,186
1700000002.400000,1,300,0,62.80,58.55,1,192
1700000002.450000,1,300,0,62.85,42.45,0,192
1700000002.500000,1,300,0,62.91,42.74,0,192
1700000002.550000,1,300,0,62.99,59.96,1,200
1700000002.600000,1,300,0,63.07,42.49,0,200
1700000002.650000,1,300,0,63.15,43.53,0,200
1700000002.700000,1,300,0,63.23,62.30,1,209
1700000002.750000,1,300,0,63.32,43.66,0,209
1700000002.800000,1,300,0,63.43,43.57,0,209
1700000002.850000,1,300,0,63.56,64.21,1,213
1700000002.900000,1,300,0,63.67,44.13,0,213
1700000002.950000,1,300,0,63.81,44.00,0,213
1700000003.000000,1,300,0,63.94,66.26,1,227
1700000003.050000,1,300,1,64.10,43.88,0,227
1700000003.100000,1,300,1,64.27,42.77,0,227
1700000003.150000,1,300,0,64.45,78.86,1,238
1700000003.200000,1,300,1,64.60,42.77,0,238
1700000003.250000,1,300,0,64.81,43.47,0,238
1700000003.300000,1,300,0,64.99,75.13,1,247
1700000003.350000,1,300,0,65.18,43.34,0,247
1700000003.400000,1,300,0,65.39,42.04,0,247
1700000003.450000,1,300,0,65.59,72.62,1,269
1700000003.500000,1,300,0,65.81,42.86,0,269
1700000003.550000,1,300,0,66.03,43.70,0,269
1700000003.600000,1,300,0,66.26,72.63,1,285
1700000003.650000,1,300,0,66.52,43.65,0,285
1700000003.700000,1,300,0,66.76,42.59,0,285
1700000003.750000,1,300,0,67.03,77.94,1,299
1700000003.800000,1,300,0,67.29,43.29,0,299
1700000003.850000,1,300,0,67.56,43.24,0,299
1700000003.900000,1,300,0,67.82,70.09,1,309
1700000003.950000,1,300,0,68.10,43.91,0,309
1700000004.000000,1,300,0,68.39,43.43,0,309
1700000004.050000,1,300,0,68.66,78.14,1,326
1700000004.100000,1,300,0,68.90,43.66,0,326
1700000004.150000,1,300,0,69.18,43.34,0,326
1700000004.200000,1,300,0,69.44,78.38,1,359
1700000004.250000,1,300,0,69.69,44.23,0,359
1700000004.300000,1,300,1,69.92,44.03,0,359
1700000004.350000,1,300,0,70.15,79.03,1,381
1700000004.400000,1,300,2,70.44,44.25,0,381
1700000004.450000,1,300,0,70.77,42.96,0,381
1700000004.500000,1,300,0,71.12,75.00,1,405
1700000004.550000,1,300,0,71.50,43.64,0,405
1700000004.600000,1,300,0,71.89,42.72,0,405
1700000004.650000,1,300,0,72.30,80.11,1,430
1700000004.700000,1,300,0,72.72,42.43,0,430
1700000004.750000,1,300,0,73.16,42.23,0,430
1700000004.800000,1,300,0,73.62,74.36,1,461
1700000004.850000,1,300,0,74.06,43.22,0,461
1700000004.900000,1,300,0,74.53,42.36,0,461
1700000004.950000,1,300,0,75.01,80.42,1,485
1700000005.000000,1,300,0,75.52,44.45,0,485
1700000005.050000,1,300,0,76.06,43.83,0,485
1700000005.100000,1,300,0,76.64,80.09,1,443
1700000005.150000,1,300,0,77.24,43.66,0,443
1700000005.200000,1,300,0,77.87,43.50,0,443
1700000005.250000,1,300,0,78.52,97.85,1,434
1700000005.300000,1,300,0,79.21,45.92,0,434
1700000005.350000,1,300,0,79.93,42.45,0,434
1700000005.400000,1,300,0,80.70,82.41,1,459
1700000005.450000,1,300,0,81.51,47.43,0,459
1700000005.500000,1,300,0,82.36,48.12,0,459
1700000005.550000,1,300,0,83.23,88.94,1,454
1700000005.600000,1,300,0,84.06,44.66,0,454
1700000005.650000,1,300,0,84.91,44.70,0,454
1700000005.700000,1,300,0,85.76,84.12,1,432
1700000005.750000,1,300,0,86.60,49.09,0,432
1700000005.800000,1,300,0,87.44,44.89,0,432
1700000005.850000,1,300,0,88.28,79.95,1,429
1700000005.900000,1,300,0,89.11,44.50,0,429
1700000005.950000,1,300,0,89.91,39.74,0,429
1700000006.000000,1,300,0,90.64,84.70,1,453
1700000006.050000,1,300,0,91.37,37.49,0,453
1700000006.100000,1,300,0,92.20,39.89,0,453
1700000006.150000,1,287,0,93.02,81.02,1,460
1700000006.200000,1,260,0,93.57,36.49,0,460
1700000006.250000,1,250,0,92.69,30.05,0,460
1700000006.300000,1,107,0,81.78,60.92,1,457
1700000006.350000,1,239,0,52.60,33.27,0,457
1700000006.400000,1,182,0,73.73,53.20,0,457
1700000006.450000,1,249,0,73.58,61.87,1,453
1700000006.500000,1,300,0,73.40,41.18,0,453
1700000006.550000,1,300,0,73.21,40.92,0,453
1700000006.600000,1,300,0,73.03,72.52,1,556
1700000006.650000,1,300,0,72.83,41.01,0,556
1700000006.700000,1,300,0,72.62,40.81,0,556
1700000006.750000,1,300,0,72.41,88.21,1,597
1700000006.800000,1,300,0,72.19,41.89,0,597
1700000006.850000,1,255,0,46.49,37.45,0,597
1700000006.900000,1,88,0,67.78,59.18,1,592
1700000006.950000,1,90,0,88.76,17.04,0,592
1700000007.000000,1,117,0,91.87,18.61,0,592
1700000007.050000,1,122,0,91.41,59.11,1,578
1700000007.100000,1,120,0,90.45,19.72,0,578
1700000007.150000,1,300,0,89.34,31.72,0,578
1700000007.200000,1,300,0,88.19,73.80,1,599
1700000007.250000,1,300,0,87.12,35.98,0,599
1700000007.300000,1,300,0,86.18,34.91,0,599
1700000007.350000,1,300,0,85.22,84.19,1,698
1700000007.400000,1,300,0,84.20,36.48,0,698
1700000007.450000,1,300,0,83.21,37.20,0,698
1700000007.500000,1,300,0,82.25,87.22,1,697
1700000007.550000,1,300,0,81.35,38.76,0,697
1700000007.600000,1,300,0,80.51,39.75,0,697
1700000007.650000,1,300,0,79.67,94.16,1,705
1700000007.700000,1,300,0,78.90,39.82,0,705
1700000007.750000,1,300,0,78.15,41.00,0,705
1700000007.800000,1,300,0,77.41,86.59,1,700
1700000007.850000,1,300,0,76.71,42.04,0,700
1700000007.900000,1,300,0,76.03,41.02,0,700
1700000007.950000,1,300,0,75.37,94.52,1,717
1700000008.000000,1,300,0,74.75,42.84,0,717
1700000008.050000,1,300,0,74.14,42.31,0,717
1700000008.100000,1,300,0,73.57,88.07,1,721
1700000008.150000,1,300,0,73.01,43.38,0,721
1700000008.200000,1,300,0,72.49,44.58,0,721
1700000008.250000,1,300,0,71.99,83.85,1,705
1700000008.300000,1,300,0,71.53,44.63,0,705
1700000008.350000,1,282,0,71.13,41.82,0,705
1700000008.400000,1,278,0,70.80,74.43,1,691
1700000008.450000,1,300,0,70.53,43.49,0,691
1700000008.500000,1,300,0,70.33,44.17,0,691
1700000008.550000,1,300,0,70.16,82.59,1,679
1700000008.600000,1,300,0,70.03,45.13,0,679
1700000008.650000,1,300,0,69.92,44.00,0,679
1700000008.700000,1,300,0,69.78,79.29,1,673
1700000008.750000,1,300,0,69.63,44.34,0,673
1700000008.800000,1,300,0,69.45,44.16,0,673
1700000008.850000,1,300,0,69.31,85.27,1,649
1700000008.900000,1,300,0,69.14,44.71,0,649
1700000008.950000,1,300,0,68.98,44.62,0,649
1700000009.000000,1,300,0,68.82,91.48,1,637
1700000009.050000,1,300,0,68.62,44.35,0,637
1700000009.100000,1,300,0,68.46,44.33,0,637
1700000009.150000,1,300,0,68.31,70.78,1,633
1700000009.200000,1,300,0,68.19,45.31,0,633
1700000009.250000,1,300,0,68.09,44.48,0,633
1700000009.300000,1,300,0,67.99,84.28,1,618
1700000009.350000,1,300,0,67.92,45.10,0,618
1700000009.400000,1,300,0,67.82,44.64,0,618
1700000009.450000,1,300,0,67.73,104.24,1,597
1700000009.500000,1,300,0,67.67,46.04,0,597
1700000009.550000,1,300,0,67.69,45.41,0,597
1700000009.600000,1,300,0,67.81,108.29,1,586
1700000009.650000,1,300,0,68.02,46.83,0,586
1700000009.700000,1,289,0,68.31,44.28,0,586
