t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.54,2.91,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.53,2.20,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.54,2.10,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.61,2.23,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.61,2.11,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.61,2.12,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.60,2.12,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.57,2.13,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.73,2.10,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.79,2.13,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.54,2.07,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.52,2.07,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.51,2.07,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.52,1.90,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.50,2.02,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.50,1.93,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.51,2.05,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.49,1.95,0,0,0/0/0/0/0/0
1700000000.900000,1,220,220,62.51,29.45,1,0,220/220/231/93/111/109
1700000000.950000,1,300,300,62.50,37.38,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,62.50,40.59,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,62.52,58.51,1,192,300/300/300/300/300/300
1700000001.100000,1,300,300,62.54,41.52,0,192,300/300/300/300/300/300
1700000001.150000,1,300,300,62.56,43.26,0,192,300/300/300/300/300/300
1700000001.200000,1,300,300,62.73,64.99,1,216,300/300/300/300/300/300
1700000001.250000,1,300,300,62.67,42.55,0,216,300/300/300/300/300/300
1700000001.300000,1,300,300,62.72,43.64,0,216,300/300/300/300/300/300
1700000001.350000,1,300,300,62.73,72.30,1,295,300/300/300/300/300/300
1700000001.400000,1,300,300,63.14,45.31,0,295,300/300/300/300/300/300
1700000001.450000,1,300,300,62.55,42.06,0,295,300/300/300/300/300/300
1700000001.500000,1,300,300,62.55,67.93,1,304,300/300/300/300/300/300
1700000001.550000,1,300,300,62.57,40.90,0,304,300/300/300/300/300/300
1700000001.600000,1,300,300,62.56,41.07,0,304,300/300/300/300/300/300
1700000001.650000,1,300,300,62.59,73.60,1,417,300/300/300/300/300/300
1700000001.700000,1,300,300,63.05,42.76,0,417,300/300/300/300/300/300
1700000001.750000,1,300,300,62.96,43.43,0,417,300/300/300/300/300/300
1700000001.800000,1,300,300,62.67,84.41,1,626,300/300/300/300/300/300
1700000001.850000,1,300,300,62.62,43.97,0,626,300/300/300/300/300/300
1700000001.900000,1,300,300,62.62,43.40,0,626,300/300/300/300/300/291
1700000001.950000,1,300,300,62.70,89.11,1,895,300/300/300/300/300/300
1700000002.000000,1,300,300,62.77,44.84,0,895,300/300/300/300/300/300
1700000002.050000,1,300,300,62.82,44.98,0,895,300/300/300/300/300/289
