t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.49,2.77,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.50,1.89,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.50,1.93,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.49,1.87,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.51,1.86,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.49,1.78,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.50,1.95,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.50,1.90,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.49,1.80,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.49,1.88,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.49,1.92,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.50,1.82,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.49,1.92,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.50,1.90,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.49,2.09,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.50,2.24,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.49,1.93,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.49,1.85,0,0,0/0/0/0/0/0
1700000000.900000,1,232,221,62.50,28.15,1,0,232/221/235/88/106/111
1700000000.950000,1,300,300,62.50,35.75,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,62.49,41.29,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,62.49,58.35,1,174,300/300/300/300/300/300
1700000001.100000,1,300,300,62.51,40.50,0,174,300/300/300/300/300/300
1700000001.150000,1,300,300,62.49,41.51,0,174,300/300/300/300/300/300
1700000001.200000,1,300,300,62.49,70.03,1,218,300/300/300/300/300/300
1700000001.250000,1,300,300,62.50,39.23,0,218,300/300/300/300/300/300
1700000001.300000,1,300,300,62.50,39.49,0,218,300/300/300/300/300/300
1700000001.350000,1,300,300,62.50,69.60,1,308,300/300/300/300/300/300
1700000001.400000,1,300,300,62.49,39.97,0,308,300/300/300/300/300/300
1700000001.450000,1,300,300,62.49,37.97,0,308,300/300/300/300/300/300
1700000001.500000,1,300,300,62.50,80.68,1,307,300/300/300/300/300/300
1700000001.550000,1,300,300,62.49,39.35,0,307,300/300/300/300/300/300
1700000001.600000,1,300,300,62.49,40.68,0,307,300/300/300/300/300/300
1700000001.650000,1,300,300,62.49,78.98,1,323,300/300/300/300/300/300
1700000001.700000,1,300,300,62.50,41.66,0,323,300/300/300/300/300/300
1700000001.750000,1,300,300,62.50,39.34,0,323,300/300/300/300/300/300
1700000001.800000,1,300,300,62.51,84.95,1,613,300/300/300/300/300/300
1700000001.850000,1,300,300,62.53,42.45,0,613,300/300/300/300/300/295
1700000001.900000,1,300,300,62.52,39.95,0,613,300/300/300/300/300/300
1700000001.950000,1,300,300,62.54,92.55,1,904,300/300/300/300/300/300
1700000002.000000,1,300,300,62.55,42.66,0,904,300/300/300/300/300/300
1700000002.050000,1,300,300,62.56,44.83,0,904,300/300/300/300/300/300
1700000002.100000,1,300,300,62.59,144.32,1,1063,300/300/300/300/300/291
1700000002.150000,1,300,300,62.61,42.58,0,1063,300/300/300/300/300/291
1700000002.200000,1,300,300,62.63,43.23,0,1063,300/300/300/300/300/279
1700000002.250000,1,300,300,62.68,115.82,1,1114,300/300/300/300/300/284
1700000002.300000,1,300,300,62.71,48.33,0,1114,300/300/300/300/299/300
1700000002.350000,1,300,300,62.76,45.38,0,1114,300/300/300/300/300/292
1700000002.400000,1,300,300,62.80,122.65,1,1157,300/300/300/300/300/286
1700000002.450000,1,300,300,62.87,47.56,0,1157,300/300/300/300/300/287
1700000002.500000,1,300,300,62.91,46.15,0,1157,300/300/300/300/300/282
1700000002.550000,1,300,300,62.98,131.50,1,1214,300/300/300/300/300/285
1700000002.600000,1,300,300,63.05,46.67,0,1214,300/300/300/300/298/290
1700000002.650000,1,300,300,63.14,45.97,0,1214,300/300/300/300/300/278
1700000002.700000,1,300,300,63.24,157.28,1,1255,300/300/300/299/300/275
1700000002.750000,1,300,300,63.32,50.07,0,1255,300/300/300/300/289/267
1700000002.800000,1,300,300,63.43,45.20,0,1255,300/300/300/300/300/264
1700000002.850000,1,300,300,63.55,151.61,1,1313,300/300/300/300/289/257
1700000002.900000,1,300,300,63.66,49.64,0,1313,300/300/300/300/300/262
1700000002.950000,1,300,300,63.80,50.54,0,1313,300/300/300/300/290/255
1700000003.000000,1,300,300,63.94,181.28,1,1376,300/300/300/300/300/300
1700000003.050000,1,300,300,64.10,49.28,0,1376,300/300/300/300/292/300
1700000003.100000,1,300,300,64.26,49.16,0,1376,300/300/300/300/300/300
1700000003.150000,1,300,300,64.44,194.12,1,1442,300/300/300/300/300/300
1700000003.200000,1,300,300,64.61,56.49,0,1442,300/300/300/300/300/300
