t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.50,2.86,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.50,1.99,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.50,1.99,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.50,1.98,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.49,1.98,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.50,1.88,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.50,2.09,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.50,1.93,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.49,1.91,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.50,1.91,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.50,2.23,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.50,1.90,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.50,2.05,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.49,1.88,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.50,1.98,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.50,1.86,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.50,1.90,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.49,1.99,0,0,0/0/0/0/0/0
1700000000.900000,1,220,220,62.49,26.83,1,0,220/220/220/95/111/108
1700000000.950000,1,300,300,62.49,34.88,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,62.50,43.49,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,62.50,55.49,1,189,300/300/300/300/300/300
1700000001.100000,1,300,300,62.49,40.66,0,189,300/300/300/300/300/300
1700000001.150000,1,300,300,62.49,42.76,0,189,300/300/300/300/300/300
1700000001.200000,1,300,300,62.50,63.65,1,265,300/300/300/300/300/300
1700000001.250000,1,300,300,62.49,38.78,0,265,300/300/300/300/300/300
1700000001.300000,1,300,300,62.50,40.27,0,265,300/300/300/300/300/300
1700000001.350000,1,300,300,62.49,73.79,1,245,300/300/300/300/300/300
1700000001.400000,1,300,300,62.50,41.24,0,245,300/300/300/300/300/300
1700000001.450000,1,300,300,62.49,39.51,0,245,300/300/300/300/300/300
1700000001.500000,1,300,300,62.49,80.27,1,396,300/300/300/300/300/300
1700000001.550000,1,300,300,62.49,42.97,0,396,300/300/300/300/300/300
1700000001.600000,1,300,300,62.49,40.25,0,396,300/300/300/300/300/300
1700000001.650000,1,300,300,62.50,87.17,1,383,300/300/300/300/300/300
1700000001.700000,1,300,300,62.50,42.15,0,383,300/300/300/300/300/300
1700000001.750000,1,300,300,62.50,40.13,0,383,300/300/300/300/300/300
1700000001.800000,1,300,300,62.51,83.72,1,620,300/300/300/300/300/300
1700000001.850000,1,300,300,62.51,44.24,0,620,300/300/300/300/300/300
