t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.50,2.66,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.50,2.09,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.50,1.86,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.50,1.96,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.49,1.87,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.50,1.83,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.50,1.84,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.50,1.83,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.49,1.86,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.50,1.89,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.50,1.96,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.50,1.86,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.50,1.82,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.49,1.86,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.50,1.83,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.50,1.79,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.50,1.82,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.49,1.80,0,0,0/0/0/0/0/0
1700000000.900000,1,220,220,62.49,27.12,1,0,220/220/220/95/111/108
1700000000.950000,1,300,300,62.49,34.50,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,62.50,39.10,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,62.50,56.28,1,189,300/300/300/300/300/300
1700000001.100000,1,300,300,62.49,39.08,0,189,300/300/300/300/300/300
1700000001.150000,1,300,300,62.49,39.39,0,189,300/300/300/300/300/300
1700000001.200000,1,300,300,62.50,63.96,1,265,300/300/300/300/300/300
1700000001.250000,1,300,300,62.49,38.76,0,265,300/300/300/300/300/300
1700000001.300000,1,300,300,62.50,39.59,0,265,300/300/300/300/300/300
1700000001.350000,1,300,300,62.49,73.48,1,245,300/300/300/300/300/300
1700000001.400000,1,300,300,62.50,39.40,0,245,300/300/300/300/300/300
1700000001.450000,1,300,300,62.49,38.50,0,245,300/300/300/300/300/300
1700000001.500000,1,300,300,62.49,79.34,1,396,300/300/300/300/300/300
1700000001.550000,1,300,300,62.49,45.30,0,396,300/300/300/300/300/300
1700000001.600000,1,300,300,62.49,38.98,0,396,300/300/300/300/300/300
1700000001.650000,1,300,300,62.50,88.21,1,383,300/300/300/300/300/300
1700000001.700000,1,300,300,62.50,43.83,0,383,300/300/300/300/300/300
1700000001.750000,1,300,300,62.50,40.28,0,383,300/300/300/300/300/300
1700000001.800000,1,300,300,62.51,87.40,1,620,300/300/300/300/300/300
1700000001.850000,1,300,300,62.51,44.97,0,620,300/300/300/300/300/300
1700000001.900000,1,300,300,62.52,43.44,0,620,300/300/300/300/300/297
1700000001.950000,1,300,300,62.53,96.67,1,923,300/300/300/300/300/300
1700000002.000000,1,300,300,62.55,42.96,0,923,300/300/300/300/300/300
1700000002.050000,1,300,300,62.55,43.97,0,923,300/300/300/300/300/300
1700000002.100000,1,300,300,62.59,105.48,1,1062,300/300/300/300/300/299
1700000002.150000,1,300,300,62.61,45.43,0,1062,300/300/300/300/300/296
1700000002.200000,1,300,300,62.64,45.44,0,1062,300/300/300/300/300/296
1700000002.250000,1,300,300,62.68,118.12,1,1111,300/300/300/300/300/290
1700000002.300000,1,300,300,62.72,47.57,0,1111,300/300/300/300/300/284
1700000002.350000,1,300,300,62.76,45.55,0,1111,300/300/300/300/300/289
1700000002.400000,1,300,300,62.81,129.46,1,1154,300/300/300/300/287/291
1700000002.450000,1,300,300,62.87,47.50,0,1154,300/300/300/300/288/287
1700000002.500000,1,300,300,62.92,47.03,0,1154,300/300/300/300/300/287
1700000002.550000,1,300,300,62.99,152.73,1,1184,300/300/300/300/300/292
1700000002.600000,1,300,300,63.05,49.06,0,1184,300/300/300/300/300/292
1700000002.650000,1,300,300,63.14,48.59,0,1184,300/300/300/300/300/284
1700000002.700000,1,300,300,63.24,145.35,1,1233,300/300/300/299/299/278
1700000002.750000,1,300,300,63.33,49.20,0,1233,300/300/300/300/300/274
1700000002.800000,1,300,300,63.42,50.16,0,1233,300/300/300/300/300/268
1700000002.850000,1,300,300,63.55,160.15,1,1314,300/300/300/290/300/264
1700000002.900000,1,300,300,63.66,47.77,0,1314,300/300/300/300/280/268
1700000002.950000,1,300,300,63.80,49.74,0,1314,300/300/300/300/300/300
1700000003.000000,1,300,300,63.93,176.22,1,1362,300/300/300/300/300/300
1700000003.050000,1,300,300,64.11,50.13,0,1362,300/300/300/300/300/300
1700000003.100000,1,300,300,64.27,49.73,0,1362,300/300/300/300/300/300
1700000003.150000,1,300,300,64.44,182.41,1,1449,300/300/300/300/300/300
1700000003.200000,1,300,300,64.61,52.07,0,1449,300/300/300/300/300/300
1700000003.250000,1,300,300,64.80,48.42,0,1449,300/300/300/300/284/300
1700000003.300000,1,300,300,64.98,200.94,1,1534,300/300/300/300/300/300
1700000003.350000,1,300,300,65.18,52.83,0,1534,300/300/300/300/300/291
1700000003.400000,1,300,300,65.39,51.81,0,1534,300/300/300/300/300/300
1700000003.450000,1,300,300,65.59,207.78,1,1614,300/300/300/300/300/300
1700000003.500000,1,300,300,65.80,53.91,0,1614,300/300/300/300/300/300
1700000003.550000,1,300,300,66.04,54.89,0,1614,300/300/300/300/300/300
1700000003.600000,1,300,300,66.27,226.65,1,1707,300/300/300/300/300/300
1700000003.650000,1,300,300,66.51,54.00,0,1707,300/300/300/300/300/300
1700000003.700000,1,300,300,66.77,52.67,0,1707,300/300/300/300/300/300
1700000003.750000,1,300,300,67.03,236.88,1,1807,300/300/300/300/300/300
1700000003.800000,1,300,300,67.29,52.31,0,1807,300/300/300/300/300/300
1700000003.850000,1,300,300,67.55,54.55,0,1807,300/300/300/300/300/300
1700000003.900000,1,300,300,67.83,280.86,1,1894,300/300/300/300/300/300
1700000003.950000,1,300,300,68.10,54.49,0,1894,300/300/300/300/300/300
1700000004.000000,1,300,300,68.39,53.99,0,1894,300/300/300/300/300/300
1700000004.050000,1,300,300,68.65,254.49,1,1972,300/300/300/300/300/300
1700000004.100000,1,300,300,68.91,52.78,0,1972,300/300/300/300/300/300
1700000004.150000,1,300,300,69.18,54.13,0,1972,300/300/300/300/300/300
1700000004.200000,1,300,300,69.44,327.09,1,2092,300/300/300/300/300/300
1700000004.250000,1,300,300,69.68,51.59,0,2092,300/300/300/300/300/300
1700000004.300000,1,300,300,69.92,54.47,0,2092,300/300/300/300/300/300
1700000004.350000,1,300,300,70.16,282.32,1,2187,300/300/300/300/300/300
1700000004.400000,1,300,300,70.45,54.90,0,2187,300/300/300/300/300/300
1700000004.450000,1,300,300,70.78,56.36,0,2187,300/300/300/300/300/300
1700000004.500000,1,300,300,71.13,302.42,1,2293,300/300/300/300/300/300
1700000004.550000,1,300,300,71.50,55.26,0,2293,300/300/300/300/300/300
1700000004.600000,1,300,300,71.90,50.61,0,2293,300/300/300/300/300/300
1700000004.650000,1,300,300,72.31,314.05,1,2388,300/300/300/300/300/300
1700000004.700000,1,300,300,72.72,54.65,0,2388,300/300/300/300/300/300
1700000004.750000,1,300,300,73.17,56.79,0,2388,300/300/300/300/300/300
1700000004.800000,1,300,300,73.61,310.54,1,2490,300/300/300/300/300/300
1700000004.850000,1,300,300,74.07,53.56,0,2490,300/300/300/300/300/300
1700000004.900000,1,300,300,74.52,59.58,0,2490,300/300/300/300/300/300
1700000004.950000,1,300,300,75.02,341.46,1,2605,300/300/300/300/300/300
1700000005.000000,1,300,300,75.53,64.39,0,2605,300/300/300/300/300/300
1700000005.050000,1,300,300,76.06,61.56,0,2605,300/300/300/300/300/300
1700000005.100000,1,300,300,76.64,412.11,1,2664,300/300/300/300/300/300
1700000005.150000,1,300,300,77.24,63.05,0,2664,300/300/300/300/300/300
1700000005.200000,1,300,300,77.88,61.78,0,2664,300/300/300/300/300/300
1700000005.250000,1,300,300,78.52,335.14,1,2705,300/300/300/300/300/300
1700000005.300000,1,300,300,79.21,62.91,0,2705,300/300/300/300/300/300
1700000005.350000,1,300,300,79.94,64.64,0,2705,300/300/300/300/300/300
1700000005.400000,1,300,300,80.71,564.24,1,2672,300/300/300/300/300/300
1700000005.450000,1,300,300,81.50,75.68,0,2672,300/300/300/300/300/300
1700000005.500000,1,300,300,82.36,77.28,0,2672,300/300/300/300/300/300
1700000005.550000,1,300,300,83.23,404.89,1,2605,300/300/300/300/300/300
1700000005.600000,1,300,300,84.07,74.54,0,2605,300/300/300/300/300/300
1700000005.650000,1,300,300,84.91,73.45,0,2605,300/300/300/300/300/300
1700000005.700000,1,300,300,85.75,321.23,1,2510,300/300/300/300/300/300
1700000005.750000,1,300,300,86.60,80.10,0,2510,300/300/300/300/300/300
1700000005.800000,1,300,300,87.43,85.28,0,2510,300/300/300/300/300/300
1700000005.850000,1,300,300,88.28,397.05,1,2483,300/300/300/300/300/300
1700000005.900000,1,300,300,89.10,106.34,0,2483,300/300/300/300/300/300
1700000005.950000,1,300,300,89.91,122.59,0,2483,300/300/300/300/300/300
1700000006.000000,1,256,300,90.64,287.01,1,2327,256/300/300/300/300/300
