t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,222,213,62.50,1540.53,0,0,222/213/234/91/111/109
1700000000.050000,0,300,300,62.50,71.86,0,0,300/300/300/300/300/300
1700000000.100000,0,300,300,62.50,83.57,0,0,300/300/300/300/300/300
1700000000.150000,0,300,300,62.50,39.08,0,0,300/300/300/300/300/300
1700000000.200000,0,300,300,62.49,80.37,0,0,300/300/300/300/300/300
1700000000.250000,0,300,300,62.50,38.40,0,0,300/300/300/300/300/300
1700000000.300000,0,300,300,62.50,82.53,0,0,300/300/300/300/300/300
1700000000.350000,0,300,300,62.50,43.56,0,0,300/300/300/300/300/300
1700000000.400000,0,300,300,62.49,81.88,0,0,300/300/300/300/300/300
1700000000.450000,0,300,300,62.50,38.09,0,0,300/300/300/300/300/300
1700000000.500000,0,300,300,62.50,80.83,0,0,300/300/300/300/300/300
1700000000.550000,0,300,300,62.50,39.26,0,0,300/300/300/300/300/300
1700000000.600000,0,300,300,62.50,82.01,0,0,300/300/300/300/300/300
1700000000.650000,0,300,300,62.49,38.18,0,0,300/300/300/300/300/300
1700000000.700000,0,300,300,62.50,84.71,0,0,300/300/300/300/300/300
1700000000.750000,0,300,300,62.50,38.61,0,0,300/300/300/300/300/300
1700000000.800000,0,300,300,62.50,80.77,0,0,300/300/300/300/300/300
1700000000.850000,0,300,300,62.49,38.38,0,0,300/300/300/300/300/300
1700000000.900000,1,300,300,62.49,42.13,1,0,300/300/300/300/300/300
1700000000.950000,1,300,300,62.49,55.29,1,192,300/300/300/300/300/300
1700000001.000000,1,300,300,62.50,66.59,1,235,300/300/300/300/300/300
1700000001.050000,1,300,300,62.50,79.42,1,264,300/300/300/300/300/300
1700000001.100000,1,300,300,62.49,75.68,1,240,300/300/300/300/300/300
1700000001.150000,1,300,300,62.49,72.79,1,230,300/300/300/300/300/300
1700000001.200000,1,300,300,62.50,81.99,1,256,300/300/300/300/300/300
1700000001.250000,1,300,300,62.49,77.09,1,218,300/300/300/300/300/300
1700000001.300000,1,300,300,62.50,90.59,1,453,300/300/300/300/300/300
1700000001.350000,1,300,300,62.49,74.68,1,218,300/300/300/300/300/300
1700000001.400000,1,300,300,62.50,70.70,1,216,300/300/300/300/300/300
1700000001.450000,1,300,300,62.49,68.65,1,283,300/300/300/300/300/300
1700000001.500000,1,300,300,62.49,72.60,1,248,300/300/300/300/300/300
1700000001.550000,1,300,300,62.49,72.93,1,230,300/300/300/300/300/300
1700000001.600000,1,300,300,62.49,75.75,1,256,300/300/300/300/300/300
1700000001.650000,1,300,300,62.50,81.89,1,311,300/300/300/300/300/300
1700000001.700000,1,300,300,62.50,79.41,1,377,300/300/300/300/300/300
1700000001.750000,1,300,300,62.50,82.20,1,481,300/300/300/300/300/300
1700000001.800000,1,300,300,62.51,91.27,1,676,300/300/300/300/300/300
1700000001.850000,1,300,300,62.51,110.89,1,882,300/300/300/300/300/299
1700000001.900000,1,300,300,62.52,110.91,1,1007,300/300/300/300/300/300
1700000001.950000,1,300,300,62.53,149.70,1,1043,300/300/300/300/300/297
1700000002.000000,1,300,300,62.55,182.16,1,1095,300/300/300/300/300/294
1700000002.050000,1,300,300,62.55,141.77,1,1127,300/300/300/300/300/300
1700000002.100000,1,300,300,62.59,170.98,1,1162,300/300/300/300/300/295
1700000002.150000,1,300,300,62.61,162.92,1,1198,300/300/300/300/291/298
1700000002.200000,1,300,300,62.64,173.22,1,1231,300/300/300/300/300/294
1700000002.250000,1,300,300,62.68,190.38,1,1282,300/300/300/300/300/290
1700000002.300000,1,300,300,62.72,242.52,1,1315,300/300/300/300/300/290
1700000002.350000,1,300,300,62.76,219.33,1,1348,300/300/300/300/300/287
1700000002.400000,1,300,300,62.81,237.65,1,1389,300/300/300/300/285/295
1700000002.450000,1,300,300,62.87,289.76,1,1425,300/300/300/300/300/300
1700000002.500000,1,300,300,62.92,263.20,1,1480,300/300/300/300/293/300
1700000002.550000,1,300,300,62.99,285.46,1,1526,300/300/300/300/300/296
1700000002.600000,1,300,300,63.05,291.96,1,1575,300/300/300/300/297/295
1700000002.650000,1,300,300,63.14,311.65,1,1619,300/300/300/300/300/285
1700000002.700000,1,300,300,63.24,317.81,1,1671,300/300/300/300/300/278
1700000002.750000,1,300,300,63.33,335.84,1,1721,300/300/300/300/300/274
1700000002.800000,1,300,300,63.42,359.18,1,1775,300/300/300/300/300/265
1700000002.850000,1,300,300,63.55,372.62,1,1834,300/300/300/300/300/260
1700000002.900000,1,300,300,63.66,49.24,0,1834,300/300/300/300/300/258
1700000002.950000,1,300,300,63.80,48.24,0,1834,300/300/300/300/295/300
1700000003.000000,1,300,300,63.93,467.08,1,1856,300/300/300/300/300/300
1700000003.050000,1,300,300,64.11,54.72,0,1856,300/300/300/300/300/300
1700000003.100000,1,300,300,64.27,51.76,0,1856,300/300/300/300/300/300
1700000003.150000,1,300,300,64.44,494.24,1,1945,300/300/300/300/300/300
1700000003.200000,1,300,300,64.61,51.58,0,1945,300/300/300/300/300/300
1700000003.250000,1,300,300,64.80,50.14,0,1945,300/300/300/300/300/300
1700000003.300000,1,300,300,64.98,507.28,1,2019,300/300/300/300/300/300
1700000003.350000,1,300,300,65.18,50.61,0,2019,300/300/300/300/300/300
1700000003.400000,1,300,300,65.39,50.24,0,2019,300/300/300/300/300/300
1700000003.450000,1,300,300,65.59,515.67,1,2098,300/300/300/300/300/300
1700000003.500000,1,300,300,65.80,52.43,0,2098,300/300/300/300/300/300
1700000003.550000,1,300,300,66.04,52.72,0,2098,300/300/300/300/300/300
1700000003.600000,1,300,300,66.27,529.11,1,2161,300/300/300/300/300/300
1700000003.650000,1,300,300,66.51,51.98,0,2161,300/300/300/300/300/300
1700000003.700000,1,300,300,66.77,52.30,0,2161,300/300/300/300/300/300
1700000003.750000,1,300,300,67.03,532.76,1,2237,300/300/300/300/300/300
1700000003.800000,1,300,300,67.29,53.28,0,2237,300/300/300/300/300/300
1700000003.850000,1,300,300,67.55,52.90,0,2237,300/300/300/300/300/300
1700000003.900000,1,300,300,67.83,495.03,1,2292,300/300/300/300/300/300
1700000003.950000,1,300,300,68.10,53.60,0,2292,300/300/300/300/300/300
1700000004.000000,1,300,300,68.39,52.05,0,2292,300/300/300/300/300/300
1700000004.050000,1,300,300,68.65,598.67,1,2312,300/300/300/300/300/300
1700000004.100000,1,300,300,68.91,52.67,0,2312,300/300/300/300/300/300
1700000004.150000,1,300,300,69.18,51.82,0,2312,300/300/300/300/300/300
1700000004.200000,1,300,300,69.44,571.71,1,2306,300/300/300/300/300/300
1700000004.250000,1,300,300,69.68,52.77,0,2306,300/300/300/300/300/300
1700000004.300000,1,300,300,69.92,51.27,0,2306,300/300/300/300/300/300
1700000004.350000,1,300,300,70.16,415.22,1,2267,300/300/300/300/300/300
1700000004.400000,1,300,300,70.45,55.96,0,2267,300/300/300/300/300/300
1700000004.450000,1,300,300,70.78,55.54,0,2267,300/300/300/300/300/300
1700000004.500000,1,300,300,71.13,337.72,1,2194,300/300/300/300/300/300
1700000004.550000,1,300,300,71.50,55.07,0,2194,300/300/300/300/300/300
1700000004.600000,1,300,300,71.90,54.76,0,2194,300/300/300/300/300/300
1700000004.650000,1,300,300,72.31,339.56,1,2161,300/300/300/300/300/300
1700000004.700000,1,300,300,72.72,51.99,0,2161,300/300/300/300/300/300
1700000004.750000,1,300,300,73.17,52.52,0,2161,300/300/300/300/300/300
1700000004.800000,1,300,300,73.61,195.29,1,2234,300/300/300/300/300/300
1700000004.850000,1,300,300,74.07,56.03,0,2234,300/300/300/300/300/300
1700000004.900000,1,300,300,74.52,60.76,0,2234,300/300/300/300/300/300
1700000004.950000,1,300,300,75.02,273.26,1,2287,300/300/300/300/300/300
1700000005.000000,1,300,300,75.53,56.89,0,2287,300/300/300/300/300/300
1700000005.050000,1,300,300,76.06,59.90,0,2287,300/300/300/300/300/300
1700000005.100000,1,300,300,76.64,273.85,1,2366,300/300/300/300/300/300
1700000005.150000,1,300,300,77.24,62.07,0,2366,300/300/300/300/300/300
1700000005.200000,1,300,300,77.88,62.69,0,2366,300/300/300/300/300/300
1700000005.250000,1,300,300,78.52,285.64,1,2441,300/300/300/300/300/300
1700000005.300000,1,300,300,79.21,65.16,0,2441,300/300/300/300/300/300
1700000005.350000,1,300,300,79.94,67.02,0,2441,300/300/300/300/300/300
1700000005.400000,1,300,300,80.71,261.03,1,2511,300/300/300/300/300/300
1700000005.450000,1,300,300,81.50,66.62,0,2511,300/300/300/300/300/300
1700000005.500000,1,300,300,82.36,70.76,0,2511,300/300/300/300/300/300
1700000005.550000,1,300,300,83.23,328.91,1,2575,300/300/300/300/300/300
1700000005.600000,1,300,300,84.07,77.45,0,2575,300/300/300/300/300/300
1700000005.650000,1,300,300,84.91,78.73,0,2575,300/300/300/300/300/300
1700000005.700000,1,300,300,85.75,277.62,1,2620,300/300/300/300/300/300
1700000005.750000,1,300,300,86.60,87.68,0,2620,300/300/300/300/300/300
1700000005.800000,1,300,300,87.43,90.70,0,2620,300/300/300/300/300/300
1700000005.850000,1,300,300,88.28,299.51,1,2664,300/300/300/300/300/300
1700000005.900000,1,300,300,89.10,104.08,0,2664,300/300/300/300/300/300
1700000005.950000,1,300,300,89.91,99.55,0,2664,300/300/300/300/300/300
1700000006.000000,1,300,300,90.64,267.83,1,2707,300/300/300/300/300/300
1700000006.050000,1,300,300,91.37,143.34,0,2707,300/300/300/300/300/300
1700000006.100000,1,300,300,92.20,141.29,0,2707,300/300/300/300/300/300
1700000006.150000,1,291,300,93.03,268.20,1,2727,291/300/300/300/300/300
1700000006.200000,1,274,300,93.55,192.98,0,2727,274/300/295/242/300/300
1700000006.250000,1,262,300,92.68,76.29,0,2727,262/300/180/162/274/300
1700000006.300000,1,107,300,81.77,286.54,1,2705,107/300/218/245/146/300
1700000006.350000,1,234,258,52.61,66.66,0,2705,234/258/300/300/225/152
1700000006.400000,1,227,179,73.74,98.99,0,2705,227/179/300/300/275/221
1700000006.450000,1,300,246,73.58,267.14,1,2789,300/246/300/300/300/147
1700000006.500000,1,300,300,73.40,57.52,0,2789,300/300/300/300/300/227
1700000006.550000,1,300,300,73.22,58.74,0,2789,300/300/300/300/300/300
1700000006.600000,1,300,300,73.03,245.31,1,2941,300/300/300/300/300/300
1700000006.650000,1,300,300,72.83,60.75,0,2941,300/300/300/300/289/300
1700000006.700000,1,300,300,72.62,58.80,0,2941,300/300/300/300/300/300
1700000006.750000,1,300,300,72.40,264.44,1,3019,300/300/300/300/300/300
1700000006.800000,1,300,300,72.18,86.27,0,3019,300/300/300/222/300/300
1700000006.850000,1,264,300,46.48,98.09,0,3019,264/300/300/233/300/300
1700000006.900000,1,85,300,67.78,252.26,1,2897,85/300/300/300/169/300
1700000006.950000,1,97,300,88.76,87.27,0,2897,97/300/211/156/153/298
1700000007.000000,1,110,210,91.87,57.43,0,2897,110/210/300/300/169/174
1700000007.050000,1,119,119,91.42,341.65,1,2844,119/119/300/300/300/173
1700000007.100000,1,117,300,90.47,78.91,0,2844,117/300/300/300/300/300
1700000007.150000,1,300,300,89.34,103.99,0,2844,300/300/300/300/300/261
1700000007.200000,1,300,300,88.18,261.40,1,2928,300/300/300/300/300/300
1700000007.250000,1,300,300,87.12,89.17,0,2928,300/300/300/300/300/300
1700000007.300000,1,300,300,86.19,80.10,0,2928,300/300/300/283/299/300
1700000007.350000,1,300,300,85.22,221.54,1,3016,300/300/300/300/266/300
1700000007.400000,1,300,300,84.21,76.16,0,3016,300/300/300/292/251/280
1700000007.450000,1,300,300,83.21,69.68,0,3016,300/300/300/282/300/300
1700000007.500000,1,300,300,82.26,288.21,1,3071,300/300/300/266/272/300
1700000007.550000,1,300,300,81.35,70.68,0,3071,300/300/300/260/265/291
1700000007.600000,1,300,300,80.50,67.71,0,3071,300/300/300/260/300/276
1700000007.650000,1,300,300,79.67,228.48,1,3094,300/300/300/258/300/300
1700000007.700000,1,300,300,78.90,68.03,0,3094,300/300/300/260/300/272
1700000007.750000,1,300,300,78.14,62.63,0,3094,300/300/300/267/295/261
1700000007.800000,1,300,300,77.42,297.14,1,3108,300/300/300/300/294/288
1700000007.850000,1,300,300,76.71,60.69,0,3108,300/300/300/275/283/300
1700000007.900000,1,300,300,76.03,63.47,0,3108,300/300/300/264/268/277
1700000007.950000,1,300,300,75.38,255.01,1,3122,300/300/300/260/254/262
1700000008.000000,1,300,300,74.74,62.11,0,3122,300/300/300/263/259/274
1700000008.050000,1,300,300,74.13,60.23,0,3122,300/300/300/258/257/286
1700000008.100000,1,300,296,73.57,223.23,1,3111,300/296/300/250/266/269
1700000008.150000,1,300,300,73.02,60.81,0,3111,300/300/300/242/269/300
1700000008.200000,1,300,300,72.49,63.97,0,3111,300/300/300/291/262/300
1700000008.250000,1,300,300,72.00,275.23,1,3053,300/300/300/282/262/300
1700000008.300000,1,300,300,71.52,66.20,0,3053,300/300/300/265/269/267
1700000008.350000,1,295,300,71.13,55.94,0,3053,295/300/300/279/288/300
1700000008.400000,1,290,300,70.80,258.74,1,3002,290/300/300/262/300/300
1700000008.450000,1,300,300,70.53,67.19,0,3002,300/300/300/257/300/282
1700000008.500000,1,300,300,70.32,57.95,0,3002,300/300/300/300/300/300
1700000008.550000,1,300,300,70.16,234.26,1,2931,300/300/300/300/300/300
1700000008.600000,1,300,300,70.03,62.80,0,2931,300/300/300/285/300/300
1700000008.650000,1,300,300,69.91,64.00,0,2931,300/300/300/300/300/300
1700000008.700000,1,300,300,69.78,233.69,1,2877,300/300/300/300/300/300
1700000008.750000,1,300,300,69.63,67.51,0,2877,300/300/300/288/259/300
1700000008.800000,1,300,300,69.46,53.84,0,2877,300/300/300/275/300/300
1700000008.850000,1,300,300,69.30,223.62,1,2804,300/300/300/300/300/300
1700000008.900000,1,300,300,69.14,59.11,0,2804,300/300/300/300/300/300
1700000008.950000,1,300,300,68.99,52.46,0,2804,300/300/300/300/300/300
1700000009.000000,1,300,300,68.82,230.53,1,2810,300/300/300/300/300/300
1700000009.050000,1,300,300,68.64,56.59,0,2810,300/300/300/300/300/300
1700000009.100000,1,300,300,68.46,53.77,0,2810,300/300/300/300/300/300
1700000009.150000,1,300,300,68.31,233.45,1,2802,300/300/300/300/300/300
1700000009.200000,1,300,300,68.20,51.39,0,2802,300/300/300/300/300/300
1700000009.250000,1,300,300,68.10,51.74,0,2802,300/300/300/300/300/300
1700000009.300000,1,300,300,67.99,235.99,1,2786,300/300/300/300/300/300
1700000009.350000,1,300,300,67.90,53.30,0,2786,300/300/300/300/300/300
1700000009.400000,1,300,300,67.82,49.37,0,2786,300/300/300/300/300/300
1700000009.450000,1,300,300,67.73,237.40,1,2754,300/300/300/300/300/300
1700000009.500000,1,300,300,67.67,51.54,0,2754,300/300/300/300/300/300
1700000009.550000,1,300,300,67.68,48.05,0,2754,300/300/300/300/300/300
1700000009.600000,1,300,300,67.80,243.53,1,2724,300/300/300/300/300/300
1700000009.650000,1,300,300,68.03,51.58,0,2724,300/300/300/300/300/300
1700000009.700000,1,295,300,68.31,52.23,0,2724,295/300/300/300/300/279
1700000009.750000,1,300,300,68.63,254.72,1,2704,300/300/300/300/300/300
1700000009.800000,1,300,300,68.95,51.15,0,2704,300/300/300/300/300/274
1700000009.850000,1,295,300,69.25,49.94,0,2704,295/300/300/300/300/300
1700000009.900000,1,300,300,69.49,262.59,1,2697,300/300/300/300/300/300
1700000009.950000,1,294,300,69.71,51.67,0,2697,294/300/300/300/300/279
1700000010.000000,1,289,300,69.87,51.49,0,2697,289/300/300/300/300/264
1700000010.050000,1,300,300,70.00,314.86,1,2681,300/300/300/300/300/268
1700000010.100000,1,300,300,70.03,49.07,0,2681,300/300/300/300/300/300
1700000010.150000,1,300,300,70.04,48.66,0,2681,300/300/300/300/300/300
1700000010.200000,1,300,300,70.01,435.16,1,2684,300/300/300/300/300/300
1700000010.250000,1,295,300,69.94,55.78,0,2684,295/300/300/300/300/300
1700000010.300000,1,300,300,69.89,51.93,0,2684,300/300/300/300/300/300
1700000010.350000,1,300,300,69.81,279.99,1,2735,300/300/300/300/300/300
1700000010.400000,1,300,300,69.73,53.26,0,2735,300/300/300/300/300/300
1700000010.450000,1,300,300,69.65,49.24,0,2735,300/300/300/300/300/300
1700000010.500000,1,300,300,69.59,290.30,1,2684,300/300/300/300/300/300
1700000010.550000,1,300,300,69.54,52.27,0,2684,300/300/300/300/300/300
1700000010.600000,1,300,300,69.49,50.89,0,2684,300/300/300/300/300/300
1700000010.650000,1,300,300,69.44,298.55,1,2549,300/300/300/300/300/300
1700000010.700000,1,300,300,69.38,51.75,0,2549,300/300/300/300/300/300
1700000010.750000,1,300,300,69.35,50.81,0,2549,300/300/300/300/300/300
1700000010.800000,1,300,300,69.32,296.86,1,2435,300/300/300/300/300/300
1700000010.850000,1,300,300,69.29,54.11,0,2435,300/300/300/300/300/300
1700000010.900000,1,300,300,69.27,49.69,0,2435,300/300/300/300/300/300
1700000010.950000,1,300,300,69.27,316.20,1,2463,300/300/300/300/300/300
1700000011.000000,1,300,300,69.27,50.42,0,2463,300/300/300/300/300/300
