t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,110.14,4.91,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,110.27,3.82,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,110.42,3.79,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,110.56,3.56,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,110.68,3.55,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,110.79,3.56,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,110.89,3.25,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,110.95,3.32,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,110.99,2.97,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,111.04,2.20,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,111.09,3.25,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,111.15,2.93,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,111.24,2.97,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,111.34,1.77,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,111.43,2.99,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,111.52,1.76,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,111.61,3.01,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,111.64,1.79,0,0,0/0/0/0/0/0
1700000000.900000,0,0,0,111.68,2.97,0,0,0/0/0/0/0/0
1700000000.950000,0,0,0,111.71,1.75,0,0,0/0/0/0/0/0
1700000001.000000,0,0,0,111.75,2.99,0,0,0/0/0/0/0/0
1700000001.050000,0,0,0,111.76,1.77,0,0,0/0/0/0/0/0
1700000001.100000,0,0,0,111.78,2.96,0,0,0/0/0/0/0/0
1700000001.150000,0,0,0,111.81,1.75,0,0,0/0/0/0/0/0
1700000001.200000,0,0,0,111.82,2.99,0,0,0/0/0/0/0/0
1700000001.250000,0,0,0,111.82,1.76,0,0,0/0/0/0/0/0
1700000001.300000,0,0,0,111.83,2.95,0,0,0/0/0/0/0/0
