t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,118.42,2.83,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,118.41,2.01,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,118.41,2.01,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,118.41,1.96,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,118.42,1.95,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,118.42,1.95,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,118.40,1.97,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,118.41,1.98,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,118.41,1.97,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,118.41,1.99,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,118.40,2.01,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,118.42,1.89,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,118.40,1.96,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,118.41,1.87,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,118.41,1.87,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,118.40,1.90,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,118.41,1.92,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,118.41,1.91,0,0,0/0/0/0/0/0
1700000000.900000,1,295,262,118.40,30.33,1,0,295/262/300/246/235/128
1700000000.950000,1,300,300,118.41,38.04,0,0,300/300/300/300/293/204
1700000001.000000,1,300,300,118.40,42.54,0,0,300/300/300/300/300/249
1700000001.050000,1,300,300,118.41,63.25,1,180,300/300/300/300/300/226
1700000001.100000,1,300,300,118.42,44.03,0,180,300/300/300/300/300/300
1700000001.150000,1,300,300,118.41,45.99,0,180,300/300/300/300/300/279
1700000001.200000,1,300,300,118.43,75.59,1,267,300/300/300/300/300/300
1700000001.250000,1,300,300,118.41,47.86,0,267,300/300/300/300/300/300
1700000001.300000,1,300,300,118.40,46.04,0,267,300/300/300/300/300/275
1700000001.350000,1,300,300,118.41,73.50,1,156,300/300/300/300/300/300
1700000001.400000,1,300,300,118.41,58.28,0,156,300/300/300/300/300/300
1700000001.450000,1,300,300,118.41,43.65,0,156,300/300/300/300/300/300
1700000001.500000,1,300,300,118.42,65.66,1,174,300/300/300/300/300/300
1700000001.550000,1,300,300,118.41,43.42,0,174,300/300/300/300/300/300
1700000001.600000,1,300,300,118.41,44.07,0,174,300/300/300/300/300/300
1700000001.650000,1,300,300,118.42,69.88,1,198,300/300/300/300/300/300
1700000001.700000,1,300,300,118.41,47.41,0,198,300/300/300/300/300/300
1700000001.750000,1,300,300,118.40,44.11,0,198,300/300/300/300/300/300
1700000001.800000,1,300,300,118.40,76.21,1,331,300/300/300/300/300/300
1700000001.850000,1,300,300,118.42,44.13,0,331,300/300/300/300/300/300
1700000001.900000,1,300,300,118.41,47.78,0,331,300/300/300/300/300/300
1700000001.950000,1,300,300,118.41,87.21,1,182,300/300/300/300/300/300
1700000002.000000,1,300,300,118.40,42.30,0,182,300/300/300/300/300/300
1700000002.050000,1,300,300,118.40,43.52,0,182,300/300/300/300/300/300
1700000002.100000,1,300,300,118.41,69.88,1,163,300/300/300/300/300/300
1700000002.150000,1,300,300,118.40,47.81,0,163,300/300/300/300/300/300
1700000002.200000,1,300,300,118.42,47.87,0,163,300/300/300/300/300/300
1700000002.250000,1,300,300,118.41,70.66,1,261,300/300/300/300/300/300
1700000002.300000,1,300,300,118.41,45.13,0,261,300/300/300/300/300/300
1700000002.350000,1,300,300,118.40,43.86,0,261,300/300/300/300/300/300
1700000002.400000,1,300,300,118.42,74.20,1,219,300/300/300/300/300/300
1700000002.450000,1,300,300,118.42,42.96,0,219,300/300/300/300/300/300
1700000002.500000,1,300,300,118.41,43.21,0,219,300/300/300/300/300/300
1700000002.550000,1,300,300,118.41,73.34,1,201,300/300/300/300/300/300
1700000002.600000,1,300,300,118.41,43.63,0,201,300/300/300/300/300/300
1700000002.650000,1,300,300,118.41,44.73,0,201,300/300/300/300/300/300
1700000002.700000,1,300,300,118.41,79.21,1,298,300/300/300/300/300/300
1700000002.750000,1,300,300,118.41,43.39,0,298,300/300/300/300/300/300
1700000002.800000,1,300,300,118.41,42.83,0,298,300/300/300/300/300/300
1700000002.850000,1,300,300,118.40,75.06,1,209,300/300/300/300/300/300
1700000002.900000,1,300,300,118.41,44.35,0,209,300/300/300/300/300/300
1700000002.950000,1,300,300,118.42,45.29,0,209,300/300/300/300/300/300
1700000003.000000,1,300,300,118.41,71.91,1,249,300/300/300/300/300/300
1700000003.050000,1,300,300,118.41,47.02,0,249,300/300/300/300/300/300
1700000003.100000,1,300,300,118.42,45.17,0,249,300/300/300/300/300/300
1700000003.150000,1,300,300,118.42,74.92,1,250,300/300/300/300/300/300
1700000003.200000,1,300,300,118.41,43.39,0,250,300/300/300/300/300/300
1700000003.250000,1,300,300,118.41,41.83,0,250,300/300/300/300/300/300
1700000003.300000,1,300,300,118.41,73.27,1,270,300/300/300/300/300/300
1700000003.350000,1,300,300,118.41,42.25,0,270,300/300/300/300/300/300
1700000003.400000,1,300,300,118.41,43.94,0,270,300/300/300/300/300/300
1700000003.450000,1,300,300,118.41,105.48,1,270,300/300/300/300/300/300
1700000003.500000,1,300,300,118.41,44.77,0,270,300/300/300/300/300/300
1700000003.550000,1,300,300,118.42,42.05,0,270,300/300/300/300/300/300
1700000003.600000,1,300,300,118.40,78.24,1,391,300/300/300/300/300/300
1700000003.650000,1,300,300,118.41,43.24,0,391,300/300/300/300/300/300
1700000003.700000,1,300,300,118.41,43.12,0,391,300/300/300/300/300/300
1700000003.750000,1,300,300,118.40,90.13,1,380,300/300/300/300/300/300
1700000003.800000,1,300,300,118.41,44.44,0,380,300/300/300/300/300/300
1700000003.850000,1,300,300,118.41,42.66,0,380,300/300/300/300/300/300
1700000003.900000,1,300,300,118.41,92.96,1,316,300/300/300/300/300/300
1700000003.950000,1,300,300,118.41,44.10,0,316,300/300/300/300/300/300
1700000004.000000,1,300,300,118.40,43.68,0,316,300/300/300/300/300/300
1700000004.050000,1,300,300,118.40,86.92,1,271,300/300/300/300/300/300
1700000004.100000,1,300,300,118.42,42.62,0,271,300/300/300/300/300/300
1700000004.150000,1,300,300,118.41,41.81,0,271,300/300/300/300/300/300
1700000004.200000,1,300,300,118.42,104.76,1,353,300/300/300/300/300/300
1700000004.250000,1,300,300,118.42,43.46,0,353,300/300/300/300/300/300
1700000004.300000,1,300,300,118.41,41.56,0,353,300/300/300/300/300/300
1700000004.350000,1,300,300,118.41,83.64,1,238,300/300/300/300/300/300
1700000004.400000,1,300,300,118.41,44.18,0,238,300/300/300/300/300/300
1700000004.450000,1,300,300,118.42,44.17,0,238,300/300/300/300/300/300
1700000004.500000,1,300,300,118.41,77.27,1,238,300/300/300/300/300/300
1700000004.550000,1,300,300,118.42,43.13,0,238,300/300/300/300/300/300
1700000004.600000,1,300,300,118.40,41.83,0,238,300/300/300/300/300/300
1700000004.650000,1,300,300,118.41,94.86,1,393,300/300/300/300/300/300
1700000004.700000,1,300,300,118.41,43.62,0,393,300/300/300/300/300/300
1700000004.750000,1,300,300,118.42,44.14,0,393,300/300/300/300/300/300
1700000004.800000,1,300,300,118.41,87.86,1,300,300/300/300/300/300/300
1700000004.850000,1,300,300,118.41,42.30,0,300,300/300/300/300/300/300
1700000004.900000,1,300,300,118.42,45.53,0,300,300/300/300/300/300/300
1700000004.950000,1,300,300,118.40,89.82,1,242,300/300/300/300/300/300
1700000005.000000,1,300,300,118.42,46.89,0,242,300/300/300/300/300/300
1700000005.050000,1,300,300,118.40,43.85,0,242,300/300/300/300/300/300
1700000005.100000,1,300,300,118.41,94.72,1,371,300/300/300/300/300/300
1700000005.150000,1,300,300,118.41,43.37,0,371,300/300/300/300/300/300
1700000005.200000,1,300,300,118.42,44.14,0,371,300/300/300/300/300/300
1700000005.250000,1,300,300,118.42,97.24,1,380,300/300/300/300/300/300
1700000005.300000,1,300,300,118.40,45.07,0,380,300/300/300/300/300/300
1700000005.350000,1,300,300,118.41,42.78,0,380,300/300/300/300/300/300
1700000005.400000,1,300,300,118.41,106.75,1,373,300/300/300/300/300/300
1700000005.450000,1,300,300,118.41,44.89,0,373,300/300/300/300/300/300
1700000005.500000,1,300,300,118.40,42.65,0,373,300/300/300/300/300/300
1700000005.550000,1,300,300,118.42,113.24,1,342,300/300/300/300/300/300
1700000005.600000,1,300,300,118.41,44.75,0,342,300/300/300/300/300/300
1700000005.650000,1,300,300,118.41,44.75,0,342,300/300/300/300/300/300
1700000005.700000,1,300,300,118.41,104.00,1,259,300/300/300/300/300/300
1700000005.750000,1,300,300,118.40,44.53,0,259,300/300/300/300/300/300
1700000005.800000,1,300,300,118.40,44.22,0,259,300/300/300/300/300/300
1700000005.850000,1,300,300,118.41,95.14,1,234,300/300/300/300/300/300
1700000005.900000,1,300,300,118.42,46.07,0,234,300/300/300/300/300/300
1700000005.950000,1,300,300,118.40,43.30,0,234,300/300/300/300/300/300
1700000006.000000,1,300,300,118.41,123.87,1,234,300/300/300/300/300/300
1700000006.050000,1,300,300,118.41,42.58,0,234,300/300/300/300/300/300
1700000006.100000,1,300,300,118.41,42.99,0,234,300/300/300/300/300/300
1700000006.150000,1,300,300,118.42,116.66,1,362,300/300/300/300/300/300
1700000006.200000,1,300,300,118.41,44.34,0,362,300/300/300/300/300/300
1700000006.250000,1,300,300,118.39,52.46,0,362,300/300/300/300/300/300
1700000006.300000,1,300,300,118.40,124.23,1,183,300/300/300/300/300/249
1700000006.350000,1,300,300,118.42,51.31,0,183,300/300/300/300/300/266
1700000006.400000,1,300,300,118.57,52.56,0,183,300/300/300/289/300/300
1700000006.450000,1,300,300,118.84,113.84,1,442,300/300/300/300/300/300
1700000006.500000,1,300,300,119.23,57.20,0,442,300/300/300/300/300/300
1700000006.550000,1,300,300,119.70,65.28,0,442,300/300/300/300/300/217
1700000006.600000,1,300,300,120.05,180.86,1,708,300/300/300/300/300/166
1700000006.650000,1,300,300,104.44,56.10,0,708,300/300/300/300/232/149
1700000006.700000,1,300,300,106.19,54.13,0,708,300/300/300/300/239/267
1700000006.750000,1,300,300,108.77,122.48,1,779,300/300/300/300/256/300
1700000006.800000,1,300,300,110.99,56.14,0,779,300/300/300/300/270/300
1700000006.850000,1,300,300,112.72,55.89,0,779,300/300/300/300/300/300
1700000006.900000,1,300,300,114.07,134.74,1,982,300/300/300/300/292/300
1700000006.950000,1,300,300,115.22,55.35,0,982,300/300/300/300/300/150
1700000007.000000,1,300,300,116.27,51.02,0,982,300/300/300/300/300/300
1700000007.050000,1,300,300,117.27,164.38,1,1044,300/300/300/300/300/300
1700000007.100000,1,300,300,118.12,160.10,0,1044,300/300/300/300/300/300
1700000007.150000,1,300,300,118.83,137.23,0,1044,300/300/300/300/300/287
1700000007.200000,1,300,300,119.50,248.07,1,1182,300/300/300/300/300/300
1700000007.250000,1,300,300,120.06,144.42,0,1182,300/300/300/300/300/300
1700000007.300000,1,300,300,120.55,127.73,0,1182,300/300/300/300/300/300
1700000007.350000,1,300,300,120.98,186.23,1,1235,300/300/300/300/300/228
1700000007.400000,1,300,300,121.36,65.72,0,1235,300/300/300/300/300/300
1700000007.450000,1,300,300,121.74,93.76,0,1235,300/300/300/300/300/300
1700000007.500000,1,300,300,122.09,165.61,1,1292,300/300/300/300/300/292
1700000007.550000,1,300,300,122.39,60.97,0,1292,300/300/300/300/300/300
1700000007.600000,1,300,300,122.65,58.56,0,1292,300/300/300/300/300/297
1700000007.650000,1,300,300,122.86,165.76,1,1345,300/300/300/300/300/300
1700000007.700000,1,300,300,123.10,63.48,0,1345,300/300/300/300/300/300
1700000007.750000,1,300,300,123.36,53.54,0,1345,300/300/300/300/300/295
