t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.50,10.26,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.51,9.86,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.50,8.90,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.51,8.82,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.50,8.84,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.51,8.56,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.51,8.84,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.51,8.29,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.51,8.41,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.51,8.35,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.51,8.07,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.51,8.13,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.51,8.05,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.51,8.16,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.51,8.98,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.51,8.44,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.50,8.34,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.51,8.10,0,0,0/0/0/0/0/0
1700000000.900000,1,300,134,62.51,119.14,1,0,300/134/300/187/253/260
1700000000.950000,1,300,300,62.51,116.76,0,0,300/300/300/300/300/300
1700000001.000000,1,300,300,62.51,114.37,0,0,300/300/300/300/300/300
1700000001.050000,1,300,300,62.51,125.78,1,144,300/300/300/300/300/300
1700000001.100000,1,300,296,62.51,121.63,0,144,300/296/300/300/300/300
1700000001.150000,1,300,300,62.51,118.42,0,144,300/300/300/300/300/300
1700000001.200000,1,300,300,62.51,139.60,1,233,300/300/300/300/300/300
1700000001.250000,1,300,300,62.51,119.93,0,233,300/300/300/300/300/300
1700000001.300000,1,300,300,62.51,120.10,0,233,300/300/300/300/300/300
1700000001.350000,1,300,300,62.51,150.42,1,128,300/300/300/300/300/300
1700000001.400000,1,300,300,62.51,119.67,0,128,300/300/300/300/300/300
1700000001.450000,1,300,300,62.51,118.70,0,128,300/300/300/300/300/300
1700000001.500000,1,300,300,62.51,147.53,1,147,300/300/300/300/300/300
1700000001.550000,1,300,300,62.51,114.79,0,147,300/300/300/300/300/300
1700000001.600000,1,300,300,62.51,126.92,0,147,300/300/300/300/300/300
1700000001.650000,1,300,300,62.51,149.07,1,218,300/300/300/300/300/300
1700000001.700000,1,300,300,62.51,117.57,0,218,300/300/300/300/300/300
1700000001.750000,1,300,300,62.52,121.23,0,218,300/300/300/300/300/300
1700000001.800000,1,300,300,62.52,160.64,1,394,300/300/300/300/300/300
1700000001.850000,1,300,300,62.52,119.64,0,394,300/300/300/300/300/300
1700000001.900000,1,300,300,62.53,123.67,0,394,300/300/300/300/300/300
1700000001.950000,1,300,300,62.54,160.95,1,460,300/300/300/300/300/300
1700000002.000000,1,300,300,62.56,119.44,0,460,300/300/300/300/300/300
1700000002.050000,1,300,300,62.58,127.82,0,460,300/300/300/300/300/300
1700000002.100000,1,300,300,62.59,167.20,1,562,300/300/300/300/300/300
1700000002.150000,1,300,300,62.61,131.29,0,562,300/300/300/300/300/300
1700000002.200000,1,300,300,62.65,124.70,0,562,300/300/300/300/300/300
1700000002.250000,1,300,300,62.68,173.24,1,611,300/300/300/300/300/300
1700000002.300000,1,300,300,62.72,133.71,0,611,300/300/300/300/300/300
1700000002.350000,1,300,300,62.76,128.83,0,611,300/300/300/300/300/300
1700000002.400000,1,300,300,62.80,177.67,1,646,300/300/300/300/300/300
1700000002.450000,1,300,300,62.86,133.01,0,646,300/300/300/300/300/300
1700000002.500000,1,300,300,62.92,141.31,0,646,300/300/300/300/300/297
1700000002.550000,1,300,300,62.99,182.64,1,680,300/300/300/300/300/292
1700000002.600000,1,300,300,63.07,128.56,0,680,300/300/300/300/300/300
1700000002.650000,1,300,300,63.15,131.05,0,680,300/300/300/300/300/275
1700000002.700000,1,300,300,63.24,186.42,1,754,300/300/300/300/300/281
1700000002.750000,1,300,300,63.33,139.25,0,754,300/300/300/300/300/276
1700000002.800000,1,300,300,63.44,131.59,0,754,300/300/300/300/300/264
1700000002.850000,1,300,300,63.55,196.77,1,800,300/300/300/300/300/251
1700000002.900000,1,300,294,63.68,124.39,0,800,300/294/300/300/300/259
1700000002.950000,1,300,300,63.81,128.50,0,800,300/300/300/300/300/252
1700000003.000000,1,300,300,63.95,203.99,1,842,300/300/300/300/300/300
1700000003.050000,1,300,300,64.10,139.03,0,842,300/300/300/300/300/300
1700000003.100000,1,300,300,64.26,129.72,0,842,300/300/300/300/300/300
1700000003.150000,1,300,300,64.43,201.32,1,912,300/300/300/300/300/300
1700000003.200000,1,300,300,64.62,125.36,0,912,300/300/300/300/300/300
1700000003.250000,1,300,300,64.81,128.90,0,912,300/300/300/300/300/300
1700000003.300000,1,300,300,65.00,209.76,1,958,300/300/300/300/300/300
1700000003.350000,1,300,300,65.20,131.40,0,958,300/300/300/300/300/300
1700000003.400000,1,300,300,65.39,124.71,0,958,300/300/300/300/300/300
1700000003.450000,1,300,300,65.60,206.15,1,1002,300/300/300/300/300/300
1700000003.500000,1,300,300,65.82,137.32,0,1002,300/300/300/300/300/300
1700000003.550000,1,300,300,66.04,125.26,0,1002,300/300/300/300/300/300
1700000003.600000,1,300,300,66.28,223.30,1,1046,300/300/300/300/300/300
1700000003.650000,1,300,300,66.52,135.82,0,1046,300/300/300/300/300/300
