t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1700000000.000000,0,0,0,62.50,14.91,0,0,0/0/0/0/0/0
1700000000.050000,0,0,0,62.51,11.69,0,0,0/0/0/0/0/0
1700000000.100000,0,0,0,62.51,11.54,0,0,0/0/0/0/0/0
1700000000.150000,0,0,0,62.51,13.95,0,0,0/0/0/0/0/0
1700000000.200000,0,0,0,62.51,9.81,0,0,0/0/0/0/0/0
1700000000.250000,0,0,0,62.50,11.97,0,0,0/0/0/0/0/0
1700000000.300000,0,0,0,62.51,12.94,0,0,0/0/0/0/0/0
1700000000.350000,0,0,0,62.51,13.23,0,0,0/0/0/0/0/0
1700000000.400000,0,0,0,62.51,14.15,0,0,0/0/0/0/0/0
1700000000.450000,0,0,0,62.51,11.48,0,0,0/0/0/0/0/0
1700000000.500000,0,0,0,62.51,11.35,0,0,0/0/0/0/0/0
1700000000.550000,0,0,0,62.51,15.38,0,0,0/0/0/0/0/0
1700000000.600000,0,0,0,62.51,17.43,0,0,0/0/0/0/0/0
1700000000.650000,0,0,0,62.51,13.27,0,0,0/0/0/0/0/0
1700000000.700000,0,0,0,62.51,13.43,0,0,0/0/0/0/0/0
1700000000.750000,0,0,0,62.51,9.69,0,0,0/0/0/0/0/0
1700000000.800000,0,0,0,62.51,12.31,0,0,0/0/0/0/0/0
1700000000.850000,0,0,0,62.51,19.88,0,0,0/0/0/0/0/0
1700000000.900000,1,300,145,62.50,143.65,1,0,300/145/300/177/250/262
1700000000.950000,1,300,300,62.51,174.10,1,161,300/300/300/300/300/300
1700000001.000000,1,300,300,62.51,198.98,1,250,300/300/300/300/300/300
1700000001.050000,1,300,300,62.51,176.29,1,178,300/300/300/300/300/300
1700000001.100000,1,300,300,62.51,185.30,1,222,300/300/300/300/300/300
1700000001.150000,1,300,300,62.51,260.03,1,281,300/300/300/300/300/300
1700000001.200000,1,300,300,62.51,227.02,1,285,300/300/300/300/300/300
1700000001.250000,1,300,300,62.51,201.47,1,281,300/300/300/300/300/300
1700000001.300000,1,300,300,62.51,200.18,1,169,300/300/300/300/300/300
1700000001.350000,1,300,300,62.51,218.52,1,188,300/300/300/300/300/300
1700000001.400000,1,300,300,62.51,197.75,1,208,300/300/300/300/300/300
1700000001.450000,1,300,300,62.51,211.38,1,215,300/300/300/300/300/300
1700000001.500000,1,300,300,62.51,230.13,1,221,300/300/300/300/300/300
1700000001.550000,1,300,300,62.51,222.72,1,278,300/300/300/300/300/300
1700000001.600000,1,300,300,62.51,247.35,1,202,300/300/300/300/300/300
1700000001.650000,1,300,300,62.51,244.09,1,227,300/300/300/300/300/300
1700000001.700000,1,300,300,62.51,249.87,1,246,300/300/300/300/300/300
1700000001.750000,1,300,300,62.51,247.98,1,298,300/300/300/300/300/300
1700000001.800000,1,300,300,62.52,254.45,1,356,300/300/300/300/300/300
1700000001.850000,1,300,300,62.52,264.79,1,426,300/300/300/300/300/300
1700000001.900000,1,300,300,62.53,283.87,1,520,300/300/300/300/300/300
1700000001.950000,1,300,300,62.55,268.98,1,563,300/300/300/300/300/300
1700000002.000000,1,300,300,62.55,334.64,1,616,300/300/300/300/300/300
1700000002.050000,1,300,300,62.57,443.11,1,686,300/300/300/300/300/300
1700000002.100000,1,300,300,62.59,315.78,1,722,300/300/300/300/300/300
1700000002.150000,1,300,300,62.62,366.08,1,756,300/300/300/300/300/300
1700000002.200000,1,300,300,62.64,338.58,1,785,300/300/300/300/300/300
1700000002.250000,1,300,300,62.68,363.01,1,823,300/300/300/300/300/300
1700000002.300000,1,300,300,62.71,380.50,1,854,300/300/300/300/300/300
1700000002.350000,1,300,300,62.76,383.56,1,885,300/300/300/300/296/300
1700000002.400000,1,300,300,62.81,403.68,1,925,300/300/300/300/300/300
1700000002.450000,1,300,300,62.86,426.09,1,965,300/300/300/300/300/300
1700000002.500000,1,300,300,62.92,502.78,1,990,300/300/300/300/300/300
1700000002.550000,1,300,300,62.99,416.26,1,1012,300/300/300/300/300/297
1700000002.600000,1,300,300,63.07,426.74,1,1031,300/300/300/300/300/286
1700000002.650000,1,300,300,63.15,495.21,1,1073,300/300/300/300/300/274
1700000002.700000,1,300,300,63.24,455.04,1,1088,300/300/300/300/300/281
1700000002.750000,1,300,300,63.33,442.74,1,1123,300/300/300/300/300/270
1700000002.800000,1,300,300,63.44,487.85,1,1165,300/300/300/300/300/255
1700000002.850000,1,300,300,63.55,567.34,1,1203,300/300/300/300/300/259
1700000002.900000,1,300,300,63.67,183.47,0,1203,300/300/300/300/300/264
1700000002.950000,1,300,300,63.81,163.47,0,1203,300/300/300/300/300/257
1700000003.000000,1,300,300,63.96,483.71,1,1213,300/300/300/300/300/300
1700000003.050000,1,300,300,64.10,170.27,0,1213,300/300/300/300/300/300
1700000003.100000,1,300,300,64.27,187.84,0,1213,300/300/300/300/300/300
1700000003.150000,1,300,300,64.43,600.69,1,1279,300/300/300/300/300/300
1700000003.200000,1,300,300,64.62,179.00,0,1279,300/300/300/300/300/300
1700000003.250000,1,300,300,64.80,165.56,0,1279,300/300/300/300/300/300
1700000003.300000,1,300,300,65.00,652.63,1,1289,300/300/300/300/300/300
1700000003.350000,1,300,300,65.19,175.24,0,1289,300/300/300/300/300/300
1700000003.400000,1,300,300,65.40,169.84,0,1289,300/300/300/300/300/300
1700000003.450000,1,300,300,65.60,626.19,1,1329,300/300/300/300/300/300
1700000003.500000,1,300,300,65.82,169.03,0,1329,300/300/300/300/300/300
1700000003.550000,1,300,300,66.04,176.82,0,1329,300/300/300/300/300/300
1700000003.600000,1,300,300,66.28,522.91,1,1352,300/300/300/300/300/300
1700000003.650000,1,300,300,66.52,168.08,0,1352,300/300/300/300/300/300
1700000003.700000,1,300,300,66.77,167.64,0,1352,300/300/300/300/300/300
1700000003.750000,1,300,300,67.03,529.12,1,1381,300/300/300/300/300/300
1700000003.800000,1,300,300,67.30,188.83,0,1381,300/300/300/300/300/300
1700000003.850000,1,300,300,67.57,184.40,0,1381,300/300/300/300/300/300
1700000003.900000,1,300,300,67.84,552.88,1,1419,300/300/300/300/300/300
1700000003.950000,1,300,300,68.11,182.94,0,1419,300/300/300/300/300/300
1700000004.000000,1,300,300,68.39,177.76,0,1419,300/300/300/300/300/300
1700000004.050000,1,300,300,68.65,495.94,1,1451,300/300/300/300/300/300
1700000004.100000,1,300,300,68.92,186.59,0,1451,300/300/300/300/300/300
1700000004.150000,1,300,300,69.19,170.04,0,1451,300/300/300/300/300/300
1700000004.200000,1,300,300,69.44,586.73,1,1470,300/300/300/300/300/300
1700000004.250000,1,300,300,69.69,246.68,0,1470,300/300/300/300/300/300
1700000004.300000,1,300,300,69.93,229.75,0,1470,300/300/300/300/300/300
1700000004.350000,1,300,300,70.16,565.87,1,1518,300/300/300/300/300/300
1700000004.400000,1,300,300,70.45,182.19,0,1518,300/300/300/300/300/300
1700000004.450000,1,300,300,70.78,173.26,0,1518,300/300/300/300/300/300
1700000004.500000,1,300,300,71.14,369.40,1,1553,300/300/300/300/300/300
1700000004.550000,1,300,300,71.51,178.32,0,1553,300/300/300/300/300/300
1700000004.600000,1,300,300,71.90,154.03,0,1553,300/300/300/300/300/300
1700000004.650000,1,300,300,72.31,343.29,1,1589,300/300/300/300/300/300
1700000004.700000,1,300,300,72.73,164.20,0,1589,300/300/300/300/300/300
1700000004.750000,1,300,300,73.18,174.47,0,1589,300/300/300/300/300/300
1700000004.800000,1,300,300,73.62,430.86,1,1608,300/300/300/300/300/300
1700000004.850000,1,300,300,74.07,160.73,0,1608,300/300/300/300/300/300
1700000004.900000,1,300,300,74.54,163.29,0,1608,300/300/300/300/300/300
1700000004.950000,1,300,300,75.02,351.85,1,1649,300/300/300/300/300/300
1700000005.000000,1,300,300,75.54,160.22,0,1649,300/300/300/300/300/300
1700000005.050000,1,300,300,76.07,177.97,0,1649,300/300/300/300/300/300
1700000005.100000,1,300,300,76.64,344.54,1,1688,300/300/300/300/300/300
1700000005.150000,1,300,300,77.24,179.16,0,1688,300/300/300/300/300/300
1700000005.200000,1,300,300,77.87,189.96,0,1688,300/300/300/300/300/300
1700000005.250000,1,300,300,78.53,408.88,1,1693,300/300/300/300/300/300
1700000005.300000,1,300,300,79.21,163.94,0,1693,300/300/266/300/300/300
1700000005.350000,1,300,300,79.94,193.63,0,1693,300/300/300/300/300/300
1700000005.400000,1,300,300,80.71,383.71,1,1757,300/300/300/300/300/300
1700000005.450000,1,300,300,81.51,185.42,0,1757,300/300/300/300/300/300
1700000005.500000,1,300,300,82.37,167.04,0,1757,300/300/300/300/300/300
1700000005.550000,1,300,300,83.23,322.52,1,1798,300/300/300/300/300/300
1700000005.600000,1,300,300,84.08,170.69,0,1798,300/300/300/300/300/300
1700000005.650000,1,300,300,84.92,182.97,0,1798,300/300/300/300/300/300
1700000005.700000,1,300,300,85.76,406.61,1,1826,300/300/300/300/300/300
1700000005.750000,1,300,300,86.60,202.67,0,1826,300/300/300/300/300/300
1700000005.800000,1,300,300,87.44,224.01,0,1826,300/300/300/300/300/300
1700000005.850000,1,300,300,88.29,520.53,1,1866,300/300/300/300/300/300
1700000005.900000,1,300,300,89.11,180.46,0,1866,300/300/300/300/300/300
1700000005.950000,1,300,300,89.92,174.10,0,1866,300/300/300/300/300/300
1700000006.000000,1,300,300,90.65,408.74,1,1894,300/300/300/300/300/300
1700000006.050000,1,300,300,91.38,181.28,0,1894,300/300/300/300/300/300
1700000006.100000,1,300,300,92.22,199.85,0,1894,300/300/300/300/300/300
1700000006.150000,1,261,300,93.04,487.33,1,1896,261/300/300/300/300/300
1700000006.200000,1,256,300,93.56,188.80,0,1896,256/300/300/300/300/300
1700000006.250000,1,249,300,92.69,176.34,0,1896,249/300/203/265/300/300
1700000006.300000,1,179,300,81.78,416.42,1,1877,179/300/300/300/235/279
1700000006.350000,1,300,300,52.60,174.22,0,1877,300/300/300/300/300/300
1700000006.400000,1,300,300,73.75,210.37,0,1877,300/300/300/300/300/263
1700000006.450000,1,300,300,73.58,420.66,1,1930,300/300/300/300/300/190
1700000006.500000,1,300,300,73.41,187.63,0,1930,300/300/300/300/300/300
1700000006.550000,1,300,300,73.22,174.59,0,1930,300/300/300/300/300/300
1700000006.600000,1,300,300,73.04,324.33,1,2072,300/300/300/300/300/300
1700000006.650000,1,300,300,72.83,167.25,0,2072,300/300/300/300/300/300
1700000006.700000,1,300,300,72.63,183.89,0,2072,300/300/300/300/300/300
1700000006.750000,1,300,300,72.41,485.92,1,2157,300/300/300/300/300/300
1700000006.800000,1,300,300,72.19,177.19,0,2157,300/300/300/300/300/300
1700000006.850000,1,300,300,46.48,197.90,0,2157,300/300/300/258/300/300
1700000006.900000,1,140,300,67.79,445.22,1,2106,140/300/300/300/291/300
1700000006.950000,1,300,300,88.78,182.05,0,2106,300/300/252/262/282/297
1700000007.000000,1,233,258,91.88,182.95,0,2106,233/258/300/300/300/264
1700000007.050000,1,242,198,91.43,372.91,1,2032,242/198/300/300/300/300
1700000007.100000,1,227,300,90.48,269.18,0,2032,227/300/300/300/300/300
1700000007.150000,1,300,300,89.35,254.32,0,2032,300/300/300/300/300/300
1700000007.200000,1,300,300,88.20,471.91,1,2060,300/300/300/300/300/300
1700000007.250000,1,300,300,87.13,219.68,0,2060,300/300/300/300/300/300
1700000007.300000,1,300,300,86.19,196.93,0,2060,300/300/300/300/300/300
1700000007.350000,1,300,300,85.22,522.98,1,2100,300/300/300/300/300/300
1700000007.400000,1,300,300,84.22,245.87,0,2100,300/300/300/300/296/300
1700000007.450000,1,300,300,83.22,230.29,0,2100,300/300/300/296/300/300
1700000007.500000,1,300,300,82.27,452.65,1,2121,300/300/300/288/300/300
1700000007.550000,1,300,300,81.36,250.56,0,2121,300/300/300/286/300/300
1700000007.600000,1,300,300,80.50,249.95,0,2121,300/300/300/300/300/300
1700000007.650000,1,300,300,79.68,554.91,1,2126,300/300/300/288/300/300
1700000007.700000,1,300,300,78.90,205.45,0,2126,300/300/300/300/300/300
1700000007.750000,1,300,300,78.15,212.54,0,2126,300/300/300/293/300/300
1700000007.800000,1,300,300,77.43,379.08,1,2127,300/300/300/300/300/300
1700000007.850000,1,300,300,76.72,194.24,0,2127,300/300/300/300/300/300
1700000007.900000,1,300,300,76.04,216.87,0,2127,300/300/300/300/300/300
1700000007.950000,1,300,300,75.38,380.55,1,2138,300/300/300/291/300/300
1700000008.000000,1,300,300,74.75,190.43,0,2138,300/300/300/300/300/300
1700000008.050000,1,300,300,74.15,193.12,0,2138,300/300/300/300/300/300
1700000008.100000,1,300,300,73.58,392.31,1,2131,300/300/300/300/300/282
1700000008.150000,1,300,300,73.03,191.32,0,2131,300/300/300/293/300/300
1700000008.200000,1,300,300,72.50,182.53,0,2131,300/300/300/290/300/300
