t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1520530308.199448,0,0,0,32.81,1.56,0,0,0/0
1520530308.249449,0,0,0,32.97,0.64,0,0,0/0
1520530308.299451,0,0,0,32.88,0.68,0,0,0/0
1520530308.349503,0,0,0,34.46,0.65,0,0,0/0
1520530308.399505,0,0,0,34.83,0.65,0,0,0/0
1520530308.449505,0,0,0,34.94,0.64,0,0,0/0
1520530308.499506,0,0,0,34.57,0.66,0,0,0/0
1520530308.549508,0,0,0,34.72,0.66,0,0,0/0
1520530308.599509,0,0,0,34.80,0.67,0,0,0/0
1520530308.649555,0,0,0,34.70,0.75,0,0,0/0
1520530308.699512,0,0,0,34.58,0.89,0,0,0/0
1520530308.749559,0,0,0,36.16,0.81,0,0,0/0
1520530308.799560,0,0,0,36.06,0.73,0,0,0/0
1520530308.849562,0,0,0,36.08,0.65,0,0,0/0
1520530308.899563,0,0,0,36.16,0.64,0,0,0/0
1520530308.949565,0,0,0,36.42,0.63,0,0,0/0
1520530308.999567,0,0,0,36.31,0.70,0,0,0/0
1520530309.049568,0,0,0,36.56,0.85,0,0,0/0
1520530309.099570,0,0,0,36.48,0.63,0,0,0/0
1520530309.149567,0,0,0,36.26,0.67,0,0,0/0
1520530309.199583,0,0,0,36.84,0.84,0,0,0/0
1520530309.249583,0,0,0,36.56,0.77,0,0,0/0
1520530309.299586,0,0,0,36.86,0.83,0,0,0/0
1520530309.349586,0,0,0,36.84,0.67,0,0,0/0
1520530309.399589,0,0,0,36.56,0.69,0,0,0/0
1520530309.449590,0,0,0,36.54,0.67,0,0,0/0
1520530309.499591,0,0,0,36.69,0.71,0,0,0/0
1520530309.549594,0,0,0,36.90,0.68,0,0,0/0
1520530309.599597,0,0,0,36.75,0.72,0,0,0/0
1520530309.649599,0,0,0,37.06,0.76,0,0,0/0
1520530309.699600,0,0,0,37.13,0.73,0,0,0/0
1520530309.749602,0,0,0,37.06,0.65,0,0,0/0
1520530309.799603,0,0,0,36.94,0.72,0,0,0/0
1520530309.849605,0,0,0,37.12,0.86,0,0,0/0
1520530309.899606,0,0,0,37.19,0.79,0,0,0/0
1520530309.949608,0,0,0,36.80,0.66,0,0,0/0
1520530309.999622,0,0,0,37.51,0.71,0,0,0/0
1520530310.049623,0,0,0,37.44,0.79,0,0,0/0
1520530310.099625,0,0,0,37.51,0.75,0,0,0/0
1520530310.149627,0,0,0,37.62,0.66,0,0,0/0
1520530310.199628,0,0,0,37.76,0.68,0,0,0/0
1520530310.249729,0,0,0,37.48,0.70,0,0,0/0
1520530310.299631,0,0,0,37.60,0.65,0,0,0/0
1520530310.349633,0,0,0,37.51,0.77,0,0,0/0
1520530310.399625,0,0,0,37.22,0.67,0,0,0/0
1520530310.449627,0,0,0,37.11,0.67,0,0,0/0
1520530310.499628,0,0,0,37.30,0.74,0,0,0/0
1520530310.549630,0,0,0,37.27,0.67,0,0,0/0
1520530310.599632,0,0,0,37.29,0.73,0,0,0/0
1520530310.649633,0,0,0,37.27,0.67,0,0,0/0
1520530310.699635,0,0,0,37.18,0.81,0,0,0/0
1520530310.749636,0,0,0,37.14,0.67,0,0,0/0
1520530310.799651,0,0,0,37.75,0.71,0,0,0/0
1520530310.849652,0,0,0,37.79,0.65,0,0,0/0
1520530310.899654,0,0,0,38.00,0.79,0,0,0/0
1520530310.949655,0,0,0,37.84,0.65,0,0,0/0
1520530310.999657,0,0,0,37.81,0.68,0,0,0/0
1520530311.049659,0,0,0,37.88,0.65,0,0,0/0
1520530311.099660,1,115,99,37.72,15.03,1,99,115/99
1520530311.149662,1,220,172,38.00,11.92,0,99,220/172
1520530311.199672,1,225,177,38.23,12.57,0,99,225/177
1520530311.249673,1,219,175,38.21,27.63,1,185,219/175
1520530311.299675,1,216,175,38.06,10.92,0,185,216/175
1520530311.349677,1,215,172,38.18,10.29,0,185,215/172
1520530311.399678,1,215,176,38.19,27.82,1,220,215/176
1520530311.449679,1,216,175,38.15,12.81,0,220,216/175
1520530311.499684,1,227,178,38.18,12.65,0,220,227/178
1520530311.549683,1,228,179,38.12,33.63,1,234,228/179
1520530311.599684,1,226,176,38.31,12.85,0,234,226/176
1520530311.649719,1,227,177,39.47,10.05,0,234,227/177
1520530311.699720,1,226,180,39.30,60.48,1,249,226/180
1520530311.749722,1,226,179,39.57,14.72,0,249,226/179
1520530311.799723,1,227,180,39.43,21.93,0,249,227/180
1520530311.849725,1,227,177,39.32,37.66,1,243,227/177
1520530311.899726,1,223,178,39.37,12.78,0,243,223/178
1520530311.949728,1,227,182,39.37,15.15,0,243,227/182
1520530311.999729,1,230,183,39.33,61.26,1,251,230/183
1520530312.049721,1,227,180,38.87,15.71,0,251,227/180
1520530312.099721,1,229,184,39.11,10.92,0,251,229/184
1520530312.149723,1,232,182,38.97,41.44,1,269,232/182
1520530312.199726,1,226,178,39.22,13.59,0,269,226/178
1520530312.249727,1,252,194,39.22,13.56,0,269,252/194
1520530312.299728,1,257,200,38.95,73.73,1,292,257/200
1520530312.349730,1,260,202,38.93,13.72,0,292,260/202
1520530312.399731,1,260,203,38.95,15.10,0,292,260/203
1520530312.449712,1,260,200,38.31,71.83,1,301,260/200
1520530312.499714,1,257,202,38.34,17.30,0,301,257/202
1520530312.549715,1,258,202,38.47,14.50,0,301,258/202
1520530312.599717,1,258,200,38.40,103.14,1,311,258/200
1520530312.649719,1,254,197,38.30,12.96,0,311,254/197
1520530312.699720,1,259,206,38.24,12.64,0,311,259/206
1520530312.749722,1,258,202,38.27,88.68,1,321,258/202
1520530312.799724,1,258,201,38.44,12.55,0,321,258/201
1520530312.849720,1,259,205,38.28,11.46,0,321,259/205
1520530312.899721,1,258,202,38.35,114.52,1,338,258/202
1520530312.949723,1,258,201,38.23,12.85,0,338,258/201
1520530312.999725,1,260,204,38.41,13.01,0,338,260/204
1520530313.049726,1,260,204,38.29,67.53,1,353,260/204
1520530313.099727,1,256,203,38.34,15.79,0,353,256/203
1520530313.149729,1,255,203,38.34,14.03,0,353,255/203
1520530313.199730,1,252,199,38.21,117.57,1,356,252/199
1520530313.249736,1,248,204,38.34,11.25,0,356,248/204
1520530313.299738,1,245,199,38.64,11.62,0,356,245/199
1520530313.349739,1,245,199,38.59,133.19,1,359,245/199
1520530313.399790,1,244,196,38.60,12.78,0,359,244/196
1520530313.449743,1,243,198,38.43,11.79,0,359,243/198
1520530313.499744,1,245,198,38.29,165.00,1,360,245/198
1520530313.549746,1,246,198,38.47,14.71,0,360,246/198
1520530313.599747,1,249,198,38.46,22.03,0,360,249/198
1520530313.649745,1,251,203,38.30,146.95,1,363,251/203
1520530313.699746,1,254,203,38.16,14.70,0,363,254/203
1520530313.749748,1,256,209,38.33,12.73,0,363,256/209
1520530313.799750,1,257,206,38.35,169.07,1,370,257/206
1520530313.849751,1,257,206,38.56,13.25,0,370,257/206
1520530313.899753,1,257,203,38.43,12.94,0,370,257/203
1520530313.949754,1,255,203,38.19,175.41,1,388,255/203
1520530313.999756,1,259,206,38.23,15.28,0,388,259/206
1520530314.049757,1,258,205,38.63,18.59,0,388,258/205
1520530314.099763,1,258,208,38.57,139.04,1,404,258/208
1520530314.149765,1,256,206,38.61,13.74,0,404,256/206
1520530314.199766,1,252,199,38.71,12.04,0,404,252/199
1520530314.249768,1,249,198,38.92,132.17,1,417,249/198
1520530314.299769,1,250,204,38.97,12.82,0,417,250/204
1520530314.349771,1,252,204,38.77,12.49,0,417,252/204
1520530314.399773,1,255,207,38.90,185.79,1,435,255/207
1520530314.449774,1,251,206,38.84,16.19,0,435,251/206
1520530314.499774,1,239,198,39.13,11.84,0,435,239/198
1520530314.549776,1,247,204,38.97,147.77,1,448,247/204
1520530314.599777,1,242,201,39.12,13.76,0,448,242/201
1520530314.649779,1,244,205,39.45,11.89,0,448,244/205
1520530314.699780,1,238,200,39.77,156.88,1,461,238/200
1520530314.749782,1,233,198,39.80,11.33,0,461,233/198
1520530314.799787,1,228,192,40.00,12.81,0,461,228/192
1520530314.849784,1,238,200,40.42,238.58,1,485,238/200
1520530314.899810,1,282,241,41.22,13.63,0,485,282/241
1520530314.949812,1,262,235,41.66,14.62,0,485,262/235
1520530314.999919,1,246,221,41.68,183.04,1,527,246/221
1520530315.049815,1,245,221,41.70,12.34,0,527,245/221
1520530315.099817,1,275,238,41.89,15.02,0,527,275/238
1520530315.149818,1,259,226,41.99,364.86,1,551,259/226
1520530315.199819,1,272,234,42.16,12.61,0,551,272/234
1520530315.249821,1,276,244,42.37,11.78,0,551,276/244
1520530315.299635,1,222,189,35.04,146.73,1,541,222/189
1520530315.349637,1,239,203,34.89,14.70,0,541,239/203
1520530315.399639,1,232,194,34.76,14.51,0,541,232/194
1520530315.449640,1,239,206,34.76,72.32,1,515,239/206
1520530315.499642,1,241,208,34.61,13.53,0,515,241/208
1520530315.549643,1,300,263,34.78,13.84,0,515,300/263
1520530315.599645,1,287,255,34.53,79.59,1,562,287/255
1520530315.649646,1,279,246,34.36,18.82,0,562,279/246
1520530315.699637,1,294,256,33.55,18.23,0,562,294/256
1520530315.749639,1,285,255,33.52,88.47,1,554,285/255
1520530315.799640,1,276,246,33.62,14.13,0,554,276/246
1520530315.849642,1,271,245,33.53,12.91,0,554,271/245
1520530315.899643,1,269,231,33.29,95.79,1,556,269/231
1520530315.949645,1,274,219,32.86,13.22,0,556,274/219
1520530315.999647,1,270,206,32.87,14.39,0,556,270/206
1520530316.049648,1,267,209,32.67,94.50,1,559,267/209
1520530316.100221,1,189,161,53.46,15.30,0,559,189/161
1520530316.150223,1,194,169,53.66,12.44,0,559,194/169
1520530316.200224,1,187,168,54.00,97.53,1,583,187/168
1520530316.250226,1,184,168,54.22,11.80,0,583,184/168
1520530316.300227,1,197,173,54.27,10.96,0,583,197/173
1520530316.350229,1,194,174,54.59,91.60,1,591,194/174
1520530316.400230,1,199,172,54.29,13.49,0,591,199/172
1520530316.450231,1,198,175,54.30,12.34,0,591,198/175
1520530316.500233,1,300,252,54.43,94.21,1,668,300/252
1520530316.550276,1,270,241,55.71,13.71,0,668,270/241
1520530316.600278,1,266,239,55.64,14.09,0,668,266/239
1520530316.650280,1,276,241,55.65,71.37,1,681,276/241
1520530316.700281,1,300,255,55.63,13.72,0,681,300/255
1520530316.750283,1,291,250,55.50,16.87,0,681,291/250
1520530316.800284,1,281,243,55.53,103.05,1,698,281/243
1520530316.850286,1,281,247,55.31,14.23,0,698,281/247
1520530316.900287,1,284,250,55.56,15.64,0,698,284/250
1520530316.949773,1,179,163,37.26,110.63,1,701,179/163
1520530316.999775,1,190,166,37.40,10.42,0,701,190/166
1520530317.049776,1,192,172,37.18,10.55,0,701,192/172
1520530317.099778,1,200,174,37.26,107.44,1,710,200/174
1520530317.149779,1,196,171,37.34,11.76,0,710,196/171
1520530317.199781,1,207,174,37.32,11.19,0,710,207/174
1520530317.249782,1,206,168,37.36,109.77,1,717,206/168
1520530317.299784,1,200,161,37.31,11.73,0,717,200/161
1520530317.349743,1,197,156,35.72,12.74,0,717,197/156
1520530317.399745,1,195,156,35.72,112.36,1,731,195/156
1520530317.449748,1,193,151,35.60,20.43,0,731,193/151
1520530317.499748,1,186,149,35.65,12.71,0,731,186/149
1520530317.549752,1,187,148,35.41,149.00,1,746,187/148
1520530317.599752,1,198,149,35.16,12.00,0,746,198/149
1520530317.649754,1,202,147,35.17,14.69,0,746,202/147
1520530317.699755,1,190,144,34.48,143.21,1,756,190/144
1520530317.750237,1,212,142,50.63,13.44,0,756,212/142
1520530317.800239,1,223,153,49.92,11.99,0,756,223/153
1520530317.850240,1,222,151,49.24,141.13,1,794,222/151
