t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1520530308.199448,0,0,0,32.81,1.66,0,0,0/0
1520530308.249449,0,0,0,32.97,0.70,0,0,0/0
1520530308.299451,0,0,0,32.88,0.72,0,0,0/0
1520530308.349503,0,0,0,34.46,0.79,0,0,0/0
1520530308.399505,0,0,0,34.83,0.83,0,0,0/0
1520530308.449505,0,0,0,34.94,0.73,0,0,0/0
1520530308.499506,0,0,0,34.57,0.73,0,0,0/0
1520530308.549508,0,0,0,34.72,0.68,0,0,0/0
1520530308.599509,0,0,0,34.80,0.67,0,0,0/0
1520530308.649555,0,0,0,34.70,0.66,0,0,0/0
1520530308.699512,0,0,0,34.58,0.92,0,0,0/0
1520530308.749559,0,0,0,36.16,0.72,0,0,0/0
1520530308.799560,0,0,0,36.06,0.73,0,0,0/0
1520530308.849562,0,0,0,36.08,0.69,0,0,0/0
1520530308.899563,0,0,0,36.16,0.67,0,0,0/0
1520530308.949565,0,0,0,36.42,0.65,0,0,0/0
1520530308.999567,0,0,0,36.31,0.69,0,0,0/0
1520530309.049568,0,0,0,36.56,1.25,0,0,0/0
1520530309.099570,0,0,0,36.48,0.94,0,0,0/0
1520530309.149567,0,0,0,36.26,1.08,0,0,0/0
1520530309.199583,0,0,0,36.84,1.04,0,0,0/0
1520530309.249583,0,0,0,36.56,1.00,0,0,0/0
1520530309.299586,0,0,0,36.86,0.73,0,0,0/0
1520530309.349586,0,118,100,36.84,120.27,0,0,118/100
1520530309.399589,0,156,125,36.56,76.57,0,0,156/125
1520530309.449590,0,159,128,36.54,17.64,0,0,159/128
1520530309.499591,0,159,128,36.69,11.00,0,0,159/128
1520530309.549594,0,159,128,36.90,16.90,0,0,159/128
1520530309.599597,0,162,125,36.75,10.28,0,0,162/125
1520530309.649599,0,176,136,37.06,15.24,0,0,176/136
1520530309.699600,0,189,146,37.13,10.70,0,0,189/146
1520530309.749602,0,199,158,37.06,21.16,0,0,199/158
1520530309.799603,0,202,163,36.94,13.55,0,0,202/163
1520530309.849605,0,232,185,37.12,15.63,0,0,232/185
1520530309.899606,0,230,183,37.19,12.20,0,0,230/183
1520530309.949608,0,230,186,36.80,20.93,0,0,230/186
1520530309.999622,0,235,184,37.51,14.85,0,0,235/184
1520530310.049623,0,241,192,37.44,18.96,0,0,241/192
1520530310.099625,0,244,192,37.51,11.28,0,0,244/192
1520530310.149627,0,246,194,37.62,17.17,0,0,246/194
1520530310.199628,0,245,193,37.76,10.92,0,0,245/193
1520530310.249729,0,247,195,37.48,20.69,0,0,247/195
1520530310.299631,0,246,197,37.60,14.94,0,0,246/197
1520530310.349633,0,250,200,37.51,17.62,0,0,250/200
1520530310.399625,0,254,202,37.22,15.45,0,0,254/202
1520530310.449627,0,255,205,37.11,17.84,0,0,255/205
1520530310.499628,0,256,200,37.30,13.50,0,0,256/200
1520530310.549630,0,254,201,37.27,27.12,0,0,254/201
1520530310.599632,0,255,204,37.29,10.95,0,0,255/204
1520530310.649633,0,255,203,37.27,16.26,0,0,255/203
1520530310.699635,0,251,203,37.18,12.14,0,0,251/203
1520530310.749636,0,261,204,37.14,22.11,0,0,261/204
1520530310.799651,0,260,207,37.75,18.15,0,0,260/207
1520530310.849652,1,261,208,37.79,56.54,1,204,261/208
1520530310.899654,1,260,207,38.00,41.78,1,224,260/207
1520530310.949655,1,261,209,37.84,54.07,1,247,261/209
1520530310.999657,1,260,205,37.81,35.99,1,249,260/205
1520530311.049659,1,262,206,37.88,42.68,1,257,262/206
1520530311.099660,1,262,206,37.72,44.76,1,262,262/206
1520530311.149662,1,263,205,38.00,73.19,1,269,263/205
1520530311.199672,1,262,208,38.23,61.35,1,274,262/208
1520530311.249673,1,258,204,38.21,71.36,1,282,258/204
1520530311.299675,1,253,204,38.06,91.46,1,284,253/204
1520530311.349677,1,252,203,38.18,69.01,1,284,252/203
1520530311.399678,1,253,203,38.19,87.76,1,285,253/203
