t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1520530308.199448,0,0,0,13.88,2.06,0,0,0/0
1520530308.249449,0,0,0,13.96,0.92,0,0,0/0
1520530308.299451,0,0,0,13.93,1.47,0,0,0/0
1520530308.349503,0,0,0,14.57,1.04,0,0,0/0
1520530308.399505,0,0,0,14.72,0.90,0,0,0/0
1520530308.449505,0,0,0,14.76,0.74,0,0,0/0
1520530308.499506,0,0,0,14.63,0.96,0,0,0/0
1520530308.549508,0,0,0,14.67,1.18,0,0,0/0
1520530308.599509,0,0,0,14.71,1.20,0,0,0/0
1520530308.649555,0,0,0,14.68,1.22,0,0,0/0
1520530308.699512,0,0,0,14.63,1.26,0,0,0/0
1520530308.749559,0,0,0,15.28,1.05,0,0,0/0
1520530308.799560,0,0,0,15.25,1.08,0,0,0/0
1520530308.849562,0,0,0,15.24,1.11,0,0,0/0
1520530308.899563,0,0,0,15.27,1.32,0,0,0/0
1520530308.949565,0,0,0,15.37,0.80,0,0,0/0
1520530308.999567,0,0,0,15.36,0.70,0,0,0/0
1520530309.049568,0,0,0,15.43,0.81,0,0,0/0
1520530309.099570,0,0,0,15.38,0.62,0,0,0/0
1520530309.149567,0,0,0,15.32,0.73,0,0,0/0
1520530309.199583,0,0,0,15.55,0.80,0,0,0/0
1520530309.249583,0,0,0,15.45,0.92,0,0,0/0
1520530309.299586,0,0,0,15.58,1.27,0,0,0/0
1520530309.349586,0,138,126,15.57,112.61,0,0,138/126
1520530309.399589,0,300,205,15.46,16.66,0,0,300/205
1520530309.449590,0,300,215,15.43,32.07,0,0,300/215
1520530309.499591,0,300,216,15.50,20.39,0,0,300/216
1520530309.549594,0,300,212,15.55,31.56,0,0,300/212
1520530309.599597,0,300,219,15.49,28.00,0,0,300/219
1520530309.649599,0,300,223,15.64,37.77,0,0,300/223
1520530309.699600,0,300,218,15.66,17.06,0,0,300/218
1520530309.749602,0,259,211,15.65,25.58,0,0,259/211
1520530309.799603,0,300,233,15.58,16.57,0,0,300/233
1520530309.849605,0,300,227,15.67,25.38,0,0,300/227
1520530309.899606,0,300,219,15.70,19.60,0,0,300/219
1520530309.949608,0,300,222,15.55,30.71,0,0,300/222
1520530309.999622,0,300,229,15.85,17.71,0,0,300/229
1520530310.049623,0,300,225,15.81,26.77,0,0,300/225
1520530310.099625,0,300,222,15.84,18.99,0,0,300/222
