t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1520530308.199448,0,0,0,32.81,1.85,0,0,0/0
1520530308.249449,0,0,0,32.97,0.83,0,0,0/0
1520530308.299451,0,0,0,32.88,0.88,0,0,0/0
1520530308.349503,0,0,0,34.46,0.70,0,0,0/0
1520530308.399505,0,0,0,34.83,0.95,0,0,0/0
1520530308.449505,0,0,0,34.94,0.99,0,0,0/0
1520530308.499506,0,0,0,34.57,1.57,0,0,0/0
1520530308.549508,0,0,0,34.72,1.41,0,0,0/0
1520530308.599509,0,0,0,34.80,1.59,0,0,0/0
1520530308.649555,0,0,0,34.70,0.71,0,0,0/0
1520530308.699512,0,0,0,34.58,0.91,0,0,0/0
1520530308.749559,0,0,0,36.16,0.78,0,0,0/0
1520530308.799560,0,0,0,36.06,0.77,0,0,0/0
1520530308.849562,0,0,0,36.08,0.70,0,0,0/0
1520530308.899563,0,0,0,36.16,0.88,0,0,0/0
1520530308.949565,0,0,0,36.42,0.75,0,0,0/0
1520530308.999567,0,0,0,36.31,0.85,0,0,0/0
1520530309.049568,0,0,0,36.56,1.09,0,0,0/0
1520530309.099570,0,0,0,36.48,0.77,0,0,0/0
1520530309.149567,0,0,0,36.26,0.80,0,0,0/0
1520530309.199583,0,0,0,36.84,0.93,0,0,0/0
1520530309.249583,0,0,0,36.56,0.71,0,0,0/0
1520530309.299586,0,0,0,36.86,0.81,0,0,0/0
1520530309.349586,0,0,0,36.84,0.73,0,0,0/0
1520530309.399589,0,0,0,36.56,1.43,0,0,0/0
1520530309.449590,0,0,0,36.54,1.41,0,0,0/0
1520530309.499591,0,0,0,36.69,1.20,0,0,0/0
1520530309.549594,0,0,0,36.90,1.09,0,0,0/0
1520530309.599597,0,0,0,36.75,1.11,0,0,0/0
1520530309.649599,0,0,0,37.06,1.07,0,0,0/0
1520530309.699600,0,0,0,37.13,1.16,0,0,0/0
1520530309.749602,0,0,0,37.06,0.72,0,0,0/0
1520530309.799603,0,0,0,36.94,0.82,0,0,0/0
1520530309.849605,0,0,0,37.12,0.67,0,0,0/0
1520530309.899606,0,0,0,37.19,0.74,0,0,0/0
1520530309.949608,0,0,0,36.80,0.79,0,0,0/0
1520530309.999622,0,0,0,37.51,0.77,0,0,0/0
1520530310.049623,0,0,0,37.44,0.67,0,0,0/0
1520530310.099625,0,0,0,37.51,1.23,0,0,0/0
1520530310.149627,0,0,0,37.62,1.44,0,0,0/0
1520530310.199628,0,0,0,37.76,1.54,0,0,0/0
1520530310.249729,0,0,0,37.48,1.67,0,0,0/0
1520530310.299631,0,0,0,37.60,0.76,0,0,0/0
1520530310.349633,0,0,0,37.51,1.03,0,0,0/0
1520530310.399625,0,0,0,37.22,0.67,0,0,0/0
1520530310.449627,0,0,0,37.11,0.71,0,0,0/0
1520530310.499628,0,0,0,37.30,0.73,0,0,0/0
1520530310.549630,0,0,0,37.27,0.68,0,0,0/0
1520530310.599632,0,0,0,37.29,0.93,0,0,0/0
1520530310.649633,0,0,0,37.27,0.74,0,0,0/0
1520530310.699635,0,0,0,37.18,0.79,0,0,0/0
1520530310.749636,0,0,0,37.14,0.96,0,0,0/0
1520530310.799651,0,0,0,37.75,0.90,0,0,0/0
1520530310.849652,0,0,0,37.79,0.82,0,0,0/0
1520530310.899654,0,0,0,38.00,1.20,0,0,0/0
1520530310.949655,0,0,0,37.84,1.43,0,0,0/0
1520530310.999657,0,0,0,37.81,1.42,0,0,0/0
1520530311.049659,0,0,0,37.88,1.35,0,0,0/0
1520530311.099660,1,115,99,37.72,30.61,1,99,115/99
1520530311.149662,1,220,172,38.00,12.65,0,99,220/172
1520530311.199672,1,225,177,38.23,14.24,0,99,225/177
1520530311.249673,1,219,175,38.21,27.22,1,185,219/175
1520530311.299675,1,216,175,38.06,14.88,0,185,216/175
1520530311.349677,1,215,172,38.18,13.76,0,185,215/172
1520530311.399678,1,215,176,38.19,31.87,1,220,215/176
1520530311.449679,1,216,175,38.15,15.22,0,220,216/175
1520530311.499684,1,227,178,38.18,13.51,0,220,227/178
1520530311.549683,1,228,179,38.12,37.06,1,234,228/179
1520530311.599684,1,226,176,38.31,12.92,0,234,226/176
1520530311.649719,1,227,177,39.47,11.89,0,234,227/177
1520530311.699720,1,226,180,39.30,54.97,1,249,226/180
1520530311.749722,1,226,179,39.57,13.45,0,249,226/179
1520530311.799723,1,227,180,39.43,12.79,0,249,227/180
1520530311.849725,1,227,177,39.32,41.89,1,243,227/177
1520530311.899726,1,223,178,39.37,12.82,0,243,223/178
1520530311.949728,1,227,182,39.37,16.45,0,243,227/182
1520530311.999729,1,230,183,39.33,50.72,1,251,230/183
1520530312.049721,1,227,180,38.87,17.42,0,251,227/180
1520530312.099721,1,229,184,39.11,16.28,0,251,229/184
1520530312.149723,1,232,182,38.97,42.85,1,269,232/182
1520530312.199726,1,226,178,39.22,13.02,0,269,226/178
1520530312.249727,1,252,194,39.22,10.62,0,269,252/194
1520530312.299728,1,257,200,38.95,62.34,1,292,257/200
