t,tracked,n_obs0,n_obs1,mean0,ms,keyframe,n_landmarks,allobs
1520530308.199448,0,0,0,32.81,1.83,0,0,0/0
1520530308.249449,0,0,0,32.97,0.95,0,0,0/0
1520530308.299451,0,0,0,32.88,0.86,0,0,0/0
1520530308.349503,0,0,0,34.46,0.81,0,0,0/0
1520530308.399505,0,0,0,34.83,0.85,0,0,0/0
1520530308.449505,0,0,0,34.94,0.71,0,0,0/0
1520530308.499506,0,0,0,34.57,0.75,0,0,0/0
1520530308.549508,0,0,0,34.72,0.80,0,0,0/0
1520530308.599509,0,0,0,34.80,0.94,0,0,0/0
1520530308.649555,0,0,0,34.70,0.71,0,0,0/0
1520530308.699512,0,0,0,34.58,0.77,0,0,0/0
1520530308.749559,0,0,0,36.16,0.67,0,0,0/0
1520530308.799560,0,0,0,36.06,1.33,0,0,0/0
1520530308.849562,0,0,0,36.08,1.17,0,0,0/0
1520530308.899563,0,0,0,36.16,1.10,0,0,0/0
1520530308.949565,0,0,0,36.42,0.87,0,0,0/0
1520530308.999567,0,0,0,36.31,0.76,0,0,0/0
1520530309.049568,0,0,0,36.56,0.89,0,0,0/0
1520530309.099570,0,0,0,36.48,0.65,0,0,0/0
1520530309.149567,0,0,0,36.26,0.67,0,0,0/0
1520530309.199583,0,0,0,36.84,1.31,0,0,0/0
1520530309.249583,0,0,0,36.56,1.03,0,0,0/0
1520530309.299586,0,0,0,36.86,1.31,0,0,0/0
1520530309.349586,0,118,100,36.84,309.33,0,0,118/100
1520530309.399589,0,156,125,36.56,14.14,0,0,156/125
1520530309.449590,0,159,128,36.54,15.08,0,0,159/128
1520530309.499591,0,159,128,36.69,10.53,0,0,159/128
1520530309.549594,0,159,128,36.90,50.42,0,0,159/128
1520530309.599597,0,162,125,36.75,19.40,0,0,162/125
1520530309.649599,0,176,136,37.06,13.41,0,0,176/136
1520530309.699600,0,189,146,37.13,12.37,0,0,189/146
1520530309.749602,0,199,158,37.06,17.21,0,0,199/158
1520530309.799603,0,202,163,36.94,11.81,0,0,202/163
1520530309.849605,0,232,185,37.12,23.06,0,0,232/185
1520530309.899606,0,230,183,37.19,11.69,0,0,230/183
1520530309.949608,0,230,186,36.80,19.37,0,0,230/186
1520530309.999622,0,235,184,37.51,12.11,0,0,235/184
1520530310.049623,0,241,192,37.44,23.00,0,0,241/192
1520530310.099625,0,244,192,37.51,11.88,0,0,244/192
1520530310.149627,0,246,194,37.62,17.60,0,0,246/194
1520530310.199628,0,245,193,37.76,11.07,0,0,245/193
1520530310.249729,0,247,195,37.48,20.40,0,0,247/195
1520530310.299631,0,246,197,37.60,14.69,0,0,246/197
